"event","experiment time","system time","system time text"
"START",0.000000000E0,1717653374.295,"2024-06-06 07:56:14.295 UTC+02:00"
"PAUSE",1.237265564E3,1717654611.561,"2024-06-06 08:16:51.561 UTC+02:00"
