"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
3.566137500E-2,-4.023137093E-1,-1.319609284E-1,-1.064274926E-2
5.233710000E-1,5.559079647E-1,-7.789462209E-1,-3.018268049E-1
1.011081000E0,2.952823415E-3,5.013894439E-1,-6.405640859E-3
1.498793375E0,5.143752787E-4,1.585087739E-4,1.342487521E-3
1.986505375E0,-3.705557436E-3,-1.181199122E-2,1.597859897E-3
2.474216875E0,2.434415044E-3,3.903393634E-3,1.178012230E-3
2.961928875E0,2.082995488E-4,4.996526986E-4,1.502014231E-3
3.449639750E0,-9.223119123E-4,-7.206215989E-3,4.245904274E-4
3.937351750E0,2.589505631E-3,4.423540086E-4,1.664195210E-3
4.425062875E0,2.152265748E-3,-2.092595678E-3,-2.201456577E-3
4.912773875E0,-1.307943021E-4,-6.817574613E-4,9.248051792E-4
5.400483500E0,-1.651697909E-3,-1.035271212E-3,7.760371082E-4
5.888193500E0,-4.319100699E-4,1.747845672E-4,7.807542570E-4
6.375903750E0,7.068492123E-4,-2.103873529E-3,8.044838905E-4
6.863612750E0,9.434757521E-4,-5.978625268E-5,-1.202983316E-3
7.351322375E0,3.628818959E-4,2.056377009E-3,-2.374546602E-5
7.839030375E0,1.186783556E-4,1.492715441E-3,8.883047849E-4
8.326738000E0,7.159585948E-4,-1.022210810E-3,-2.419105731E-4
8.814445000E0,-1.835207950E-4,7.517724298E-4,1.574163325E-4
9.302151625E0,-2.015040722E-3,2.388554160E-3,-2.534024883E-3
9.789857625E0,2.498553135E-3,-1.454792451E-3,-4.079411738E-4
1.027756412E1,-3.430950921E-3,3.727954580E-3,5.698368419E-3
1.076526912E1,-1.381876180E-3,3.351889318E-3,-7.092482410E-4
1.125297225E1,1.950484933E-3,3.551521804E-3,-3.280365607E-3
1.174067525E1,-1.565725397E-4,-3.001439385E-3,-3.562108614E-3
1.222837817E1,-7.404255215E-3,8.279373869E-4,6.188796367E-3
1.271608017E1,-1.317154337E-2,-4.458091687E-3,-7.772246376E-3
1.320378054E1,-6.801188737E-2,-5.487160757E-3,-2.127183229E-2
1.369148054E1,-1.186707690E-1,3.217172110E-3,-5.673233792E-2
1.417918054E1,-1.359537542E-1,-8.832669817E-3,-7.959117740E-2
1.466687954E1,-1.732522249E-1,2.542946022E-3,-9.061996639E-2
1.515457825E1,-2.289312631E-1,4.267293494E-3,-1.235380322E-1
1.564227625E1,-2.705391943E-1,6.732944399E-3,-1.497700959E-1
1.612997237E1,-3.079622686E-1,3.996547312E-3,-1.662303060E-1
1.661766938E1,-2.815666199E-1,-4.155337811E-4,-1.514950693E-1
1.710536437E1,-2.816483676E-1,1.167592406E-2,-1.465275884E-1
1.759305854E1,-2.151478529E-1,6.740881130E-3,-1.237878725E-1
1.808075354E1,-2.124197036E-1,-2.322073560E-3,-1.278201193E-1
1.856844662E1,-2.203614116E-1,4.992284812E-3,-1.083202064E-1
1.905614063E1,-1.542826891E-1,1.395225711E-2,-6.286401302E-2
1.954383338E1,-9.165476263E-2,-1.853603311E-2,-2.463365905E-2
2.003152538E1,-7.331039011E-2,-8.185882121E-3,-2.024764754E-2
2.051921617E1,-4.033445194E-2,-1.667636819E-2,-3.099409118E-2
2.100690717E1,-2.743222378E-2,-6.004024763E-3,-4.393362440E-3
2.149459704E1,-1.529425569E-2,-3.093524370E-3,1.448758878E-2
2.198228704E1,1.502883737E-3,-1.146877557E-2,9.186440147E-4
2.246997600E1,6.608918775E-3,1.502464339E-2,2.496092953E-2
2.295766500E1,8.208035678E-2,2.264424413E-2,3.364953399E-2
2.344535312E1,1.391773671E-1,-8.454320952E-3,9.912864864E-2
2.393304113E1,2.299969196E-1,1.063724793E-2,1.281242371E-1
2.442072817E1,3.358656168E-1,7.765168697E-2,5.674271658E-2
2.490841417E1,3.226518333E-1,-2.600550838E-2,1.353269666E-1
2.539610125E1,3.694489896E-1,2.897213213E-2,2.174086273E-1
2.588378725E1,3.678463101E-1,5.723390728E-2,2.392415106E-1
2.637147050E1,3.691464067E-1,2.575790137E-2,2.050607800E-1
2.685915550E1,2.720741928E-1,-1.705831289E-2,1.566053033E-1
2.734683950E1,1.319580972E-1,-8.484456688E-3,7.493979484E-2
2.783452350E1,1.054454520E-1,1.486533508E-2,5.342620611E-2
2.832220800E1,1.154188588E-1,1.696349308E-2,7.813215256E-2
2.880989100E1,1.513383985E-1,7.648740429E-3,6.735235453E-2
2.929757500E1,1.529880762E-1,-3.477382939E-3,9.770474583E-2
2.978525800E1,1.385323107E-1,2.445481485E-3,6.998518109E-2
3.027293950E1,1.113572866E-1,-1.969667897E-2,9.714341909E-2
3.076062250E1,1.234617606E-1,-3.092339076E-2,9.169839323E-2
3.124830525E1,1.318422258E-1,-3.723536618E-3,7.079277188E-2
3.173598725E1,1.061523557E-1,-5.909150466E-3,6.640680134E-2
3.222366862E1,7.186441869E-2,-3.816074226E-3,2.511359379E-2
3.271135063E1,4.063915834E-2,-2.517128922E-2,1.505951397E-2
3.319903275E1,2.348277904E-2,-1.188241038E-2,3.070669621E-2
3.368671475E1,8.662455715E-3,4.912787117E-4,2.569417097E-2
3.417439804E1,1.030440442E-2,1.334992610E-2,-5.631915759E-3
3.466208104E1,1.136948075E-2,7.030691952E-3,3.422776703E-3
3.514976500E1,1.499822643E-2,1.658648485E-3,1.090338454E-2
3.563744800E1,3.983409610E-3,4.497701675E-2,-2.295398340E-2
3.612513100E1,-2.035064809E-2,-2.959222719E-2,-3.042486683E-2
3.661281450E1,-1.747415587E-2,-1.143857278E-2,-1.361557283E-2
3.710049750E1,-1.484870329E-3,-1.422388013E-3,-4.238222912E-2
3.758818075E1,-5.782380700E-2,4.693420604E-3,-4.599416256E-2
3.807586375E1,-1.915664673E-1,1.924132928E-2,-7.908036560E-2
3.856354738E1,-2.338654846E-1,9.936369956E-3,-1.023413613E-1
3.905123038E1,-2.770247459E-1,-2.291661501E-2,-1.761298329E-1
3.953891300E1,-3.379593492E-1,-8.343518712E-4,-1.752255112E-1
4.002659500E1,-3.195475936E-1,-2.315805852E-2,-1.874976456E-1
4.051427750E1,-3.190388978E-1,-5.202249158E-3,-1.429507881E-1
4.100195950E1,-3.003630638E-1,5.918660201E-3,-1.544384658E-1
4.148964162E1,-2.055184841E-1,2.461963892E-2,-1.121845394E-1
4.197732363E1,-1.259116083E-1,9.288256988E-3,-6.393555552E-2
4.246500629E1,-3.149484470E-2,1.266122982E-2,-1.521382853E-2
4.295268829E1,5.732265301E-3,-1.680291258E-3,6.443623919E-3
4.344036904E1,8.802583441E-3,5.220955703E-3,9.612777270E-3
4.392805104E1,2.364935912E-2,2.670139307E-3,6.868593395E-3
4.441573288E1,2.468718402E-2,-1.183634065E-2,3.556175623E-3
4.490341387E1,3.360207006E-2,1.133328676E-2,1.365046669E-2
4.539109588E1,6.434516609E-2,9.397424757E-3,1.924205944E-2
4.587877788E1,4.458244890E-2,-1.696511637E-3,2.230570093E-2
4.636645925E1,5.012728646E-2,-1.240410283E-2,2.218474261E-2
4.685414125E1,2.209774405E-2,-4.546343815E-3,2.569727600E-2
4.734182154E1,5.175743252E-2,-4.016018473E-3,1.104813628E-2
4.782950354E1,4.707926139E-2,1.070291549E-2,2.855724469E-2
4.831718462E1,3.923123702E-2,-1.159993466E-3,3.033000045E-2
4.880486662E1,3.223486617E-2,-1.875635702E-3,2.871234901E-2
4.929254754E1,4.676181450E-2,-1.795482822E-2,1.807317883E-2
4.978022954E1,3.850521520E-2,-2.078923024E-2,1.949850470E-2
5.026791100E1,4.012508690E-2,-2.216202952E-2,2.599957027E-2
5.075559300E1,2.561525628E-2,-5.897923838E-3,9.269813076E-3
5.124327388E1,1.598609670E-4,-1.459998637E-2,3.374497872E-3
5.173095588E1,2.021109685E-3,3.328513587E-3,4.123468883E-3
5.221863713E1,7.326743565E-3,3.739454783E-3,-1.304349303E-2
5.270631912E1,-7.906977087E-3,-1.139266230E-2,1.676856074E-3
5.319400225E1,-8.815149777E-3,4.099350888E-3,1.133795641E-2
5.368168425E1,1.100115478E-2,-6.072316319E-5,-7.356322370E-3
5.416936700E1,-1.359535381E-3,9.549755603E-3,8.934210986E-3
5.465705100E1,6.542792078E-3,9.305970743E-3,-4.081061576E-3
5.514473400E1,2.074786276E-2,9.550780989E-3,-1.036817115E-2
5.563241800E1,5.933794193E-3,-7.389520761E-3,1.128767058E-2
5.612010200E1,1.571643911E-2,6.238728762E-3,1.336289383E-2
5.660778704E1,2.368618920E-2,1.741253957E-2,1.178094372E-2
5.709547104E1,3.448057920E-2,2.078074962E-2,2.118686773E-2
5.758315450E1,3.192579374E-2,-3.324586153E-2,2.539796755E-2
