"event","experiment time","system time","system time text"
"START",0.000000000E0,1717655053.996,"2024-06-06 08:24:13.996 UTC+02:00"
"PAUSE",9.535917276E2,1717656008.189,"2024-06-06 08:40:08.189 UTC+02:00"
