"event","experiment time","system time","system time text"
"START",0.000000000E0,1717504738.534,"2024-06-04 14:38:58.534 UTC+02:00"
"PAUSE",9.290827432E2,1717505667.617,"2024-06-04 14:54:27.617 UTC+02:00"
