"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.717697312585722E9,"2024-06-06 20:08:32.586 UTC+02:00"
"PAUSE",8.155361009583321E2,1.717698128135370E9,"2024-06-06 20:22:08.135 UTC+02:00"
