"event","experiment time","system time","system time text"
"START",0.000000000E0,1717579648.498,"2024-06-05 11:27:28.498 UTC+02:00"
"PAUSE",1.105761591E3,1717580754.260,"2024-06-05 11:45:54.260 UTC+02:00"
