"event","experiment time","system time","system time text"
"START",0.000000000E0,1717580822.855,"2024-06-05 11:47:02.855 UTC+02:00"
"PAUSE",5.438651513E2,1717581366.721,"2024-06-05 11:56:06.721 UTC+02:00"
