"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.717700156780961E9,"2024-06-06 20:55:56.781 UTC+02:00"
"PAUSE",7.005472669166666E2,1.717700857421065E9,"2024-06-06 21:07:37.421 UTC+02:00"
