"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
4.610016764E1,5.233921161E1,4.878167680E0,6.215711626E1,3.940000057E0,8.809999847E1,7.990880013E0,1.187376404E1
4.709997925E1,5.233922538E1,4.878227270E0,5.650793886E1,3.940000057E0,8.719999695E1,7.665563583E0,1.149234581E1
4.809991738E1,5.233924043E1,4.878285950E0,5.351568414E1,3.930000067E0,8.709999847E1,7.296333790E0,1.105396175E1
4.909964181E1,5.233925497E1,4.878344610E0,5.116869235E1,3.869999886E0,8.690000153E1,7.091939449E0,1.067698765E1
5.009961639E1,5.233926774E1,4.878402650E0,4.890269137E1,3.890000105E0,8.709999847E1,6.923643589E0,1.027035618E1
5.109963410E1,5.233927846E1,4.878460840E0,4.649960263E1,3.839999914E0,8.730000305E1,6.516892910E0,9.265829086E0
5.209956232E1,5.233928751E1,4.878517530E0,4.482844426E1,3.829999924E0,8.740000153E1,6.073386192E0,8.555317879E0
5.309967071E1,5.233929497E1,4.878572600E0,4.319903077E1,3.839999914E0,8.759999847E1,5.729907990E0,7.944000721E0
5.409969915E1,5.233930195E1,4.878628520E0,4.233090860E1,3.799999952E0,8.869999695E1,5.631155014E0,7.717772961E0
5.510015389E1,5.233930795E1,4.878686850E0,4.114479327E1,3.690000057E0,8.909999847E1,5.227642536E0,7.396912575E0
5.610016415E1,5.233931415E1,4.878745800E0,3.919195494E1,3.730000019E0,8.809999847E1,5.002944469E0,7.358235836E0
5.710028743E1,5.233931993E1,4.878805360E0,3.873636978E1,3.779999971E0,8.840000153E1,6.333701134E0,7.621675968E0
5.809950524E1,5.233932645E1,4.878863250E0,3.806954204E1,3.710000038E0,8.819999695E1,5.889053822E0,7.664868832E0
5.909978321E1,5.233933170E1,4.878923680E0,3.687085361E1,3.690000057E0,8.790000153E1,6.189781189E0,8.067815781E0
6.009979284E1,5.233933691E1,4.878981520E0,3.660124078E1,3.630000114E0,8.780000305E1,7.925123215E0,8.790079117E0
6.109995550E1,5.233933942E1,4.879048750E0,3.565774038E1,3.980000019E0,8.840000153E1,9.891222000E0,9.618233681E0
6.210031185E1,5.233933912E1,4.879122460E0,3.494061912E1,4.190000057E0,8.930000305E1,1.137318325E1,1.010088634E1
6.310014649E1,5.233933910E1,4.879192540E0,3.366484140E1,3.690000057E0,8.909999847E1,8.936886787E0,9.527899742E0
6.409995893E1,5.233933949E1,4.879255040E0,3.122371566E1,3.700000048E0,8.919999695E1,7.433509827E0,8.310561180E0
