"Time (s)","Pressure (hPa)"
4.356794490E-1,1.015619507E3
9.356815330E-1,1.015584351E3
1.435754814E0,1.015661987E3
1.935683356E0,1.015650757E3
2.435685179E0,1.015682373E3
2.935683147E0,1.015588257E3
3.435653824E0,1.015503662E3
3.935662394E0,1.015688599E3
4.435673644E0,1.015670288E3
4.935675988E0,1.015628418E3
5.435655519E0,1.015639038E3
5.935675675E0,1.015650757E3
6.435673383E0,1.015655518E3
6.935649217E0,1.015654419E3
7.435659165E0,1.015663940E3
7.935676456E0,1.015685303E3
8.435673696E0,1.015727661E3
8.935668592E0,1.015790527E3
9.435662758E0,1.015742188E3
9.935644373E0,1.015726440E3
1.043574594E1,1.015736328E3
1.093568505E1,1.015745605E3
1.143565776E1,1.015791138E3
1.193568578E1,1.015819214E3
1.243567526E1,1.015844849E3
1.293567963E1,1.015775269E3
1.343565802E1,1.015746094E3
1.393572245E1,1.015739502E3
1.443568396E1,1.015773438E3
1.493569344E1,1.015793091E3
1.543565542E1,1.015785156E3
1.593568031E1,1.015765747E3
1.643568411E1,1.015761230E3
1.693568375E1,1.015678955E3
1.743565526E1,1.015652588E3
1.793592427E1,1.015632568E3
1.843567599E1,1.015647095E3
1.893568427E1,1.015632446E3
1.943565713E1,1.015652710E3
1.993568963E1,1.015644165E3
2.050044724E1,1.015649414E3
2.100044401E1,1.015642578E3
2.150045630E1,1.015658325E3
2.200043109E1,1.015668091E3
2.250045620E1,1.015693237E3
2.300041640E1,1.015693115E3
2.350045536E1,1.015649780E3
2.400043422E1,1.015653198E3
2.450045635E1,1.015671875E3
2.500045390E1,1.015673462E3
2.550045672E1,1.015668213E3
2.600042984E1,1.015690186E3
2.650045614E1,1.015682251E3
2.700045307E1,1.015670532E3
2.750045708E1,1.015642700E3
2.800043349E1,1.015619751E3
2.850044422E1,1.015677246E3
2.900045323E1,1.015677124E3
2.950045666E1,1.015662476E3
3.000043120E1,1.015673340E3
3.050044713E1,1.015666504E3
3.100044745E1,1.015657715E3
3.150044432E1,1.015666504E3
3.200042640E1,1.015668701E3
3.250044713E1,1.015692749E3
3.300044458E1,1.015665649E3
3.350044854E1,1.015650391E3
3.400043937E1,1.015627686E3
3.450044719E1,1.015632812E3
3.500044495E1,1.015642578E3
3.550043323E1,1.015636841E3
3.600043344E1,1.015638672E3
3.650055531E1,1.015649780E3
3.700042047E1,1.015614380E3
3.750045536E1,1.015625854E3
3.800042568E1,1.015621216E3
3.850045474E1,1.015627808E3
3.900044385E1,1.015629272E3
3.950045302E1,1.015591797E3
4.022682312E1,1.015677490E3
4.032682005E1,1.015677490E3
4.042679515E1,1.015645264E3
4.092679515E1,1.015635986E3
4.142679515E1,1.015661865E3
4.192679515E1,1.015673340E3
4.242679515E1,1.015648438E3
4.292679515E1,1.015643799E3
4.342679515E1,1.015646484E3
4.392679515E1,1.015646118E3
4.442679515E1,1.015657227E3
4.492679515E1,1.015640869E3
4.542679515E1,1.015646484E3
4.592679515E1,1.015654541E3
4.642679515E1,1.015658691E3
4.692679515E1,1.015659912E3
4.742679515E1,1.015656006E3
4.792679515E1,1.015650024E3
4.842679515E1,1.015641235E3
4.892679515E1,1.015653564E3
4.942679515E1,1.015660522E3
4.992679515E1,1.015653687E3
5.042679515E1,1.015658691E3
5.092679515E1,1.015667969E3
5.142679515E1,1.015650024E3
5.192679515E1,1.015654907E3
5.242679515E1,1.015648560E3
5.292679515E1,1.015642090E3
5.342679515E1,1.015677612E3
5.392679515E1,1.015653076E3
5.442679515E1,1.015737915E3
5.492679515E1,1.015626221E3
5.542679515E1,1.015631958E3
5.592679515E1,1.015658081E3
5.642679515E1,1.015642944E3
5.692679515E1,1.015674316E3
5.742679515E1,1.015673218E3
5.792679515E1,1.015660767E3
5.842679515E1,1.015678223E3
5.892679515E1,1.015650757E3
5.942679515E1,1.015663208E3
5.992679515E1,1.015671631E3
6.042679515E1,1.015676270E3
6.092679515E1,1.015688477E3
6.142679515E1,1.015675049E3
6.192679515E1,1.015691162E3
6.242679515E1,1.015673950E3
6.292679515E1,1.015673096E3
6.342679515E1,1.015678711E3
6.392679515E1,1.015676025E3
6.442679515E1,1.015675659E3
6.492679515E1,1.015658447E3
6.542679515E1,1.015626465E3
6.592679515E1,1.015668945E3
6.642679515E1,1.015694824E3
6.692679515E1,1.015643799E3
6.742679515E1,1.015686035E3
6.792679515E1,1.015696899E3
6.842679515E1,1.015651855E3
6.892679515E1,1.015703369E3
6.942679515E1,1.015648926E3
6.992679515E1,1.015631348E3
7.042679515E1,1.015631836E3
7.092679515E1,1.015666138E3
7.142679515E1,1.015651611E3
7.192679515E1,1.015652344E3
7.242679515E1,1.015654785E3
7.292679515E1,1.015661865E3
7.342679515E1,1.015664795E3
7.392679515E1,1.015676392E3
7.442679515E1,1.015674683E3
7.492679515E1,1.015656494E3
7.542679515E1,1.015665527E3
7.592679515E1,1.015659424E3
7.642679515E1,1.015667114E3
7.692679515E1,1.015680908E3
7.742679515E1,1.015701416E3
7.792679515E1,1.015681519E3
7.842679515E1,1.015667358E3
7.892679515E1,1.015635498E3
7.942679515E1,1.015653198E3
7.992679515E1,1.015674927E3
8.042679515E1,1.015676758E3
8.092679515E1,1.015689575E3
8.142679515E1,1.015638672E3
8.192679515E1,1.015676636E3
8.242679515E1,1.015701782E3
8.292679515E1,1.015676636E3
8.342679515E1,1.015677612E3
8.392679515E1,1.015637573E3
8.442679515E1,1.015639526E3
8.492679515E1,1.015651611E3
8.542679515E1,1.015640381E3
8.592679515E1,1.015649536E3
8.642679515E1,1.015752563E3
8.692679515E1,1.015692261E3
8.742679515E1,1.015693848E3
8.792679515E1,1.015690186E3
8.842679515E1,1.015712769E3
8.892679515E1,1.015739136E3
8.942679515E1,1.015675537E3
8.992679515E1,1.015702515E3
9.042679515E1,1.015694214E3
9.092679515E1,1.015682495E3
9.142679515E1,1.015694336E3
9.192679515E1,1.015694702E3
9.242679515E1,1.015703369E3
9.292679515E1,1.015707520E3
9.342679515E1,1.015699585E3
9.392679515E1,1.015764038E3
9.442679515E1,1.015674072E3
9.492679515E1,1.015710083E3
9.542679515E1,1.015694946E3
9.592679515E1,1.015697754E3
9.642679515E1,1.015700562E3
9.692679515E1,1.015730591E3
9.742679515E1,1.015698730E3
9.792679515E1,1.015681519E3
9.842679515E1,1.015678711E3
9.892679515E1,1.015704712E3
9.942679515E1,1.015712280E3
9.992679515E1,1.015711304E3
1.004267952E2,1.015704590E3
1.009267952E2,1.015693359E3
1.014267952E2,1.015695801E3
1.019267952E2,1.015689697E3
1.024267952E2,1.015648438E3
1.029267952E2,1.015666626E3
1.034267952E2,1.015720337E3
1.039267952E2,1.015685669E3
1.044267952E2,1.015700073E3
1.049267952E2,1.015692139E3
1.054267952E2,1.015703857E3
1.059267952E2,1.015695068E3
1.064267952E2,1.015691772E3
1.069267952E2,1.015698364E3
1.074267952E2,1.015694336E3
1.079267952E2,1.015689575E3
1.084267952E2,1.015695068E3
1.089267952E2,1.015705566E3
1.094267952E2,1.015710083E3
1.099267952E2,1.015717041E3
1.104267952E2,1.015707520E3
1.109267952E2,1.015713989E3
1.114267952E2,1.015717163E3
1.119267952E2,1.015718262E3
1.124267952E2,1.015708740E3
1.129267952E2,1.015696655E3
1.134267952E2,1.015695679E3
1.139267952E2,1.015690308E3
1.144267952E2,1.015710327E3
1.149267952E2,1.015712769E3
1.154267952E2,1.015700317E3
1.159267952E2,1.015703613E3
1.164267952E2,1.015715210E3
1.169267952E2,1.015705933E3
1.174267952E2,1.015705322E3
1.179267952E2,1.015706665E3
1.184267952E2,1.015708008E3
1.189267952E2,1.015698853E3
1.194267952E2,1.015714233E3
1.199267952E2,1.015696533E3
1.204267952E2,1.015699707E3
1.209267952E2,1.015710693E3
1.214267952E2,1.015700684E3
1.219267952E2,1.015704102E3
1.224267952E2,1.015710205E3
1.229267952E2,1.015715698E3
1.234267952E2,1.015710693E3
1.239267952E2,1.015697754E3
1.244267952E2,1.015708618E3
1.249267952E2,1.015723389E3
1.254267952E2,1.015715820E3
1.259267952E2,1.015721313E3
1.264267952E2,1.015715820E3
1.269267952E2,1.015717896E3
1.274267952E2,1.015719360E3
1.279267952E2,1.015699097E3
1.284267952E2,1.015715820E3
1.289267952E2,1.015710693E3
1.294267952E2,1.015714355E3
1.299267952E2,1.015702515E3
1.304267952E2,1.015712646E3
1.309267952E2,1.015727051E3
1.314267952E2,1.015713623E3
1.319267952E2,1.015705933E3
1.324267952E2,1.015719971E3
1.329267952E2,1.015718872E3
1.334267952E2,1.015720947E3
1.339267952E2,1.015740234E3
1.344267952E2,1.015749146E3
1.349267952E2,1.015737061E3
1.354267952E2,1.015764526E3
1.359267952E2,1.015768799E3
1.364267952E2,1.015769043E3
1.369267952E2,1.015770020E3
1.374267952E2,1.015768188E3
1.379267952E2,1.015786377E3
1.384267952E2,1.015793457E3
1.389267952E2,1.015787842E3
1.394267952E2,1.015805054E3
1.399267952E2,1.015804932E3
1.404267952E2,1.015812988E3
1.409267952E2,1.015826172E3
1.414267952E2,1.015848389E3
1.419267952E2,1.015861084E3
1.424267952E2,1.015857178E3
1.429267952E2,1.015858154E3
1.434267952E2,1.015869019E3
1.439267952E2,1.015874146E3
1.444267952E2,1.015887695E3
1.449267952E2,1.015903687E3
1.454267952E2,1.015910522E3
