"event","experiment time","system time","system time text"
"START",0.000000000E0,1717503923.482,"2024-06-04 14:25:23.482 UTC+02:00"
"PAUSE",4.989082448E2,1717504422.391,"2024-06-04 14:33:42.391 UTC+02:00"
