"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.717739612313282E9,"2024-06-07 07:53:32.313 UTC+02:00"
"PAUSE",5.481164174166915E2,1.717740160429287E9,"2024-06-07 08:02:40.429 UTC+02:00"
