"event","experiment time","system time","system time text"
"START",0.000000000E0,1717664475.900,"2024-06-06 11:01:15.900 UTC+02:00"
"PAUSE",9.895924208E2,1717665465.492,"2024-06-06 11:17:45.492 UTC+02:00"
