"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
3.274791656E-3,-9.566536173E-4,1.267761691E-3,1.410041004E-4
5.009447917E-1,-3.437994746E-4,1.337839523E-3,1.872282475E-3
9.986137917E-1,-3.080687020E-4,2.064559143E-3,1.341706142E-3
1.496282792E0,1.375817345E-3,3.741085529E-4,1.769885421E-5
1.993951167E0,-2.488209400E-3,-4.012227058E-3,-1.120562665E-4
2.491619167E0,-3.978651366E-4,-2.445989754E-3,1.233384013E-3
2.989288583E0,-9.817007231E-4,-2.301797736E-3,-6.437674165E-4
3.486955583E0,3.188238246E-3,2.559321700E-3,-2.329269424E-3
3.984621708E0,-3.138023429E-3,-7.139681838E-4,1.658800524E-3
4.482286708E0,1.405973104E-3,2.300928347E-3,1.680540852E-3
4.979950542E0,-1.727852650E-4,-8.004829288E-4,-6.543551572E-4
5.477614542E0,1.974204555E-3,1.963232644E-4,-1.536287367E-3
5.975278542E0,2.070403658E-3,1.856022980E-3,-2.201911993E-4
6.472941542E0,-9.958932642E-4,-1.337118912E-3,7.139625959E-4
6.970604667E0,-6.323885173E-4,3.314102069E-4,-6.152875721E-5
7.468266667E0,2.610038035E-3,5.221887492E-3,9.309453890E-5
7.965929333E0,2.068636008E-3,6.599817425E-4,-1.263391692E-3
8.463591333E0,1.684848103E-3,-1.054504886E-3,-3.958563320E-4
8.961252333E0,-5.273021525E-4,-3.914599307E-3,1.628245227E-3
9.458913333E0,2.086805180E-3,2.495494206E-3,7.337969728E-4
9.956574417E0,5.181024317E-3,3.364911303E-3,-2.111639362E-3
1.045423542E1,-3.351844614E-3,-3.744461574E-3,2.662152983E-4
1.095189592E1,1.927892328E-3,-5.119256675E-4,4.885471426E-4
1.144955492E1,5.275766016E-4,3.319108160E-3,1.833366696E-3
1.194721354E1,1.613849658E-3,-9.192415513E-3,-6.875303108E-3
1.244487154E1,-1.161580533E-2,-1.181186922E-2,4.158284515E-3
1.294252942E1,1.732115168E-3,6.836410612E-3,2.710034139E-3
1.344018642E1,-1.603104547E-2,1.687869430E-2,-1.898136362E-2
1.393784321E1,-5.762483925E-2,6.937839091E-2,-6.675223261E-2
1.443549921E1,-8.674475551E-2,1.436755508E-1,-1.368991286E-1
1.493315554E1,-1.321262568E-1,2.038862109E-1,-1.980638355E-1
1.543081054E1,-1.470201313E-1,2.550535798E-1,-2.132670283E-1
1.592846417E1,-2.044630796E-1,2.731430531E-1,-2.231357098E-1
1.642611917E1,-1.728557348E-1,3.160783052E-1,-2.563870847E-1
1.692377271E1,-2.298503518E-1,3.235351741E-1,-2.696562111E-1
1.742142671E1,-2.122754902E-1,3.793936968E-1,-2.560443282E-1
1.791907929E1,-9.977196902E-2,2.990291119E-1,-1.821691245E-1
1.841673229E1,-7.397603989E-2,1.436807960E-1,-1.467162818E-1
1.891438454E1,-6.004655734E-2,3.211173415E-2,-5.467722192E-2
1.941203554E1,-2.594667301E-2,4.075024277E-2,-2.000588551E-2
1.990968692E1,-7.761882618E-3,4.864974692E-2,-7.904493250E-3
2.040733792E1,-5.269116955E-4,-1.321518794E-4,-1.472351141E-3
2.090498829E1,-1.337192487E-2,-6.428630091E-3,1.178207248E-2
2.140263829E1,3.741811030E-3,8.590003476E-3,9.403659031E-3
2.190028779E1,5.207025446E-3,-2.919871360E-3,-3.271739557E-2
2.239793779E1,-1.335314009E-2,-1.033762470E-3,1.483109407E-2
2.289558692E1,-8.365303278E-3,-7.514034398E-3,7.687504403E-4
2.339323592E1,1.942967996E-3,-9.237439372E-4,6.604765076E-3
2.389088329E1,3.800894774E-5,-2.003922127E-3,1.145571284E-2
2.438853129E1,3.660673508E-3,-9.176822379E-3,2.386609558E-3
2.488617896E1,4.929655697E-3,-2.308486402E-2,7.221912500E-3
2.538382596E1,2.112327144E-2,-2.544863895E-2,1.351300068E-2
2.588147267E1,-8.698537946E-3,-1.906795800E-2,3.249201924E-2
2.637911867E1,-3.762286156E-2,-3.758492880E-3,3.434355557E-2
2.687676442E1,-2.832094440E-3,1.196274906E-2,-2.574316040E-2
2.737441042E1,2.204501256E-2,1.799265295E-2,-2.993226051E-2
2.787205546E1,-2.292719483E-2,-1.183732226E-2,-2.993583679E-2
2.836970046E1,1.358857471E-2,8.310650475E-3,-2.696952596E-2
2.886734504E1,-2.289731987E-3,8.564710617E-3,-1.841901988E-2
2.936498904E1,2.286118921E-3,-1.767035015E-2,-1.838083193E-2
2.986263317E1,-7.154578343E-4,1.720828004E-4,-3.785290523E-3
3.036027717E1,-1.564497128E-3,1.022568671E-3,-6.674198434E-3
3.085792054E1,-3.527246881E-3,2.124052029E-3,-3.786711022E-5
3.135556254E1,-7.860324346E-3,-1.313845254E-2,8.038477972E-5
3.185320458E1,1.311484724E-2,4.121809267E-3,-6.308627315E-3
3.235084658E1,2.020167559E-2,8.478853852E-5,-3.206150141E-3
3.284848733E1,-1.574397832E-2,-4.149063025E-3,3.009788226E-3
3.334612833E1,5.874518305E-3,2.258779248E-3,-2.482563723E-3
3.384376829E1,-9.594663978E-3,2.881184686E-3,1.263393834E-2
3.434140829E1,-2.721149707E-3,-1.515614800E-3,-1.072090212E-2
3.483904846E1,-1.083579566E-2,-5.596640054E-3,6.798753049E-3
3.533668846E1,1.272035995E-3,7.362054661E-3,1.029929332E-2
3.583432804E1,-1.550337998E-3,3.619272262E-3,5.499657709E-3
3.633196704E1,1.166456938E-2,-1.223665196E-3,-4.821026698E-3
3.682960583E1,-2.200921625E-2,-6.058354396E-3,1.482216455E-2
3.732724483E1,1.399888750E-2,8.426600136E-3,-5.787861533E-3
3.782488233E1,1.368393842E-2,9.191799909E-3,9.000912309E-3
3.832252133E1,3.635512665E-3,7.501185406E-3,4.065192770E-3
3.882015967E1,-1.866312325E-2,-8.717190474E-3,1.154860575E-2
3.931779767E1,8.878251538E-3,1.348986477E-2,1.380740851E-2
3.981543529E1,1.298086159E-2,3.533113049E-3,-9.654312395E-3
4.031307329E1,-1.806574315E-2,-1.530502737E-2,3.678635694E-4
4.081071167E1,-8.602962829E-3,-1.940187532E-3,1.093202643E-2
4.130834867E1,3.210769268E-3,1.222538948E-2,1.230603550E-2
4.180598617E1,5.972244777E-3,-1.665735431E-2,-1.561850496E-2
4.230362417E1,1.391887432E-3,-6.765296683E-3,5.064962897E-3
4.280126129E1,-1.360889431E-2,-1.016108692E-2,-3.765399801E-3
4.329889829E1,-6.794875022E-3,2.510316204E-3,-8.528404869E-3
4.379653546E1,-2.022491302E-3,-1.010880992E-2,-1.555813476E-3
4.429417146E1,-1.040052902E-2,-2.395228483E-3,6.711219903E-3
4.479180883E1,1.341743581E-2,-1.656767447E-3,2.767753787E-3
4.528944483E1,-5.433995277E-3,-6.085544359E-3,1.945734490E-3
4.578708029E1,-3.166580107E-3,-8.239368908E-4,3.074116539E-3
4.628471629E1,5.720119458E-3,1.910089515E-3,-3.232274670E-3
4.678235158E1,5.863446277E-4,2.559897723E-3,3.206885885E-3
4.727998758E1,1.572515001E-3,-1.473471988E-3,7.763649337E-4
4.777762279E1,-8.016200736E-3,-2.205553930E-3,3.463305533E-3
4.827525779E1,-9.748183656E-4,3.286977764E-3,1.064226963E-3
4.877289204E1,5.472964142E-3,1.605188008E-3,-1.382296439E-3
4.927052704E1,3.639626550E-3,1.551168971E-4,-2.256582025E-3
4.976816229E1,2.944818931E-3,1.415045699E-3,2.240226604E-4
5.026579629E1,-1.081081689E-3,2.456516959E-4,2.876531333E-3
5.076343029E1,-2.025209367E-3,-3.255698364E-3,8.701733314E-4
