"Time (s)","Distance (cm)"
4.884434503E2,0.000000000E0
4.889434503E2,0.000000000E0
4.894434503E2,0.000000000E0
4.899434503E2,0.000000000E0
4.904434503E2,0.000000000E0
4.909434503E2,0.000000000E0
4.914434503E2,0.000000000E0
4.919434503E2,0.000000000E0
4.924434503E2,5.000000000E0
4.929434503E2,5.000000000E0
4.934434503E2,5.000000000E0
4.939434503E2,5.000000000E0
4.944434503E2,5.000000000E0
4.949434503E2,5.000000000E0
4.954434503E2,5.000000000E0
4.959434503E2,5.000000000E0
4.964434503E2,5.000000000E0
4.969434503E2,5.000000000E0
4.974434503E2,5.000000000E0
4.979434503E2,5.000000000E0
4.984434503E2,5.000000000E0
4.989434503E2,5.000000000E0
4.994434503E2,5.000000000E0
4.999434503E2,0.000000000E0
5.004434503E2,0.000000000E0
5.009434503E2,0.000000000E0
5.014434503E2,0.000000000E0
5.019434503E2,0.000000000E0
5.024434503E2,0.000000000E0
5.029434503E2,5.000000000E0
5.034434503E2,5.000000000E0
5.039434503E2,5.000000000E0
5.044434503E2,5.000000000E0
5.049434503E2,5.000000000E0
5.054434503E2,5.000000000E0
5.059434503E2,0.000000000E0
5.064434503E2,0.000000000E0
5.069434503E2,0.000000000E0
5.074434503E2,0.000000000E0
5.079434503E2,0.000000000E0
5.084434503E2,0.000000000E0
5.089434503E2,0.000000000E0
5.094434503E2,5.000000000E0
5.099434503E2,5.000000000E0
5.104434503E2,5.000000000E0
5.109434503E2,5.000000000E0
5.114434503E2,5.000000000E0
5.119434503E2,0.000000000E0
5.124434503E2,0.000000000E0
5.129434503E2,0.000000000E0
5.134434503E2,0.000000000E0
5.139434503E2,0.000000000E0
5.144434503E2,0.000000000E0
5.149434503E2,0.000000000E0
5.154434503E2,0.000000000E0
5.159434503E2,0.000000000E0
5.164434503E2,0.000000000E0
5.169434503E2,0.000000000E0
5.174434503E2,0.000000000E0
5.179434503E2,0.000000000E0
5.184434503E2,0.000000000E0
5.189434503E2,0.000000000E0
5.194434503E2,0.000000000E0
5.199434503E2,0.000000000E0
5.204434503E2,0.000000000E0
5.209434503E2,0.000000000E0
5.214434503E2,0.000000000E0
5.219434503E2,0.000000000E0
5.224434503E2,0.000000000E0
5.229434503E2,0.000000000E0
5.234434503E2,0.000000000E0
5.239434503E2,0.000000000E0
5.244434503E2,0.000000000E0
5.249434503E2,0.000000000E0
5.254434503E2,0.000000000E0
5.259434503E2,0.000000000E0
5.264434503E2,0.000000000E0
5.269434503E2,0.000000000E0
5.274434503E2,0.000000000E0
5.279434503E2,0.000000000E0
5.284434503E2,0.000000000E0
5.289434503E2,0.000000000E0
5.294434503E2,0.000000000E0
5.299434503E2,0.000000000E0
5.304434503E2,5.000000000E0
5.309434503E2,0.000000000E0
5.314434503E2,0.000000000E0
5.319434503E2,0.000000000E0
5.324434503E2,5.000000000E0
5.329434503E2,5.000000000E0
5.334434503E2,5.000000000E0
5.339434503E2,0.000000000E0
5.344434503E2,5.000000000E0
5.349434503E2,5.000000000E0
5.354434503E2,5.000000000E0
5.359434503E2,0.000000000E0
5.364434503E2,0.000000000E0
5.369434503E2,0.000000000E0
5.374434503E2,0.000000000E0
5.379434503E2,0.000000000E0
5.384434503E2,0.000000000E0
5.389434503E2,0.000000000E0
5.394434503E2,5.000000000E0
5.399434503E2,5.000000000E0
5.404434503E2,5.000000000E0
5.409434503E2,5.000000000E0
5.414434503E2,5.000000000E0
5.419434503E2,5.000000000E0
5.424434503E2,5.000000000E0
5.429434503E2,5.000000000E0
5.434434503E2,5.000000000E0
5.439434503E2,5.000000000E0
5.444434503E2,5.000000000E0
5.449434503E2,5.000000000E0
5.454434503E2,5.000000000E0
5.459434503E2,5.000000000E0
5.464434503E2,5.000000000E0
5.469434503E2,5.000000000E0
5.474434503E2,0.000000000E0
5.479434503E2,0.000000000E0
5.484434503E2,0.000000000E0
5.489434503E2,0.000000000E0
5.494434503E2,0.000000000E0
5.499434503E2,0.000000000E0
5.504434503E2,0.000000000E0
5.509434503E2,0.000000000E0
5.514434503E2,0.000000000E0
5.519434503E2,0.000000000E0
5.524434503E2,0.000000000E0
5.529434503E2,0.000000000E0
5.534434503E2,0.000000000E0
5.539434503E2,0.000000000E0
5.544434503E2,0.000000000E0
5.549434503E2,0.000000000E0
5.554434503E2,0.000000000E0
5.559434503E2,0.000000000E0
5.564434503E2,0.000000000E0
5.569434503E2,0.000000000E0
5.574434503E2,0.000000000E0
5.579434503E2,0.000000000E0
5.584434503E2,0.000000000E0
5.589434503E2,0.000000000E0
5.594434503E2,0.000000000E0
5.599434503E2,0.000000000E0
5.604434503E2,0.000000000E0
5.609434503E2,0.000000000E0
5.614434503E2,0.000000000E0
5.619434503E2,0.000000000E0
5.624434503E2,0.000000000E0
5.629434503E2,0.000000000E0
5.634434503E2,0.000000000E0
5.639434503E2,0.000000000E0
5.644434503E2,0.000000000E0
5.649434503E2,0.000000000E0
5.654434503E2,0.000000000E0
5.659434503E2,0.000000000E0
5.664434503E2,0.000000000E0
5.669434503E2,0.000000000E0
5.674434503E2,0.000000000E0
5.679434503E2,0.000000000E0
5.684434503E2,0.000000000E0
5.689434503E2,0.000000000E0
5.694434503E2,0.000000000E0
5.699434503E2,0.000000000E0
5.704434503E2,0.000000000E0
5.709434503E2,0.000000000E0
5.714434503E2,0.000000000E0
5.719434503E2,0.000000000E0
5.724434503E2,0.000000000E0
5.729434503E2,0.000000000E0
5.734434503E2,0.000000000E0
5.739434503E2,0.000000000E0
5.744434503E2,0.000000000E0
5.749434503E2,0.000000000E0
5.754434503E2,0.000000000E0
5.759434503E2,0.000000000E0
5.764434503E2,0.000000000E0
5.769434503E2,0.000000000E0
5.774434503E2,0.000000000E0
5.779434503E2,0.000000000E0
5.784434503E2,0.000000000E0
5.789434503E2,0.000000000E0
5.794434503E2,0.000000000E0
5.799434503E2,0.000000000E0
5.804434503E2,0.000000000E0
5.809434503E2,0.000000000E0
5.814434503E2,0.000000000E0
5.819434503E2,0.000000000E0
5.824434503E2,0.000000000E0
5.829434503E2,0.000000000E0
5.834434503E2,0.000000000E0
5.839434503E2,0.000000000E0
5.844434503E2,0.000000000E0
5.849434503E2,0.000000000E0
5.854434503E2,0.000000000E0
5.859434503E2,0.000000000E0
5.864434503E2,0.000000000E0
5.869434503E2,0.000000000E0
5.874434503E2,0.000000000E0
5.879434503E2,0.000000000E0
5.884434503E2,0.000000000E0
5.889434503E2,0.000000000E0
5.894434503E2,0.000000000E0
5.899434503E2,5.000000000E0
5.904434503E2,5.000000000E0
5.909434503E2,0.000000000E0
5.914434503E2,0.000000000E0
5.919434503E2,0.000000000E0
5.924434503E2,0.000000000E0
5.929434503E2,0.000000000E0
5.934434503E2,0.000000000E0
5.939434503E2,0.000000000E0
5.944434503E2,0.000000000E0
5.949434503E2,0.000000000E0
5.954434503E2,0.000000000E0
5.959434503E2,0.000000000E0
5.964434503E2,5.000000000E0
5.969434503E2,5.000000000E0
5.974434503E2,0.000000000E0
5.979434503E2,0.000000000E0
5.984434503E2,0.000000000E0
5.989434503E2,0.000000000E0
5.994434503E2,0.000000000E0
5.999434503E2,0.000000000E0
6.004434503E2,0.000000000E0
6.009434503E2,0.000000000E0
6.014434503E2,0.000000000E0
6.019434503E2,0.000000000E0
6.024434503E2,0.000000000E0
6.029434503E2,0.000000000E0
6.034434503E2,0.000000000E0
6.039434503E2,0.000000000E0
6.044434503E2,5.000000000E0
6.049434503E2,0.000000000E0
6.054434503E2,0.000000000E0
6.059434503E2,0.000000000E0
6.064434503E2,0.000000000E0
6.069434503E2,0.000000000E0
6.074434503E2,0.000000000E0
6.079434503E2,0.000000000E0
6.084434503E2,0.000000000E0
6.089434503E2,0.000000000E0
6.094434503E2,0.000000000E0
6.099434503E2,0.000000000E0
6.104434503E2,0.000000000E0
6.109434503E2,5.000000000E0
6.114434503E2,0.000000000E0
6.119434503E2,0.000000000E0
6.124434503E2,0.000000000E0
6.129434503E2,0.000000000E0
6.134434503E2,0.000000000E0
6.139434503E2,0.000000000E0
6.144434503E2,0.000000000E0
6.149434503E2,0.000000000E0
6.154434503E2,0.000000000E0
6.159434503E2,0.000000000E0
6.164434503E2,0.000000000E0
6.169434503E2,5.000000000E0
6.174434503E2,0.000000000E0
6.179434503E2,5.000000000E0
6.184434503E2,5.000000000E0
6.189434503E2,0.000000000E0
6.194434503E2,0.000000000E0
6.199434503E2,0.000000000E0
6.204434503E2,0.000000000E0
6.209434503E2,0.000000000E0
6.214434503E2,0.000000000E0
6.219434503E2,0.000000000E0
6.224434503E2,0.000000000E0
6.229434503E2,0.000000000E0
6.234434503E2,0.000000000E0
6.239434503E2,0.000000000E0
6.244434503E2,0.000000000E0
6.249434503E2,0.000000000E0
6.254434503E2,0.000000000E0
6.259434503E2,5.000000000E0
6.264434503E2,5.000000000E0
6.269434503E2,5.000000000E0
6.274434503E2,0.000000000E0
6.279434503E2,0.000000000E0
6.284434503E2,0.000000000E0
6.289434503E2,0.000000000E0
6.294434503E2,0.000000000E0
6.299434503E2,0.000000000E0
6.304434503E2,0.000000000E0
6.309434503E2,0.000000000E0
6.314434503E2,0.000000000E0
6.319434503E2,0.000000000E0
6.324434503E2,0.000000000E0
6.329434503E2,5.000000000E0
6.334434503E2,0.000000000E0
6.339434503E2,0.000000000E0
6.344434503E2,0.000000000E0
6.349434503E2,5.000000000E0
6.354434503E2,5.000000000E0
6.359434503E2,0.000000000E0
6.364434503E2,0.000000000E0
6.369434503E2,0.000000000E0
6.374434503E2,0.000000000E0
6.379434503E2,0.000000000E0
6.384434503E2,0.000000000E0
6.389434503E2,0.000000000E0
6.394434503E2,0.000000000E0
6.399434503E2,0.000000000E0
6.404434503E2,0.000000000E0
6.409434503E2,0.000000000E0
6.414434503E2,5.000000000E0
6.419434503E2,0.000000000E0
6.424434503E2,0.000000000E0
6.429434503E2,0.000000000E0
6.434434503E2,0.000000000E0
6.439434503E2,0.000000000E0
6.444434503E2,0.000000000E0
6.449434503E2,0.000000000E0
6.454434503E2,0.000000000E0
6.459434503E2,0.000000000E0
6.464434503E2,0.000000000E0
6.469434503E2,0.000000000E0
6.474434503E2,0.000000000E0
6.479434503E2,0.000000000E0
6.484434503E2,5.000000000E0
6.489434503E2,5.000000000E0
6.494434503E2,5.000000000E0
6.499434503E2,5.000000000E0
6.504434503E2,0.000000000E0
6.509434503E2,0.000000000E0
6.514434503E2,0.000000000E0
