"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
4.528430613E1,-3.324375153E1,-3.600000143E0,-2.437500060E-1
4.578430613E1,-3.320625305E1,-4.143750191E0,0.000000000E0
4.628430613E1,-3.335625076E1,-4.800000191E0,1.312500089E-1
4.678430613E1,-3.341250229E1,-5.193750381E0,3.187500238E-1
4.728430613E1,-3.337500000E1,-5.400000095E0,2.625000179E-1
4.778430613E1,-3.333750153E1,-5.700000286E0,1.256250024E0
4.828430613E1,-3.301875305E1,-5.887500286E0,1.087500095E0
4.878430613E1,-3.268125153E1,-6.206250191E0,9.562500119E-1
4.928430613E1,-3.253125000E1,-6.093750477E0,1.237500072E0
4.978430613E1,-3.255000305E1,-6.000000000E0,1.275000095E0
5.028430613E1,-3.240000153E1,-5.868750095E0,1.200000048E0
5.078430613E1,-3.241875076E1,-5.925000191E0,1.443750024E0
5.128430613E1,-3.221250153E1,-5.550000191E0,2.437500000E0
5.178430613E1,-3.200625229E1,-4.350000381E0,2.700000048E0
5.228430613E1,-3.187500191E1,-3.225000143E0,2.475000143E0
5.278430613E1,-3.166875076E1,-1.706250072E0,1.987500072E0
5.328430613E1,-3.112500191E1,-1.125000045E-1,3.000000119E-1
5.378430613E1,-3.071250153E1,2.025000095E0,-1.293750048E0
5.428430613E1,-3.024375153E1,4.368750095E0,-2.793750048E0
5.478430613E1,-2.990625191E1,6.431250095E0,-4.706250191E0
5.528430613E1,-2.983125114E1,7.875000477E0,-6.712500095E0
5.578430613E1,-2.956875038E1,8.587500572E0,-8.775000572E0
5.628430613E1,-2.951250076E1,9.225000381E0,-9.562500000E0
5.678430613E1,-2.964375114E1,9.637500763E0,-1.025625038E1
5.728430613E1,-3.005625153E1,9.675000191E0,-1.023750019E1
5.778430613E1,-3.037500191E1,9.131250381E0,-1.003125000E1
5.828430613E1,-3.046875191E1,8.756250381E0,-9.637500763E0
5.878430613E1,-3.045000076E1,8.775000572E0,-9.243750572E0
5.928430613E1,-3.037500191E1,8.756250381E0,-9.431250572E0
5.978430613E1,-3.056250191E1,8.906250000E0,-9.093750000E0
6.028430613E1,-3.067500114E1,8.625000000E0,-9.825000763E0
6.078430613E1,-3.052500153E1,8.400000572E0,-1.038750076E1
6.128430613E1,-3.022500038E1,8.418750763E0,-1.113750076E1
6.178430613E1,-3.030000114E1,8.456250191E0,-1.194375038E1
