"event","experiment time","system time","system time text"
"START",0.000000000E0,1717741494.216,"2024-06-07 08:24:54.216 UTC+02:00"
"PAUSE",8.239966723E2,1717742318.213,"2024-06-07 08:38:38.213 UTC+02:00"
