"event","experiment time","system time","system time text"
"START",0.000000000E0,1717578549.431,"2024-06-05 11:09:09.431 UTC+02:00"
"PAUSE",9.600391367E2,1717579509.470,"2024-06-05 11:25:09.470 UTC+02:00"
