"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.717583334624912E9,"2024-06-05 12:28:54.625 UTC+02:00"
"PAUSE",3.447185304583400E2,1.717583679343457E9,"2024-06-05 12:34:39.343 UTC+02:00"
