"event","experiment time","system time","system time text"
"START",0.000000000E0,1717656148.725,"2024-06-06 08:42:28.725 UTC+02:00"
"PAUSE",7.071608037E2,1717656855.886,"2024-06-06 08:54:15.886 UTC+02:00"
