"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
4.273532576E1,5.233778887E1,4.872706160E0,1.574634281E1,1.389999986E0,2.591000061E2,3.790092468E0,5.819809914E0
4.373527675E1,5.233778622E1,4.872691440E0,1.589659920E1,1.330000043E0,2.591000061E2,3.790092468E0,6.464877129E0
4.473457483E1,5.233778342E1,4.872676540E0,1.698044903E1,1.379999995E0,2.590000000E2,3.790092468E0,6.816538334E0
4.573528108E1,5.233778098E1,4.872661280E0,1.634707503E1,1.299999952E0,2.568999939E2,3.790092468E0,7.283581734E0
4.673503175E1,5.233777785E1,4.872644820E0,1.596443180E1,1.360000014E0,2.596000061E2,3.790092468E0,7.588267326E0
4.773500431E1,5.233777428E1,4.872625910E0,1.308349553E1,1.370000005E0,2.590000000E2,3.790092468E0,7.799710751E0
4.873470764E1,5.233777268E1,4.872605180E0,1.281211910E1,1.399999976E0,2.701000061E2,3.790092468E0,7.827775955E0
4.973529368E1,5.233776996E1,4.872585290E0,1.466604674E1,1.379999995E0,2.591000061E2,3.790092468E0,7.692493916E0
5.073543571E1,5.233776693E1,4.872567070E0,1.629365655E1,1.370000005E0,2.620000000E2,3.790092468E0,7.274277687E0
5.173531337E1,5.233776463E1,4.872549990E0,1.783099704E1,1.309999943E0,2.625000000E2,3.790092468E0,7.058549881E0
5.273494618E1,5.233776543E1,4.872532770E0,1.927831496E1,1.450000048E0,2.860000000E2,3.790092468E0,6.368600368E0
5.373481862E1,5.233776510E1,4.872514580E0,1.950743005E1,1.460000038E0,2.643999939E2,3.790092468E0,6.094675064E0
5.473498618E1,5.233776265E1,4.872496580E0,2.144155936E1,1.370000005E0,2.610000000E2,3.790092468E0,5.843091011E0
5.573517107E1,5.233775978E1,4.872478870E0,2.321736304E1,1.360000014E0,2.600000000E2,3.790092468E0,5.698268890E0
5.673532102E1,5.233775936E1,4.872460250E0,2.397888743E1,1.440000057E0,2.802999878E2,3.790092468E0,5.695867062E0
5.773531092E1,5.233775910E1,4.872441960E0,2.498986291E1,1.330000043E0,2.755000000E2,3.790092468E0,5.492953777E0
5.873469237E1,5.233775886E1,4.872424520E0,2.636857573E1,1.350000024E0,2.847999878E2,3.790092468E0,5.386341095E0
5.973502211E1,5.233775544E1,4.872406410E0,2.855557225E1,1.429999948E0,2.596000061E2,3.790092468E0,5.260101795E0
6.073481529E1,5.233775042E1,4.872387680E0,3.028718287E1,1.330000043E0,2.590000000E2,3.790092468E0,5.464446068E0
6.173480607E1,5.233774576E1,4.872371090E0,3.092596075E1,1.320000052E0,2.590000000E2,3.790092468E0,5.853028297E0
6.273493628E1,5.233774192E1,4.872353880E0,3.203257390E1,1.330000043E0,2.590000000E2,3.790092468E0,6.538381100E0
6.373548076E1,5.233773705E1,4.872337980E0,3.295107601E1,1.340000033E0,2.543999939E2,3.790092468E0,6.887775421E0
6.473483347E1,5.233773406E1,4.872320870E0,3.473749998E1,1.360000014E0,2.703999939E2,3.790092468E0,6.884140968E0
6.573468576E1,5.233773203E1,4.872303980E0,3.587725796E1,1.299999952E0,2.686000061E2,3.790092468E0,6.689528942E0
6.673504227E1,5.233773055E1,4.872286940E0,3.668364259E1,1.320000052E0,2.757000122E2,3.790092468E0,6.527266026E0
6.773530378E1,5.233772749E1,4.872269030E0,3.803805918E1,1.379999995E0,2.568999939E2,3.790092468E0,6.034654617E0
6.873472831E1,5.233772468E1,4.872252110E0,3.909279406E1,1.309999943E0,2.688999939E2,3.790092468E0,5.864417553E0
6.973483008E1,5.233772086E1,4.872235890E0,3.992206406E1,1.330000043E0,2.555000000E2,3.790092468E0,5.600286007E0
7.073482628E1,5.233771520E1,4.872221130E0,4.081877615E1,1.250000000E0,2.456000061E2,3.790092468E0,5.407953262E0
7.173483471E1,5.233771244E1,4.872205480E0,4.153153185E1,1.379999995E0,2.711000061E2,3.790092468E0,5.162289143E0
7.273482940E1,5.233771048E1,4.872189970E0,4.290615400E1,1.309999943E0,2.582999878E2,3.790092468E0,4.990869045E0
7.373466638E1,5.233771520E1,4.872173430E0,4.199196660E1,1.289999962E0,2.797000122E2,3.790092468E0,5.601852894E0
7.473550950E1,5.233771936E1,4.872156970E0,4.261177504E1,1.259999990E0,2.757000122E2,3.790092468E0,5.828315258E0
7.573532284E1,5.233772193E1,4.872140480E0,4.322895671E1,1.259999990E0,2.747000122E2,3.790092468E0,5.853535175E0
7.673530752E1,5.233772461E1,4.872124610E0,4.463892453E1,1.269999981E0,2.815000000E2,3.790092468E0,6.052736759E0
7.773506398E1,5.233772458E1,4.872108130E0,4.522607325E1,1.309999943E0,2.653999939E2,3.790092468E0,6.353859425E0
7.873466346E1,5.233771898E1,4.872092680E0,4.572788757E1,1.480000019E0,2.333000031E2,3.790092468E0,6.877827168E0
7.973468445E1,5.233771431E1,4.872076250E0,4.562356250E1,1.350000024E0,2.473999939E2,3.790092468E0,6.150765419E0
8.073549684E1,5.233771313E1,4.872058870E0,4.602211045E1,1.309999943E0,2.611000061E2,3.790092468E0,5.811738968E0
8.173456398E1,5.233771478E1,4.872041200E0,4.757843810E1,1.330000043E0,2.792000122E2,3.790092468E0,5.670041084E0
8.273499695E1,5.233771660E1,4.872023840E0,4.879290826E1,1.279999971E0,2.852000122E2,3.790092468E0,6.095041275E0
8.373530372E1,5.233771773E1,4.872006970E0,4.923308573E1,1.269999981E0,2.902000122E2,3.790092468E0,5.869395256E0
8.473477466E1,5.233771804E1,4.871990420E0,4.918656790E1,1.259999990E0,2.886000061E2,3.790092468E0,5.677816391E0
8.573477939E1,5.233771706E1,4.871973080E0,4.913620258E1,1.250000000E0,2.853999939E2,3.790092468E0,5.616377831E0
8.673499236E1,5.233771255E1,4.871954760E0,4.919471845E1,1.379999995E0,2.591000061E2,3.790092468E0,5.587592125E0
8.773472700E1,5.233770746E1,4.871937970E0,4.978161573E1,1.250000000E0,2.637000122E2,3.790092468E0,5.430552959E0
8.873474226E1,5.233770783E1,4.871921450E0,4.997923862E1,1.450000048E0,2.952000122E2,3.790092468E0,5.327738762E0
8.973491387E1,5.233770922E1,4.871904840E0,4.936582774E1,1.250000000E0,2.895000000E2,3.790092468E0,4.972802162E0
9.073515429E1,5.233770895E1,4.871887720E0,4.885654021E1,1.250000000E0,2.877999878E2,3.790092468E0,5.401544094E0
9.173523470E1,5.233771206E1,4.871871010E0,5.004580504E1,1.600000024E0,3.195000000E2,3.790092468E0,5.330636024E0
9.273500918E1,5.233770951E1,4.871846620E0,4.932093396E1,2.000000000E0,2.632999878E2,3.790092468E0,5.149390221E0
9.373544819E1,5.233770413E1,4.871824390E0,4.923076472E1,1.309999943E0,2.698999939E2,3.790092468E0,5.184170246E0
9.473546184E1,5.233769984E1,4.871806330E0,4.875528447E1,1.289999962E0,2.591000061E2,3.790092468E0,5.369604111E0
9.573551674E1,5.233769650E1,4.871786850E0,4.877876714E1,1.309999943E0,2.643999939E2,3.790092468E0,5.434381485E0
9.673543298E1,5.233769475E1,4.871767020E0,4.863422207E1,1.279999971E0,2.661000061E2,3.790092468E0,5.859542847E0
9.773548626E1,5.233769468E1,4.871746340E0,4.867223502E1,1.330000043E0,2.723999939E2,3.790092468E0,5.984228611E0
9.873464371E1,5.233769436E1,4.871726010E0,4.872849734E1,1.309999943E0,2.670000000E2,3.790092468E0,6.817526817E0
9.973504027E1,5.233769365E1,4.871706280E0,4.752011101E1,1.309999943E0,2.663999939E2,3.790092468E0,6.866785526E0
1.007350203E2,5.233769368E1,4.871687290E0,4.799458748E1,1.320000052E0,2.740000000E2,3.790092468E0,7.356279373E0
1.017348108E2,5.233769382E1,4.871669790E0,4.758313966E1,1.279999971E0,2.737000122E2,3.790092468E0,8.035720825E0
1.027346148E2,5.233769226E1,4.871652220E0,4.747942867E1,1.330000043E0,2.591000061E2,3.790092468E0,8.474915504E0
1.037345914E2,5.233768821E1,4.871635450E0,4.398203788E1,1.289999962E0,2.558999939E2,3.790092468E0,8.685420036E0
1.047352191E2,5.233768658E1,4.871618120E0,4.406961110E1,1.289999962E0,2.697000122E2,3.790092468E0,8.989049911E0
1.057348181E2,5.233768693E1,4.871601240E0,4.405348864E1,1.200000048E0,2.733999939E2,3.790092468E0,9.986172676E0
1.067351649E2,5.233768568E1,4.871586790E0,4.095264853E1,1.169999957E0,2.676000061E2,3.790092468E0,9.848777771E0
1.077351850E2,5.233768305E1,4.871574180E0,3.741522305E1,1.190000057E0,2.717000122E2,3.790092468E0,1.012478638E1
1.087349387E2,5.233768057E1,4.871561780E0,3.706517583E1,1.190000057E0,2.717999878E2,3.790092468E0,1.101898479E1
1.097355295E2,5.233767729E1,4.871549030E0,3.874442416E1,1.240000010E0,2.595000000E2,3.790092468E0,1.132765102E1
1.107348392E2,5.233767482E1,4.871534970E0,3.764449808E1,1.279999971E0,2.711000061E2,3.790092468E0,1.150172901E1
1.117353091E2,5.233767326E1,4.871523040E0,3.857594657E1,1.220000029E0,2.746000061E2,3.790092468E0,1.168904591E1
1.127350137E2,5.233766913E1,4.871510800E0,3.857886343E1,1.370000005E0,2.535000000E2,3.790092468E0,1.165964699E1
1.137351372E2,5.233766495E1,4.871497470E0,3.764543927E1,1.220000029E0,2.593999939E2,3.790092468E0,1.124690247E1
1.147352177E2,5.233766335E1,4.871481860E0,3.665372885E1,1.259999990E0,2.702999878E2,3.790092468E0,1.086463070E1
1.157350231E2,5.233765961E1,4.871468740E0,3.569888209E1,1.250000000E0,2.515000000E2,3.790092468E0,1.033463860E1
1.167347838E2,5.233765759E1,4.871453930E0,3.373244009E1,1.350000024E0,2.753999939E2,3.790092468E0,8.854253769E0
1.177350283E2,5.233765538E1,4.871437630E0,3.277405362E1,1.259999990E0,2.601000061E2,3.790092468E0,8.247839928E0
1.187353183E2,5.233764764E1,4.871422570E0,3.384416349E1,1.370000005E0,2.358000031E2,3.790092468E0,7.317481041E0
1.197354641E2,5.233763990E1,4.871407720E0,3.268649028E1,1.190000057E0,2.483000031E2,3.790092468E0,6.569061279E0
1.207354793E2,5.233763452E1,4.871391120E0,3.327582867E1,1.259999990E0,2.533999939E2,3.790092468E0,6.665272236E0
1.217352939E2,5.233763139E1,4.871372480E0,3.325652647E1,1.210000038E0,2.632999878E2,3.790092468E0,6.995280743E0
1.227351421E2,5.233762855E1,4.871353670E0,3.321647264E1,1.250000000E0,2.586000061E2,3.790092468E0,7.408743382E0
1.237348127E2,5.233762717E1,4.871332950E0,3.498879769E1,1.259999990E0,2.767000122E2,3.790092468E0,8.013953209E0
1.247349601E2,5.233762687E1,4.871312340E0,3.609584112E1,1.259999990E0,2.702000122E2,3.981928110E0,8.752253532E0
1.257345332E2,5.233762524E1,4.871290110E0,3.574414152E1,1.259999990E0,2.672999878E2,3.995915890E0,9.378340721E0
1.267352689E2,5.233762241E1,4.871267160E0,3.493199060E1,1.269999981E0,2.612999878E2,4.307192802E0,9.610542297E0
1.277345979E2,5.233761828E1,4.871244900E0,3.392910339E1,1.269999981E0,2.563999939E2,4.045604706E0,9.459988594E0
1.287355022E2,5.233761415E1,4.871222230E0,3.314887218E1,1.259999990E0,2.573999939E2,4.017213821E0,9.484006882E0
1.297346520E2,5.233761131E1,4.871198780E0,3.273808815E1,1.289999962E0,2.696000061E2,4.043363571E0,9.714484215E0
1.307342342E2,5.233760773E1,4.871174180E0,3.111923357E1,1.269999981E0,2.683999939E2,4.079901695E0,9.719821930E0
1.317339260E2,5.233760069E1,4.871151030E0,2.988483540E1,1.309999943E0,2.541999969E2,4.017325401E0,9.002554893E0
1.327343960E2,5.233759352E1,4.871128460E0,2.964244177E1,1.240000010E0,2.528999939E2,4.066395283E0,9.028338432E0
1.337341904E2,5.233758808E1,4.871105470E0,2.929793852E1,1.289999962E0,2.608999939E2,4.085853577E0,8.776824951E0
1.347336914E2,5.233758238E1,4.871084130E0,2.977643389E1,1.269999981E0,2.521000061E2,4.102787971E0,8.715800285E0
1.357337019E2,5.233757714E1,4.871064290E0,3.034031896E1,1.289999962E0,2.578999939E2,4.052062035E0,8.907029152E0
1.367340407E2,5.233757306E1,4.871043260E0,2.985696377E1,1.309999943E0,2.657000122E2,4.136063576E0,9.069926262E0
1.377342530E2,5.233756943E1,4.871021120E0,2.856525896E1,1.360000014E0,2.708999939E2,4.075594425E0,8.764730453E0
1.387343774E2,5.233756712E1,4.870998870E0,2.884362431E1,1.309999943E0,2.795000000E2,4.057956219E0,8.727217674E0
1.397343107E2,5.233756177E1,4.870976290E0,2.813474154E1,1.389999986E0,2.583999939E2,4.029630661E0,9.174882889E0
1.407338203E2,5.233755608E1,4.870955270E0,2.823127911E1,1.299999952E0,2.587999878E2,4.116777897E0,9.673476219E0
1.417343954E2,5.233755079E1,4.870934870E0,2.765771261E1,1.279999971E0,2.562999878E2,4.136965752E0,9.938166618E0
1.427342585E2,5.233754569E1,4.870914520E0,2.781510344E1,1.289999962E0,2.545000000E2,4.155108452E0,1.039492416E1
1.437343161E2,5.233754160E1,4.870892720E0,2.620235326E1,1.330000043E0,2.635000000E2,4.092649937E0,1.030121803E1
1.447345122E2,5.233753858E1,4.870870750E0,2.602966797E1,1.309999943E0,2.660000000E2,4.050497055E0,1.030880737E1
1.457342621E2,5.233753327E1,4.870847920E0,2.780967671E1,1.289999962E0,2.567000122E2,4.046607018E0,1.043422985E1
