"event","experiment time","system time","system time text"
"START",0.000000000E0,1717568283.698,"2024-06-05 08:18:03.698 UTC+02:00"
"PAUSE",1.091702819E3,1717569375.401,"2024-06-05 08:36:15.401 UTC+02:00"
