"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.717757901479810E9,"2024-06-07 12:58:21.480 UTC+02:00"
"PAUSE",5.523498975833354E2,1.717758453830055E9,"2024-06-07 13:07:33.830 UTC+02:00"
