"Time (s)","X (hPa)"
2.460538328E2,1.017852478E3
2.471256508E2,1.017852097E3
2.481974778E2,1.017849350E3
2.492693118E2,1.017846985E3
2.503411648E2,1.017844315E3
2.514130188E2,1.017842789E3
2.524848338E2,1.017839432E3
2.535566528E2,1.017836456E3
2.546284658E2,1.017834473E3
2.557002938E2,1.017830887E3
2.567721158E2,1.017827530E3
2.578439098E2,1.017825546E3
2.589157178E2,1.017823486E3
2.599875388E2,1.017822800E3
2.610593708E2,1.017822647E3
2.621311528E2,1.017822800E3
2.632029898E2,1.017822800E3
2.642748108E2,1.017823639E3
2.653466128E2,1.017824554E3
2.664184058E2,1.017825165E3
2.674902028E2,1.017827072E3
2.685619858E2,1.017828674E3
2.696337568E2,1.017828674E3
2.707055528E2,1.017828522E3
2.717773538E2,1.017828522E3
2.728491428E2,1.017829514E3
2.739209568E2,1.017830048E3
2.749927538E2,1.017832489E3
2.760645388E2,1.017835236E3
2.771363378E2,1.017836685E3
2.782081188E2,1.017837219E3
2.792799148E2,1.017838898E3
2.803516998E2,1.017840042E3
2.814234568E2,1.017841187E3
2.824952178E2,1.017841949E3
2.835669798E2,1.017843094E3
2.846387488E2,1.017843704E3
2.857105008E2,1.017844162E3
2.867821978E2,1.017844696E3
2.878539168E2,1.017845154E3
2.889256418E2,1.017845764E3
2.899973468E2,1.017845764E3
2.910691288E2,1.017845383E3
2.921409758E2,1.017844925E3
2.932128078E2,1.017844162E3
2.942846098E2,1.017842255E3
2.953563808E2,1.017840958E3
2.964281688E2,1.017839279E3
2.974998958E2,1.017837219E3
2.985715908E2,1.017834854E3
2.996433548E2,1.017834244E3
3.007151248E2,1.017833557E3
3.017869808E2,1.017833328E3
3.028588498E2,1.017833328E3
3.039306348E2,1.017833328E3
3.050024338E2,1.017834854E3
3.060742138E2,1.017835007E3
3.071459418E2,1.017835693E3
3.082176128E2,1.017835846E3
3.092893278E2,1.017836151E3
3.103610658E2,1.017836304E3
3.114328038E2,1.017836304E3
3.125045918E2,1.017836456E3
3.135764038E2,1.017837372E3
3.146482208E2,1.017837830E3
3.157200138E2,1.017837982E3
3.167917698E2,1.017838211E3
3.178635548E2,1.017838211E3
3.189353528E2,1.017838593E3
3.200071048E2,1.017839203E3
3.210788548E2,1.017839661E3
3.221506098E2,1.017840118E3
3.232224258E2,1.017840118E3
3.242941488E2,1.017839203E3
3.253659158E2,1.017836990E3
3.264376538E2,1.017835617E3
3.275094088E2,1.017835007E3
3.285811458E2,1.017835007E3
3.296528898E2,1.017835922E3
3.307246128E2,1.017838211E3
3.317963548E2,1.017839279E3
3.328681728E2,1.017841797E3
3.339400068E2,1.017842407E3
3.350118338E2,1.017842407E3
3.360835738E2,1.017842407E3
3.371553188E2,1.017841721E3
3.382270918E2,1.017841568E3
3.392988468E2,1.017841721E3
3.403706388E2,1.017842178E3
3.414424678E2,1.017842865E3
3.425142658E2,1.017842865E3
3.435861148E2,1.017842865E3
3.446579248E2,1.017842255E3
3.457296848E2,1.017841721E3
3.468014248E2,1.017840729E3
3.478732218E2,1.017840576E3
3.489450208E2,1.017839737E3
3.500168288E2,1.017839737E3
3.510886648E2,1.017840500E3
3.521605178E2,1.017840729E3
3.532323488E2,1.017840729E3
3.543042318E2,1.017839508E3
3.553761238E2,1.017839508E3
3.564480048E2,1.017839661E3
3.575198258E2,1.017839890E3
3.585916578E2,1.017840881E3
3.596635078E2,1.017840958E3
3.607353318E2,1.017840958E3
3.618071588E2,1.017840347E3
3.628790038E2,1.017838821E3
3.639508258E2,1.017837143E3
3.650226448E2,1.017837143E3
3.660944808E2,1.017837219E3
3.671663148E2,1.017840576E3
3.682381998E2,1.017844315E3
3.693100808E2,1.017847443E3
3.703819568E2,1.017849884E3
3.714537878E2,1.017851028E3
3.725256058E2,1.017851028E3
3.735974108E2,1.017849426E3
3.746692888E2,1.017847214E3
3.757411438E2,1.017843857E3
3.768129458E2,1.017841339E3
3.778847568E2,1.017841339E3
3.789565738E2,1.017841721E3
3.800283978E2,1.017841721E3
3.811002268E2,1.017840729E3
3.821720498E2,1.017837982E3
3.832438598E2,1.017833176E3
3.843156598E2,1.017826614E3
3.853874728E2,1.017822189E3
3.864592538E2,1.017822189E3
3.875310258E2,1.017822571E3
3.886028398E2,1.017822800E3
3.896746298E2,1.017825623E3
3.907464198E2,1.017826843E3
3.918182468E2,1.017827835E3
3.928900988E2,1.017830811E3
3.939619298E2,1.017833176E3
3.950337378E2,1.017834625E3
3.961055168E2,1.017838058E3
3.971772898E2,1.017839432E3
3.982490608E2,1.017841110E3
3.993209078E2,1.017847672E3
4.003927688E2,1.017849121E3
4.014645778E2,1.017849121E3
4.025363668E2,1.017847290E3
4.036081968E2,1.017843475E3
4.046800448E2,1.017835693E3
4.057518278E2,1.017835617E3
4.068236118E2,1.017834625E3
4.078953648E2,1.017834625E3
4.089671398E2,1.017838211E3
4.100389408E2,1.017844086E3
4.111107448E2,1.017851410E3
4.121825628E2,1.017851410E3
4.132543378E2,1.017850571E3
4.143260958E2,1.017850189E3
