"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
2.221429799E2,5.191224576E1,4.466502984E0,2.237819862E0,1.259999990E0,2.439843620E2,4.280451008E0,4.064148810E0
2.231382773E2,5.191223845E1,4.466486550E0,2.439357948E0,1.259999990E0,2.408203000E2,4.280450922E0,4.064148763E0
2.241441537E2,5.191223211E1,4.466470981E0,2.645351590E0,1.190000057E0,2.404687381E2,4.280450840E0,4.064148716E0
2.251422514E2,5.191222582E1,4.466456765E0,2.511440450E0,1.159999967E0,2.390624886E2,4.280450761E0,4.064148673E0
2.261426438E2,5.191221894E1,4.466442357E0,2.645961931E0,1.139999986E0,2.366015516E2,4.333644233E0,4.042428815E0
2.271402321E2,5.191221108E1,4.466427580E0,2.892055680E0,1.139999986E0,2.334374896E2,4.401550308E0,4.014137221E0
2.281421726E2,5.191220118E1,4.466415129E0,3.000148943E0,1.139999986E0,2.274609279E2,4.280450454E0,4.064148527E0
2.291366059E2,5.191218992E1,4.466401098E0,2.727199740E0,1.240000010E0,2.242968651E2,4.280450313E0,4.064148467E0
2.301420856E2,5.191217009E1,4.466396832E0,-4.170900211E-3,1.079495774E0,2.228181313E2,4.801539688E0,3.281730284E0
2.311416644E2,5.191215991E1,4.466383218E0,3.867450692E-1,1.232674855E0,2.186651387E2,4.798398005E0,3.286322202E0
2.321418459E2,5.191215166E1,4.466366093E0,3.092552256E-1,1.185308001E0,2.252203475E2,4.793897456E0,3.292883875E0
2.331418248E2,5.191214516E1,4.466351811E0,6.449812697E-1,1.261803329E0,2.336626716E2,4.791143993E0,3.296888878E0
2.341420479E2,5.191213563E1,4.466347666E0,8.589030579E-1,1.383290053E0,2.265697817E2,4.742186332E0,3.366928248E0
2.351385233E2,5.191213226E1,4.466337184E0,1.091387169E0,8.812568830E-1,2.334717663E2,4.739922358E0,3.370114698E0
2.361418066E2,5.191212246E1,4.466328717E0,1.135223613E0,7.159817639E-1,2.222878497E2,4.739395110E0,3.370856126E0
2.371416389E2,5.191211292E1,4.466307154E0,1.421874480E0,1.165163494E0,2.271479986E2,4.741139263E0,3.368402518E0
2.381420605E2,5.191210546E1,4.466291001E0,1.391236088E0,1.236665748E0,2.311074252E2,4.741183094E0,3.368340824E0
2.391404263E2,5.191209967E1,4.466284529E0,7.932961630E-1,9.475509873E-1,2.244866776E2,4.739144419E0,3.371208567E0
2.401384926E2,5.191209095E1,4.466265565E0,6.200089231E-1,1.177677499E0,2.264854064E2,4.739142618E0,3.371211100E0
2.411417353E2,5.191207866E1,4.466259881E0,2.748038024E-1,1.156925346E0,2.118773100E2,4.739407011E0,3.370839394E0
2.421434528E2,5.191207146E1,4.466240759E0,7.804336855E-1,1.270821654E0,2.239771684E2,4.739916631E0,3.370122751E0
2.431416754E2,5.191206926E1,4.466228042E0,1.377773969E0,7.911261765E-1,2.353549150E2,4.733953232E0,3.378494313E0
2.441387196E2,5.191206214E1,4.466207581E0,1.619293612E0,1.032137878E0,2.371403397E2,4.734078110E0,3.378319328E0
2.451429193E2,5.191205330E1,4.466187838E0,1.484944184E0,1.213264133E0,2.361055715E2,4.733523563E0,3.379096287E0
2.461422203E2,5.191205261E1,4.466182495E0,1.094368485E0,7.109092860E-1,2.386053171E2,4.733872460E0,3.378607489E0
2.471428879E2,5.191203761E1,4.466163959E0,5.505720573E-1,1.249539287E0,2.270582777E2,4.731877959E0,3.381400304E0
