"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.717577239140565E9,"2024-06-05 10:47:19.141 UTC+02:00"
"PAUSE",1.131532141625008E3,1.717578370671680E9,"2024-06-05 11:06:10.672 UTC+02:00"
