"event","experiment time","system time","system time text"
"START",0.000000000E0,1717507228.631,"2024-06-04 15:20:28.631 UTC+02:00"
"PAUSE",5.127473791E2,1717507741.379,"2024-06-04 15:29:01.379 UTC+02:00"
