"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.717673648077190E9,"2024-06-06 13:34:08.077 UTC+02:00"
"PAUSE",3.652435381250107E2,1.717674013320275E9,"2024-06-06 13:40:13.320 UTC+02:00"
