"event","experiment time","system time","system time text"
"START",0.000000000E0,1717566772.211,"2024-06-05 07:52:52.211 UTC+02:00"
"PAUSE",1.274592723E3,1717568046.804,"2024-06-05 08:14:06.804 UTC+02:00"
