"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
4.495760376E1,6.054787636E0,-1.521450996E0,1.316143870E0
4.545760376E1,-2.141609669E0,-3.839316845E0,1.458890676E0
4.595760376E1,5.438638687E0,-1.253129005E0,1.584345937E0
4.645760376E1,-2.717280388E0,-4.733797550E0,9.321911335E-1
4.695760376E1,4.191371441E0,-8.325829506E-1,1.924629807E0
4.745760376E1,-5.631833076E-1,-3.010736942E0,1.556582332E0
4.795760376E1,3.778542995E0,4.558792114E-1,2.119026184E0
4.845760376E1,4.829497337E-1,-2.617126465E0,4.560685158E-1
4.895760376E1,3.486176491E0,-3.238806725E0,1.595325470E0
4.945760376E1,7.011466026E-1,-1.465703011E0,1.356607676E-1
4.995760376E1,5.226595879E0,-2.561397552E0,1.286354184E0
5.045760376E1,2.616162300E-1,3.436565399E-2,-7.446780205E-1
5.095760376E1,4.999869823E0,-1.585132599E0,1.404495001E0
5.145760376E1,1.247682571E0,6.800894737E-1,-1.438241959E0
5.195760376E1,3.075162888E0,-1.724968910E0,2.496828079E0
5.245760376E1,-1.979293823E-1,1.704429626E0,-1.048076391E0
5.295760376E1,1.764446259E0,-6.800537109E-1,1.727028966E0
5.345760376E1,1.940052748E0,2.248666286E0,4.564070702E-1
5.395760376E1,-1.545572281E-1,1.273899078E-1,1.400358677E0
5.445760376E1,-2.736358643E0,1.661468983E0,-9.739947319E-2
5.495760376E1,1.887824059E0,1.527346134E0,2.944427252E0
5.545760376E1,-2.987876892E0,2.720203400E-1,5.232882500E-1
5.595760376E1,-6.621952057E-1,1.014259815E0,2.800044298E0
5.645760376E1,-2.953262329E-1,-5.395412445E-1,7.507964373E-1
5.695760376E1,-2.937734842E0,-2.738857269E-2,2.619097710E0
5.745760376E1,2.223098278E-1,-1.600965500E0,2.451479435E0
5.795760376E1,-1.912451029E0,-5.679440498E-1,1.316923618E0
5.845760376E1,3.486984968E0,-1.450448036E0,3.898348808E-1
5.895760376E1,-1.684948444E0,-1.724834442E0,1.224700451E0
5.945760376E1,5.610276222E0,-1.077568054E0,3.338720798E-1
5.995760376E1,-2.338592291E0,-2.256946087E0,1.249339581E0
6.045760376E1,6.682593822E0,-1.265403748E0,1.504813790E0
6.095760376E1,-3.262444496E0,-3.440680504E0,-2.028734684E-1
6.145760376E1,8.663742542E-1,-9.662294388E-1,2.373791695E0
6.195760376E1,-1.940494537E0,-3.820500851E0,1.161509275E0
6.245760376E1,2.645509243E0,-8.639078140E-1,2.318442822E0
6.295760376E1,-7.867298126E-1,-2.940213680E0,1.432530880E0
6.345760376E1,4.373874664E0,6.275653839E-2,2.386441708E0
6.395760376E1,6.121091843E-1,-8.430852890E-1,1.142110467E0
6.445760376E1,6.053858757E0,-2.636709213E-1,1.578970313E0
6.495760376E1,9.664368629E-1,5.943436623E-1,4.173275232E-1
6.545760376E1,6.024769306E0,-3.952426910E-1,1.649276614E0
6.595760376E1,9.777717590E-1,2.374148369E0,-9.401500225E-1
6.645760376E1,4.858600140E0,-2.301530838E-1,2.480688572E0
6.695760376E1,6.849246025E-1,2.739824772E0,-5.648636818E-2
6.745760376E1,2.252624512E0,3.798613548E-1,2.480910301E0
6.795760376E1,4.710803032E-1,1.166077614E0,1.535001516E0
6.845760376E1,-1.233452320E0,-6.457414627E-1,3.403651714E0
6.895760376E1,1.524517298E0,5.676689148E-1,1.780360818E0
6.945760376E1,-2.474076509E0,3.109979630E-1,2.207274675E0
6.995760376E1,1.301106453E0,-1.235029221E0,2.177663803E0
7.045760376E1,-2.142241001E0,-1.181112289E0,2.230742455E0
7.095760376E1,3.050635338E0,-1.125073433E0,2.566607475E0
7.145760376E1,-1.939572811E0,-2.256884575E0,9.067937136E-1
7.195760376E1,5.023506165E0,-8.665323257E-1,1.497777462E0
7.245760376E1,-2.026179790E0,-2.192916870E0,1.063177109E0
7.295760376E1,6.004784584E0,-5.287418365E-1,5.681800842E-2
7.345760376E1,-2.755257368E0,-3.255144119E0,1.338898420E0
7.395760376E1,9.654493332E-1,-2.456307411E-1,2.913616657E0
7.445760376E1,-1.844589233E0,-3.935000420E0,1.644168615E0
7.495760376E1,1.694849253E0,-3.418569565E-1,2.118476868E0
7.545760376E1,-1.074672222E0,-3.629066944E0,1.464815378E0
7.595760376E1,2.044563293E0,-5.463066101E-1,1.905242324E0
7.645760376E1,-1.192269325E-1,-3.352964401E0,1.238714933E0
7.695760376E1,2.729121923E0,-8.644742966E-1,1.904090643E0
7.745760376E1,1.137330532E0,-2.529295921E0,4.611177444E-1
7.795760376E1,2.471929789E0,-1.416421890E0,1.421143651E0
7.845760376E1,2.149857998E0,-9.800424576E-1,1.874523163E-1
7.895760376E1,3.617953539E0,-2.142968178E0,2.248888016E-1
7.945760376E1,8.031716347E-1,7.577457428E-1,-5.801615715E-1
7.995760376E1,4.869393349E0,-9.360027313E-1,-4.049587250E-2
8.045760376E1,7.992062569E-1,6.476736069E-1,-8.118941784E-1
8.095760376E1,5.533921242E0,-1.312765121E0,4.345664978E-1
8.145760376E1,6.540322304E-1,1.699293137E0,-4.937996864E-1
8.195760376E1,3.701341629E0,-9.140691757E-1,3.223676682E-1
8.245760376E1,6.895163059E-1,1.727041721E0,-5.024194717E-3
8.295760376E1,3.203776360E0,-1.229546547E0,4.519617558E-1
8.345760376E1,-8.178830147E-1,2.751754284E0,-1.555445910E0
8.395760376E1,3.123189449E0,-2.677316666E-1,1.148383617E0
8.445760376E1,-1.275211811E0,2.774158955E0,-1.705358505E0
8.495760376E1,1.106610775E0,9.867730141E-1,2.858720779E0
8.545760376E1,2.054939270E-1,-2.549905777E-1,-4.810178280E-1
8.595760376E1,-1.355555534E0,-4.314618111E-1,3.335293055E0
8.645760376E1,2.862277031E-1,1.173917294E0,-1.340990305E0
8.695760376E1,-2.463038921E0,-9.556021690E-1,2.510626316E0
8.745760376E1,-2.088418961E0,1.441587925E0,-1.680032372E0
8.795760376E1,-2.428885460E0,-2.379291534E0,1.812334776E0
8.845760376E1,-2.262225866E0,2.754719734E0,-5.461983681E-1
8.895760376E1,-2.384041786E0,-4.268542767E0,2.630242109E0
8.945760376E1,-1.658885479E0,1.581585884E0,7.770862579E-1
8.995760376E1,1.213827610E0,-5.201910973E0,4.669887543E0
9.045760376E1,7.565329075E-1,-1.959370613E0,4.335908890E0
9.095760376E1,3.670652390E0,-3.398928165E0,4.173096180E0
9.145760376E1,3.996169090E0,-2.076820374E0,2.379692078E0
9.195760376E1,4.200153351E0,-1.909838676E0,1.646587372E0
9.245760376E1,6.280723095E0,-2.538942337E0,3.049188852E-1
9.295760376E1,1.960069180E0,7.752037048E-1,2.234196663E-2
9.345760376E1,5.809949875E0,-1.639226913E0,8.311674595E-1
9.395760376E1,8.094625473E-1,2.330713272E0,-6.682398319E-1
9.445760376E1,3.499248505E0,-2.102460861E-1,2.201953411E0
9.495760376E1,-1.303570986E0,1.600375652E0,9.997620583E-1
9.545760376E1,1.305084229E-1,1.357618332E0,2.566859245E0
9.595760376E1,-1.072885036E0,-2.244768143E-1,3.153958321E0
9.645760376E1,4.414184093E-1,2.125984669E0,2.021543503E0
9.695760376E1,1.605992794E0,-1.505457878E0,1.997198105E0
9.745760376E1,-2.743780613E-1,-1.209821701E-1,1.938428044E0
9.795760376E1,6.282260418E-1,3.162605286E0,1.694522381E0
9.845760376E1,-1.992864370E0,-1.309481144E0,1.701402903E0
9.895760376E1,-4.212331772E-1,2.404031754E0,2.123795509E0
9.945760376E1,-1.564242840E0,-3.504004002E0,1.506772637E0
9.995760376E1,-7.292454243E-1,-7.339558601E-1,3.195766211E0
1.004576038E2,-4.346055984E-1,-4.071248055E0,2.439536095E0
1.009576038E2,1.851802349E0,-1.313280106E0,2.229472637E0
1.014576038E2,1.982068539E0,-1.058371544E0,6.221462488E-1
1.019576038E2,3.733992577E0,-1.480639458E0,1.671957970E-1
1.024576038E2,5.445668697E-1,-1.465255737E0,9.562383890E-1
1.029576038E2,4.463040352E0,-2.331837654E0,7.527849674E-1
1.034576038E2,4.051413536E-1,9.691600800E-1,-1.385901332E0
1.039576038E2,3.672583103E0,-1.178345680E0,1.307032347E0
1.044576038E2,-1.134753942E0,1.950122356E0,-1.913292050E0
1.049576038E2,2.609429121E0,-4.460248947E-1,2.225664139E0
1.054576038E2,-1.464593649E0,1.672312260E0,-6.761527061E-2
1.059576038E2,-2.763702869E-1,7.603564262E-1,2.467945099E0
1.064576038E2,-9.936878681E-1,8.234567642E-1,7.131990194E-1
1.069576038E2,-1.577669859E0,6.289753914E-1,2.626502037E0
1.074576038E2,2.614486217E-1,-1.399574280E-1,7.397668362E-1
1.079576038E2,-2.779423475E0,3.701820374E-1,1.632674336E0
1.084576038E2,1.782737255E0,-1.322368622E0,1.327275276E0
1.089576038E2,-3.599808693E0,-1.179109573E0,1.340478897E0
