"Time (s)","X (µT)","Y (µT)","Z (µT)"
4.479630250E1,-3.512050247E1,-2.831256104E1,2.127563477E0
4.529385250E1,-3.686962891E1,-3.062960815E1,4.575317383E0
4.579140129E1,-3.059014702E1,-2.780862427E1,8.818359375E-1
4.628895129E1,-2.791826630E1,-2.969705200E1,2.952758789E0
4.678650154E1,-2.892520142E1,-2.547860718E1,-7.298583984E-1
4.728405054E1,-3.124518585E1,-2.519479370E1,1.130371094E-1
4.778159992E1,-2.754497147E1,-2.230059814E1,3.793395996E0
4.827914992E1,-2.888679886E1,-2.372479248E1,-2.942565918E0
4.877669817E1,-3.003913116E1,-2.596896362E1,5.673217773E-1
4.927424717E1,-3.596718597E1,-2.582189941E1,-2.306518555E-1
4.977179737E1,-2.442346764E1,-2.426510620E1,-2.460266113E0
5.026934637E1,-1.716140938E1,-1.789923096E1,-2.102966309E0
5.076689542E1,-1.122399044E1,-9.435485840E0,-1.034381104E1
5.126444542E1,-1.236149216E1,-1.392077637E1,-1.259222412E1
5.176199413E1,-1.248423862E1,-1.501071167E1,-9.701232910E0
5.225954413E1,-1.055783176E1,-1.208129883E1,-7.730590820E0
5.275709329E1,-1.783484459E0,-1.431661987E1,-8.980102539E0
5.325464329E1,-4.733242512E0,-1.911538696E1,-1.059582520E1
5.375219229E1,-5.186224937E0,-1.334454346E1,-8.064331055E0
5.424974129E1,-3.947331429E0,-1.398269653E1,-8.167297363E0
5.474729142E1,-3.115130424E0,-1.113024902E1,-8.641967773E0
5.524484142E1,-9.544544220E-1,-1.440289307E1,-9.555114746E0
5.574239013E1,2.790766716E0,-1.036688232E1,-7.951477051E0
5.623994112E1,1.581956863E0,-1.043328857E1,-2.350585938E0
5.673749150E1,1.998974800E0,-1.242190552E1,-4.054626465E0
5.723504250E1,1.270912170E0,-1.178683472E1,-3.916503906E0
5.773259325E1,1.833998680E0,-1.418313599E1,-2.849670410E0
5.823014425E1,5.902648926E0,-1.235891724E1,-4.787963867E0
5.872769512E1,2.520757675E0,-1.730712891E1,-6.647460938E0
5.922524613E1,2.924585342E-1,-1.364849854E1,-2.733703613E0
5.972279812E1,-2.751837540E1,-2.283270264E1,-3.945373535E0
6.022034912E1,-3.304776764E1,-2.197073364E1,-3.315490723E0
6.071790000E1,-3.483641052E1,-2.566799927E1,-3.249816895E0
6.121545100E1,-3.582948303E1,-2.384997559E1,-7.181518555E0
6.171300350E1,-3.440327454E1,-2.418786621E1,-4.570007324E0
6.221055450E1,-3.780146790E1,-2.393469238E1,-2.849304199E0
6.270810525E1,-3.910908127E1,-2.304980469E1,-1.940063477E0
6.320565725E1,-3.972606659E1,-2.206192017E1,-2.400573730E0
6.370320875E1,-3.935637283E1,-2.109170532E1,-3.573730469E0
6.420076075E1,-3.949277496E1,-2.105081177E1,-3.646850586E0
6.469831137E1,-3.939085388E1,-2.109713745E1,-3.666992188E0
6.519586237E1,-3.965999603E1,-2.111938477E1,-4.252441406E0
6.569341417E1,-3.981259918E1,-2.108532715E1,-4.023742676E0
6.619096517E1,-3.956899643E1,-2.134747314E1,-3.839233398E0
6.668851750E1,-3.960928345E1,-2.097802734E1,-3.569580078E0
6.718606850E1,-3.967125320E1,-2.100933838E1,-3.945373535E0
6.768362000E1,-3.974555588E1,-2.134365845E1,-4.157470703E0
6.818117100E1,-3.972869873E1,-2.111099243E1,-3.842407227E0
6.867872354E1,-3.960134888E1,-2.124090576E1,-3.876220703E0
6.917627454E1,-3.960720825E1,-2.089520264E1,-3.783935547E0
6.967382525E1,-3.978990936E1,-2.095431519E1,-4.002380371E0
7.017137625E1,-3.971583557E1,-2.111471558E1,-3.401794434E0
7.066892717E1,-3.975242615E1,-2.095495605E1,-3.760009766E0
7.116647917E1,-3.932908630E1,-2.128506470E1,-3.972229004E0
7.166403025E1,-3.918608093E1,-2.088488770E1,-4.165893555E0
7.216158125E1,-3.889869308E1,-2.049002075E1,-5.027648926E0
7.265913125E1,-3.804980850E1,-2.086428833E1,-5.402709961E0
7.315668225E1,-3.805680847E1,-2.066567993E1,-5.771179199E0
7.365423300E1,-3.807083130E1,-2.096350098E1,-5.603149414E0
7.415178400E1,-3.815422440E1,-2.090942383E1,-5.565673828E0
