"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
0.000000000E0,-6.481610984E-2,2.187728882E-2,-3.571271896E-2
1.424134380E-1,-6.784477271E-3,9.257411957E-2,-1.303496361E-1
6.424134380E-1,4.895599186E-1,3.055324554E-1,-3.467736244E-1
1.142413438E0,-2.443220913E-1,2.401828766E-2,1.871452332E-1
1.642413438E0,1.924636066E-1,-3.156566620E-2,8.401889801E-1
2.142413438E0,-2.527146339E-1,-2.796158791E-1,3.361034393E-1
2.642413438E0,2.053359151E-1,-1.186775684E0,1.184573174E0
3.142413438E0,7.251719236E-1,7.393884659E-1,-1.496482849E0
3.642413438E0,-7.179381847E-1,2.049541473E-2,1.516835213E0
4.142413438E0,-6.075827599E0,2.098383665E0,4.955575943E0
4.642413438E0,4.254255295E-1,-1.147114396E0,-2.624388635E-1
5.142413438E0,6.120548248E-1,-9.969347119E-1,-7.993512154E-1
5.642413438E0,2.072971344E0,-4.669062793E-1,-2.392009974E0
6.142413438E0,5.715255737E-1,-5.286324620E-1,-6.074640751E-1
6.642413438E0,4.486427307E-1,-2.763321102E-1,-2.157216072E-1
7.142413438E0,1.504602432E-1,-2.298809290E-1,-5.634641647E-2
7.642413438E0,1.311292648E-1,-6.553068757E-2,-2.394127846E-1
8.142413438E0,2.156915665E-1,-3.261414170E-2,-2.731652260E-1
8.642413438E0,7.377529144E-2,1.190775037E-1,-2.369260788E-2
9.142413438E0,-1.155538559E-1,-4.084494710E-2,6.890964508E-2
9.642413438E0,-1.076440811E-1,2.572668791E-1,2.064442635E-1
1.014241344E1,2.998638153E-2,1.254156083E-1,6.073951721E-3
1.064241344E1,6.138801575E-3,-1.824365407E-1,-4.959385395E-1
1.114241344E1,6.791210175E-1,4.535320997E-1,-1.109571218E0
1.164241344E1,3.482999802E-1,2.860346437E-2,-4.863877296E-1
1.214241344E1,3.269701004E-1,3.770306110E-1,-4.879198074E-1
1.264241344E1,1.297111511E-1,-4.777350724E-1,-1.647062302E-1
1.314241344E1,2.582302094E-1,-9.583130479E-3,-2.324662209E-1
1.364241344E1,-5.351066589E-3,-6.909705400E-1,-1.760497093E-1
1.414241344E1,1.743412018E-2,2.355843782E-2,-5.072593689E-2
1.464241344E1,-5.463600159E-3,-4.108234048E-1,-7.973146439E-2
1.514241344E1,-7.182407379E-2,-3.837686777E-2,3.351593018E-2
1.564241344E1,9.531593323E-2,-2.768867016E-1,-4.320716858E-2
1.614241344E1,-1.769924164E-2,4.985702634E-1,7.052850723E-2
1.664241344E1,-9.237766266E-2,4.795634747E-2,2.346858978E-1
1.714241344E1,1.098837852E-1,3.511923254E-1,-1.769518852E-1
1.764241344E1,4.108524323E-2,9.810575843E-2,-1.564025879E-3
1.814241344E1,5.271673203E-2,8.167544007E-2,2.705764771E-2
1.864241344E1,1.200962067E-2,5.383947492E-2,7.397747040E-2
1.914241344E1,3.941631317E-2,9.682106972E-2,4.574966431E-2
1.964241344E1,-6.311559677E-2,-7.457643747E-2,-2.063655853E-2
2.014241344E1,5.319786072E-2,7.163906097E-2,6.215286255E-2
2.064241344E1,-9.423732758E-3,9.765172005E-2,-6.809234619E-3
2.114241344E1,1.950073242E-2,-1.177525520E-2,1.055479050E-2
2.164241344E1,-2.543163300E-2,5.296650529E-2,-2.236366272E-2
2.214241344E1,-3.758716583E-2,2.619564533E-3,2.098512650E-2
2.264241344E1,6.970834732E-2,1.098257303E-2,5.550765991E-2
2.314241344E1,6.488800049E-3,-3.089267015E-2,3.860950470E-3
2.364241344E1,-4.311084747E-3,6.590700150E-2,-1.064777374E-3
2.414241344E1,-2.037048340E-2,-2.756607533E-2,-2.877712250E-2
2.464241344E1,-1.069259644E-2,3.424209356E-2,8.440017700E-4
2.514241344E1,3.007173538E-2,-2.325016260E-2,2.132511139E-2
2.564241344E1,-1.346063614E-2,3.001886606E-2,-1.412868500E-3
2.614241344E1,1.172065735E-2,2.433168888E-2,2.527236938E-2
2.664241344E1,7.359981537E-2,-7.476210594E-4,-1.684617996E-2
2.714241344E1,-2.505302429E-3,3.789192438E-2,1.862096786E-2
2.764241344E1,1.038599014E-1,-2.819293737E-2,-1.060891151E-1
2.814241344E1,4.043579102E-3,5.528986454E-3,4.560470581E-3
2.864241344E1,3.159952164E-2,-1.929998398E-2,1.840019226E-2
2.914241344E1,-3.343582153E-2,1.773375273E-2,7.365703583E-3
2.964241344E1,4.137992859E-3,-8.478820324E-3,4.985094070E-2
3.014241344E1,-3.084468842E-2,2.173000574E-2,-7.294273376E-2
3.064241344E1,-1.681375504E-2,-2.617716789E-3,2.223062515E-2
3.114241344E1,-3.233861923E-2,-3.561693430E-2,4.630804062E-2
3.164241344E1,-7.848119736E-2,4.192173481E-3,3.649234772E-2
3.214241344E1,-3.136682510E-2,-2.538770437E-2,4.325866699E-2
3.264241344E1,-4.098796844E-2,6.052851677E-4,2.605867386E-2
3.314241344E1,-2.933168411E-2,-9.842455387E-3,-5.980968475E-3
3.364241344E1,5.371856689E-2,-1.986330748E-2,-2.036666870E-2
3.414241344E1,3.556108475E-2,-1.405471563E-2,-9.586334229E-3
3.464241344E1,-8.998870850E-3,-1.224201918E-2,4.291534424E-3
3.514241344E1,-1.391458511E-2,3.941214085E-2,1.446962357E-2
3.564241344E1,6.943225861E-3,-2.280980349E-2,1.080036163E-2
3.614241344E1,-6.704807281E-3,-2.369791269E-2,-5.490779877E-3
3.664241344E1,1.338624954E-2,4.706460238E-2,3.477334976E-2
3.714241344E1,-1.925992966E-2,-1.853770018E-2,-1.195573807E-2
3.764241344E1,-3.504419327E-2,-1.614558697E-2,6.634473801E-2
3.814241344E1,-1.276217461E0,1.645237952E-1,3.223396301E0
3.864241344E1,1.163104057E0,1.139829010E-1,-2.155022383E0
3.914241344E1,1.245487213E0,-1.429932266E-1,-3.154301643E0
3.964241344E1,1.104246140E0,-1.990251541E-1,-1.249677181E0
4.014241344E1,1.275475979E0,1.061270833E0,-1.212296486E0
4.064241344E1,7.166280746E-1,3.016395569E-1,-5.963644981E-1
4.114241344E1,6.504693031E-1,1.988136768E-2,-3.069772720E-1
4.164241344E1,5.263710022E-1,-5.677631497E-2,-3.673348427E-1
4.214241344E1,1.574020386E-1,6.723180413E-2,-7.511615753E-2
4.264241344E1,1.286730766E-1,-9.661823511E-3,-1.011252403E-1
4.314241344E1,4.420709610E-2,-1.921865344E-2,4.829978943E-2
4.364241344E1,-3.648900986E-2,-8.354240656E-2,-9.118318558E-2
4.414241344E1,4.563426971E-2,8.228623867E-2,-3.229951859E-2
4.464241344E1,-4.954338074E-2,-9.453520179E-2,1.197624207E-2
4.514241344E1,-8.492469788E-4,3.293478489E-2,1.267218590E-1
4.564241344E1,6.579017639E-2,-1.246069670E-1,-2.069640160E-1
4.614241344E1,2.149963379E-2,-1.337665319E-2,-2.452230453E-2
4.664241344E1,-2.432680130E-2,-2.492541075E-2,6.483554840E-2
4.714241344E1,-2.258968353E-2,-7.811188698E-4,-1.836204529E-2
4.764241344E1,-2.521133423E-2,-7.645308971E-3,-1.971244812E-3
4.814241344E1,-5.114555359E-3,-9.124696255E-3,-1.731443405E-2
4.864241344E1,9.560585022E-4,3.919619322E-2,9.867668152E-3
4.914241344E1,-2.250051498E-2,-2.890515327E-2,-5.076408386E-2
4.964241344E1,2.853155136E-2,4.175305367E-4,6.853055954E-2
5.014241344E1,4.007816315E-3,-4.682481289E-3,3.063058853E-2
5.064241344E1,1.358985901E-2,5.387067795E-3,-2.564859390E-2
5.114241344E1,-1.060247421E-2,-1.198112965E-3,-1.626968384E-3
5.164241344E1,2.675056458E-4,1.736128330E-2,9.552955627E-3
5.214241344E1,2.103233337E-2,-2.711898088E-2,4.553794861E-3
5.264241344E1,-4.477500916E-4,2.596181631E-2,6.759166718E-3
5.314241344E1,-1.006364822E-2,5.516469479E-3,-7.464408875E-3
5.364241344E1,8.863449097E-3,4.544675350E-3,6.772994995E-3
5.414241344E1,6.568908691E-3,1.899456978E-2,-1.651287079E-2
5.464241344E1,9.413242340E-3,-1.646476984E-2,-3.334999084E-3
5.514241344E1,7.234573364E-3,-1.614153385E-2,1.196718216E-2
5.564241344E1,2.338838577E-2,1.509946585E-2,-2.173089981E-2
5.614241344E1,-9.709835052E-3,6.526291370E-3,-1.755714417E-3
5.664241344E1,-5.029821396E-2,4.310667515E-3,6.471061707E-2
5.714241344E1,9.445238113E-2,8.911430836E-3,-4.877614975E-2
5.764241344E1,-1.339244843E-2,2.296024561E-2,-1.601171494E-2
5.814241344E1,-1.137495041E-2,3.406590223E-2,6.338357925E-2
5.864241344E1,-6.965160370E-3,-2.196484804E-2,-2.041339874E-2
5.914241344E1,8.156776428E-3,-9.008288383E-3,-3.587150574E-2
5.964241344E1,4.150533676E-2,1.819181442E-2,-3.118658066E-2
6.014241344E1,-4.283428192E-3,2.031415701E-2,8.850097656E-3
6.064241344E1,-4.653263092E-2,-2.838551998E-2,4.035758972E-2
