"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.717676122019456E9,"2024-06-06 14:15:22.019 UTC+02:00"
"PAUSE",2.640725445416756E2,1.717676386095132E9,"2024-06-06 14:19:46.095 UTC+02:00"
