"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
5.122045851E1,5.233503462E1,4.862748991E0,1.309958362E0,4.487257377E0,2.716020839E2,4.784681072E0,3.306261343E0
5.222045004E1,5.233503420E1,4.862685340E0,1.551774973E0,4.360510612E0,2.732944472E2,4.787242219E0,3.302551888E0
5.322044146E1,5.233503452E1,4.862621730E0,1.698999243E0,4.233667206E0,2.727225836E2,4.790714674E0,3.297512691E0
5.422043169E1,5.233503211E1,4.862562119E0,1.637378618E0,4.164208900E0,2.711373263E2,4.796166292E0,3.289578383E0
5.522042239E1,5.233503337E1,4.862500398E0,1.481462227E0,4.294610793E0,2.717392106E2,4.801659541E0,3.281554919E0
5.622041333E1,5.233503516E1,4.862446693E0,1.270668439E0,4.112633823E0,2.693378574E2,4.798084630E0,3.286779718E0
5.722040355E1,5.233503612E1,4.862387788E0,1.350674480E0,4.066754889E0,2.691860632E2,4.802105914E0,3.280901678E0
5.822039485E1,5.233503169E1,4.862324327E0,1.451694262E0,3.914893808E0,2.654596118E2,4.803583838E0,3.278737462E0
5.922038543E1,5.233503867E1,4.862275455E0,1.134650793E0,3.788727385E0,2.751902458E2,4.808086625E0,3.272130810E0
6.022037506E1,5.233504432E1,4.862231797E0,1.986003695E-1,3.407038239E0,2.851347747E2,4.805885590E0,3.275362686E0
6.122036529E1,5.233502842E1,4.862197547E0,4.400825435E-1,3.334627790E0,2.650830194E2,4.809277583E0,3.270380125E0
6.222035503E1,5.233502794E1,4.862197479E0,2.723068111E-1,8.857828373E-1,2.589682391E2,4.809737233E0,3.269704081E0
6.322034550E1,5.233503130E1,4.862130780E0,1.806557728E-1,3.066852611E0,2.729649020E2,4.814015379E0,3.263402054E0
6.422033501E1,5.233502253E1,4.862130533E0,6.357969996E-2,9.085578684E-1,2.599375586E2,4.824807740E0,3.247424719E0
6.522032559E1,5.233500910E1,4.862086119E0,1.768958233E-1,2.177988161E0,2.462877269E2,4.820213049E0,3.254240802E0
6.622031462E1,5.233500335E1,4.862065602E0,2.158165667E-1,1.330406211E0,2.444534111E2,4.824925057E0,3.247250410E0
6.722030437E1,5.233499763E1,4.862060064E0,7.574177533E-2,6.742812053E-1,2.220945179E2,4.829195647E0,3.240895931E0
6.822029400E1,5.233500006E1,4.862054543E0,2.203863002E-1,8.563283913E-2,NaN,4.828740914E0,3.241573417E0
6.922028446E1,5.233500125E1,4.862048536E0,1.443300992E-1,8.581634902E-2,NaN,4.833870480E0,3.233919173E0
7.022027338E1,5.233500732E1,4.862045213E0,1.390110692E-1,4.678878223E-2,NaN,4.826091606E0,3.245516422E0
7.122026348E1,5.233500704E1,4.862043299E0,1.931603346E-2,2.722776876E-2,NaN,4.823379191E0,3.249546155E0
7.222025311E1,5.233500427E1,4.862039326E0,-3.852683585E-2,6.968896275E-2,NaN,4.823530624E0,3.249321368E0
7.322024262E1,5.233499902E1,4.862028284E0,-2.489566430E-1,6.333659792E-1,2.400583480E2,4.829702545E0,3.240140484E0
7.422023118E1,5.233498805E1,4.862001921E0,2.302954067E-2,1.385379376E0,2.374047265E2,4.814063358E0,3.263331277E0
7.522022057E1,5.233497843E1,4.861964143E0,2.563105505E-1,1.912239929E0,2.405304374E2,4.806718751E0,3.274139870E0
7.622021055E1,5.233498102E1,4.861899270E0,4.026023829E-1,2.980392340E0,2.683046143E2,4.800136439E0,3.283782454E0
7.722019970E1,5.233498713E1,4.861833614E0,5.369113758E-1,3.489151746E0,2.737304938E2,4.799415650E0,3.284835833E0
7.822018909E1,5.233498887E1,4.861777969E0,4.495830275E-3,3.609735429E0,2.730024857E2,4.796567808E0,3.288992901E0
7.922017801E1,5.233499640E1,4.861717959E0,-1.119501647E-1,3.860125450E0,2.748183747E2,4.788923168E0,3.300113926E0
8.022016788E1,5.233499948E1,4.861647193E0,3.903494775E-2,4.124972057E0,2.710608061E2,4.788178169E0,3.301194762E0
8.122015619E1,5.233500085E1,4.861582764E0,3.269639146E-1,4.162649959E0,2.668760588E2,4.787362443E0,3.302377609E0
8.222014618E1,5.233500502E1,4.861516351E0,3.075535344E-1,4.218272474E0,2.691436429E2,4.790999898E0,3.297098272E0
8.322013485E1,5.233500513E1,4.861453032E0,6.149398442E-2,4.374014333E0,2.677724505E2,4.784968461E0,3.305845408E0
8.422012401E1,5.233501051E1,4.861386805E0,2.961674500E-1,4.511779994E0,2.721908112E2,4.785641151E0,3.304871527E0
8.522011304E1,5.233501030E1,4.861319857E0,1.509688329E-1,4.550283688E0,2.709781386E2,4.797425353E0,3.287741932E0
8.622010207E1,5.233500899E1,4.861251845E0,4.983052611E-2,4.664787183E0,2.710509774E2,4.795641161E0,3.290343885E0
8.722009099E1,5.233500072E1,4.861191066E0,-3.713671770E-1,4.509181295E0,2.675198629E2,4.800873856E0,3.282704260E0
8.822008085E1,5.233499688E1,4.861126113E0,-9.576633302E-1,4.500468784E0,2.639316197E2,4.802143242E0,3.280847043E0
8.922007024E1,5.233499692E1,4.861046590E0,-9.174988102E-1,4.824386003E0,2.680741216E2,4.803362695E0,3.279061429E0
9.022005880E1,5.233500193E1,4.860975646E0,-9.226718787E-1,4.918263035E0,2.692613629E2,4.803392051E0,3.279018425E0
9.122004783E1,5.233500468E1,4.860902636E0,-8.180695893E-1,4.824503626E0,2.712519909E2,4.807043971E0,3.273662367E0
9.222003675E1,5.233501305E1,4.860833889E0,-4.458711259E-1,4.778375506E0,2.755089784E2,4.806020149E0,3.275165242E0
9.322002590E1,5.233501127E1,4.860765188E0,-4.647690710E-1,4.671541338E0,2.712830250E2,4.805781466E0,3.275515460E0
9.422001493E1,5.233501093E1,4.860700315E0,-3.707765965E-1,4.521606061E0,2.701696045E2,4.806913495E0,3.273853950E0
9.522000444E1,5.233501456E1,4.860636777E0,-6.589178583E-1,4.554607723E0,2.717961968E2,4.802173738E0,3.280802405E0
9.621999359E1,5.233501655E1,4.860558551E0,-8.471944099E-1,4.746442898E0,2.715859475E2,4.804764446E0,3.277007118E0
9.721998239E1,5.233501076E1,4.860495757E0,-6.368044736E-1,4.850082527E0,2.691971355E2,4.803767083E0,3.278468978E0
9.821997118E1,5.233500504E1,4.860431421E0,-6.153623210E-1,4.787703033E0,2.687957895E2,4.801861224E0,3.281259791E0
9.921996057E1,5.233500470E1,4.860362652E0,-4.267708678E-1,4.815627192E0,2.692570113E2,4.801611905E0,3.281624620E0
1.002199486E2,5.233500834E1,4.860286540E0,-2.619803008E-1,4.739559047E0,2.674696478E2,4.802044551E0,3.280991491E0
1.012199374E2,5.233501025E1,4.860220498E0,-2.502973313E-1,4.591486262E0,2.710560268E2,4.801723514E0,3.281461310E0
1.022199267E2,5.233501677E1,4.860149828E0,-2.887219498E-1,4.538107886E0,2.716570939E2,4.801256925E0,3.282143960E0
1.032199157E2,5.233502007E1,4.860086762E0,-2.721434962E-1,4.284968205E0,2.730327599E2,4.802142387E0,3.280848293E0
1.042199045E2,5.233502601E1,4.860026497E0,-3.185703028E-1,4.186388438E0,2.730434431E2,4.802270889E0,3.280660199E0
1.052198939E2,5.233503447E1,4.859967510E0,-3.664178681E-1,4.114228554E0,2.750848113E2,4.804040418E0,3.278068439E0
1.062198826E2,5.233503615E1,4.859902179E0,-6.097947611E-1,4.234730776E0,2.725033913E2,4.806970873E0,3.273769701E0
1.072198722E2,5.233503469E1,4.859841582E0,-9.301885664E-1,4.181762043E0,2.689329031E2,4.809976564E0,3.269351999E0
1.082198610E2,5.233503612E1,4.859776765E0,-1.369187661E0,4.347202438E0,2.710353243E2,4.813240737E0,3.264544476E0
1.092198498E2,5.233503503E1,4.859710310E0,-1.277901188E0,4.263299867E0,2.719090172E2,4.815529000E0,3.261168117E0
1.102198385E2,5.233502776E1,4.859659593E0,-8.391120294E-1,3.845149790E0,2.615494336E2,4.818304817E0,3.257065508E0
1.112198274E2,5.233502602E1,4.859593718E0,-7.751594270E-1,4.061921634E0,2.661709251E2,4.821372767E0,3.252522355E0
1.122198164E2,5.233502619E1,4.859534759E0,-8.189083133E-1,3.996385637E0,2.665715546E2,4.829960397E0,3.239756102E0
1.132198050E2,5.233502596E1,4.859500636E0,-3.189878641E-1,3.287623596E0,2.638593770E2,4.862634464E0,3.190505148E0
