"event","experiment time","system time","system time text"
"START",0.000000000E0,1717757492.866,"2024-06-07 12:51:32.866 UTC+02:00"
"PAUSE",6.865896669E2,1717758179.455,"2024-06-07 13:02:59.455 UTC+02:00"
