"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.717748920905035E9,"2024-06-07 10:28:40.905 UTC+02:00"
"PAUSE",6.357930487499834E1,1.717748984484150E9,"2024-06-07 10:29:44.484 UTC+02:00"
"START",6.357930487499834E1,1.717748997011996E9,"2024-06-07 10:29:57.012 UTC+02:00"
