"Time (s)","Pressure (hPa)"
4.332267270E-1,1.010572632E3
9.332270400E-1,1.010630249E3
1.433217040E0,1.010448730E3
1.933228602E0,1.010672485E3
2.433226883E0,1.010677246E3
2.933227925E0,1.010572266E3
3.433225165E0,1.010624023E3
3.933219904E0,1.010630493E3
4.433226779E0,1.010630127E3
4.933226936E0,1.010578857E3
5.433226831E0,1.010565552E3
5.933227352E0,1.010523071E3
6.433214331E0,1.010565186E3
6.933229019E0,1.010502197E3
7.433228133E0,1.010442261E3
7.933229644E0,1.010426147E3
8.433224331E0,1.010426270E3
8.933216363E0,1.010404785E3
9.433217092E0,1.010380371E3
9.933217092E0,1.010391357E3
1.043321803E1,1.010380859E3
1.093322089E1,1.010379883E3
1.143321766E1,1.010391724E3
1.193321704E1,1.010416016E3
1.243321923E1,1.010424561E3
1.293321652E1,1.010404907E3
1.343321657E1,1.010396118E3
1.393321839E1,1.010413818E3
1.443321918E1,1.010423096E3
1.493321756E1,1.010412598E3
1.543321892E1,1.010414917E3
1.593321782E1,1.010347778E3
1.643321683E1,1.010342529E3
1.693321418E1,1.010396729E3
1.743321860E1,1.010432373E3
1.793321709E1,1.010400879E3
1.843321855E1,1.010425537E3
1.893321964E1,1.010440186E3
1.943321813E1,1.010490234E3
1.993321886E1,1.010313232E3
2.020334761E1,1.010279541E3
2.030332183E1,1.010310547E3
2.080332183E1,1.010322754E3
2.130332183E1,1.010290527E3
2.180332183E1,1.010305664E3
2.230332183E1,1.010251709E3
2.280332183E1,1.010265259E3
2.330332183E1,1.010246338E3
2.380332183E1,1.010263306E3
2.430332183E1,1.010276489E3
2.480332183E1,1.010261963E3
2.530332183E1,1.010220703E3
2.580332183E1,1.010288940E3
2.630332183E1,1.010246704E3
2.680332183E1,1.010137085E3
2.730332183E1,1.010141113E3
2.780332183E1,1.010185669E3
2.830332183E1,1.010179688E3
2.880332183E1,1.010215942E3
2.930332183E1,1.010233887E3
2.980332183E1,1.010199829E3
3.030332183E1,1.010181030E3
3.080332183E1,1.010150757E3
3.130332183E1,1.010118652E3
3.180332183E1,1.010147705E3
3.230332183E1,1.010087769E3
3.280332183E1,1.010007080E3
3.330332183E1,1.009978516E3
3.380332183E1,1.009970337E3
3.430332183E1,1.009894531E3
3.480332183E1,1.009823608E3
3.530332183E1,1.009864990E3
3.580332183E1,1.009935791E3
3.630332183E1,1.009978760E3
3.680332183E1,1.009979736E3
3.730332183E1,1.010024292E3
3.780332183E1,1.010040283E3
3.830332183E1,1.010023560E3
3.880332183E1,1.009941406E3
3.930332183E1,1.009998535E3
3.980332183E1,1.010001221E3
4.030332183E1,1.009810059E3
4.080332183E1,1.009911865E3
4.130332183E1,1.009993652E3
4.180332183E1,1.009842529E3
4.230332183E1,1.009713135E3
4.280332183E1,1.009755737E3
4.330332183E1,1.009778931E3
4.380332183E1,1.009794067E3
4.430332183E1,1.009804321E3
4.480332183E1,1.009868652E3
4.530332183E1,1.009877808E3
4.580332183E1,1.009853516E3
4.630332183E1,1.009834717E3
4.680332183E1,1.009915771E3
4.730332183E1,1.009956665E3
4.780332183E1,1.009979248E3
4.830332183E1,1.009998169E3
4.880332183E1,1.010016479E3
4.930332183E1,1.009948120E3
4.980332183E1,1.009961426E3
5.030332183E1,1.010004883E3
5.080332183E1,1.010012573E3
5.130332183E1,1.009979736E3
5.180332183E1,1.009921997E3
5.230332183E1,1.009782959E3
5.280332183E1,1.009819580E3
5.330332183E1,1.009856323E3
5.380332183E1,1.009898804E3
5.430332183E1,1.009883545E3
5.480332183E1,1.009888184E3
5.530332183E1,1.009909424E3
5.580332183E1,1.009876343E3
5.630332183E1,1.009862427E3
5.680332183E1,1.009808838E3
5.730332183E1,1.009818726E3
5.780332183E1,1.009851807E3
5.830332183E1,1.009857178E3
5.880332183E1,1.009908081E3
