"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.717861340620232E9,"2024-06-08 17:42:20.620 UTC+02:00"
"PAUSE",1.210993583958305E3,1.717862551631012E9,"2024-06-08 18:02:31.631 UTC+02:00"
