"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.717755345879206E9,"2024-06-07 12:15:45.879 UTC+02:00"
"PAUSE",2.787715922916614E2,1.717755624647517E9,"2024-06-07 12:20:24.648 UTC+02:00"
