"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
4.312534322E1,-6.108647794E-4,-1.527161949E-4,-3.359756200E-3
4.362945749E1,4.123337101E-3,-1.832594397E-3,7.483093534E-3
4.413357212E1,5.345067009E-3,1.221729559E-3,2.748891478E-3
4.463768702E1,3.665188793E-3,-4.734201822E-3,4.123337101E-3
4.514180223E1,1.603520103E-2,-1.572976820E-2,1.313359290E-2
4.564591770E1,-2.107483521E-2,2.550360374E-2,-2.764163166E-2
4.615003322E1,1.527161920E-3,-6.566796452E-3,5.497782957E-3
4.665414879E1,-1.313359290E-2,-2.489273995E-2,5.650499370E-3
4.715826452E1,-9.162971983E-4,3.772090003E-2,-9.773836471E-3
4.766238056E1,2.535088919E-2,-2.535088919E-2,1.542433538E-2
4.816649686E1,-3.008509055E-2,1.847865991E-2,-1.847865991E-2
4.867061327E1,-4.581485991E-4,-1.069013379E-3,-2.748891478E-3
4.917472967E1,1.527161920E-3,4.123337101E-3,1.084284950E-2
4.967884608E1,-7.941242307E-3,-1.114828233E-2,1.542433538E-2
5.018296296E1,5.192350596E-3,-3.512472380E-3,1.252272818E-2
5.068708051E1,-1.221729559E-3,2.290742937E-3,2.443459118E-3
5.119119895E1,-2.138026757E-3,-1.252272818E-2,4.581485875E-3
5.169531816E1,-1.435532235E-2,-9.621120058E-3,-1.404988952E-2
5.219943822E1,1.557705179E-2,-1.832594397E-3,1.252272818E-2
5.270355879E1,-3.054323839E-3,2.626718581E-2,-9.162971983E-4
5.320767952E1,2.443459118E-3,8.552107029E-3,9.926552884E-3
5.371180025E1,-3.436114267E-2,-9.162971750E-3,5.955931731E-3
5.421592082E1,1.588248461E-2,-6.414080039E-3,6.719512399E-3
5.472004119E1,-3.054323839E-3,4.428769462E-3,1.053741761E-2
5.522416134E1,1.053741761E-2,-3.054323897E-4,1.267544460E-2
5.572828129E1,-1.802051067E-2,1.084284950E-2,-6.108647794E-4
5.623240098E1,-1.527161920E-3,2.550360374E-2,1.374445739E-3
5.673652040E1,6.414080039E-3,-1.298087649E-2,1.664606482E-2
5.724063957E1,1.832594397E-3,2.015853859E-2,9.010255337E-3
5.774475853E1,-2.580903657E-2,-2.504545636E-2,8.704823442E-3
5.824887733E1,5.528326333E-2,1.023198478E-2,1.511890348E-2
5.875300697E1,-5.833758786E-2,-3.634645417E-2,7.024944760E-3
5.925711447E1,2.504545636E-2,4.932733253E-2,2.443459118E-3
5.976123259E1,-2.183841541E-2,-2.351829410E-2,4.428769462E-3
6.026535035E1,2.504545636E-2,4.535670951E-2,1.496618707E-2
6.076946775E1,-1.130099874E-2,-2.046396956E-2,1.099556591E-2
6.127358483E1,-1.221729559E-3,1.527161949E-4,6.872228812E-3
6.177770171E1,3.512472380E-3,-5.497782957E-3,7.788525894E-3
6.228181848E1,-4.276053514E-3,2.138026757E-3,8.552107029E-3
6.278593499E1,-2.596175298E-3,3.207040019E-3,5.650499370E-3
6.329005129E1,-6.872228812E-3,1.145371422E-2,1.130099874E-2
6.379416744E1,5.192350596E-3,5.497782957E-3,1.160643063E-2
6.429828348E1,3.817904973E-3,-1.679878100E-3,8.857538924E-3
6.480239947E1,-1.954767294E-2,-1.466075517E-2,1.511890348E-2
6.530651520E1,4.581485991E-4,6.200277433E-2,2.290742937E-3
6.581063066E1,1.069013402E-2,-4.520399496E-2,1.175914705E-2
