"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
7.915294170E-2,5.203287985E1,4.316360850E0,1.000000000E0,0.000000000E0,1.434597321E2,1.000000000E1,1.900000000E1
2.790529728E-1,5.203287985E1,4.316360850E0,1.000000000E0,0.000000000E0,1.434597321E2,1.000000000E1,1.900000000E1
1.083681941E0,5.203287985E1,4.316360850E0,1.000000000E0,0.000000000E0,1.434597321E2,1.000000000E1,1.900000000E1
1.283818960E0,5.203287985E1,4.316360850E0,1.000000000E0,0.000000000E0,1.434597321E2,1.000000000E1,1.900000000E1
2.087209940E0,5.203287985E1,4.316360850E0,1.000000000E0,0.000000000E0,1.434597321E2,1.000000000E1,1.900000000E1
2.287171006E0,5.203287985E1,4.316360850E0,1.000000000E0,0.000000000E0,1.434597321E2,1.000000000E1,1.900000000E1
3.092622995E0,5.203287985E1,4.316360850E0,1.000000000E0,0.000000000E0,1.434597321E2,1.000000000E1,1.900000000E1
3.292305946E0,5.203287985E1,4.316360850E0,1.000000000E0,0.000000000E0,1.434597321E2,1.000000000E1,1.900000000E1
4.093266964E0,5.203287985E1,4.316360850E0,1.000000000E0,0.000000000E0,1.434597321E2,1.000000000E1,1.900000000E1
4.294662952E0,5.203287985E1,4.316360850E0,1.000000000E0,0.000000000E0,1.434597321E2,1.000000000E1,1.900000000E1
5.097986937E0,5.203287985E1,4.316360850E0,1.000000000E0,0.000000000E0,1.434597321E2,1.000000000E1,1.900000000E1
5.298775911E0,5.203287985E1,4.316360850E0,1.000000000E0,0.000000000E0,1.434597321E2,1.000000000E1,1.900000000E1
6.002728939E0,5.203287985E1,4.316360850E0,1.000000000E0,0.000000000E0,1.434597321E2,1.000000000E1,1.900000000E1
6.202139974E0,5.203287985E1,4.316360850E0,1.000000000E0,0.000000000E0,1.434597321E2,1.000000000E1,1.900000000E1
7.004602909E0,5.203287985E1,4.316360850E0,1.000000000E0,0.000000000E0,1.434597321E2,1.000000000E1,1.900000000E1
7.204031944E0,5.203287985E1,4.316360850E0,1.000000000E0,0.000000000E0,1.434597321E2,1.000000000E1,1.900000000E1
8.006600022E0,5.203287985E1,4.316360850E0,1.000000000E0,0.000000000E0,1.434597321E2,1.000000000E1,1.900000000E1
8.206810951E0,5.203287985E1,4.316360850E0,1.000000000E0,0.000000000E0,1.434597321E2,1.000000000E1,1.900000000E1
9.012869000E0,5.203287985E1,4.316360850E0,1.000000000E0,0.000000000E0,1.434597321E2,1.000000000E1,1.900000000E1
9.216410995E0,5.203287985E1,4.316360850E0,1.000000000E0,0.000000000E0,1.434597321E2,1.000000000E1,1.900000000E1
1.001326895E1,5.203287985E1,4.316360850E0,1.000000000E0,0.000000000E0,1.434597321E2,1.000000000E1,1.900000000E1
1.021257794E1,5.203287985E1,4.316360850E0,1.000000000E0,0.000000000E0,1.434597321E2,1.000000000E1,1.900000000E1
1.101530802E1,5.203287985E1,4.316360850E0,1.000000000E0,0.000000000E0,1.434597321E2,1.000000000E1,1.900000000E1
1.121465600E1,5.203287985E1,4.316360850E0,1.000000000E0,0.000000000E0,1.434597321E2,1.000000000E1,1.900000000E1
1.211738193E1,5.203287985E1,4.316360850E0,1.000000000E0,0.000000000E0,1.434597321E2,1.000000000E1,1.900000000E1
1.231763899E1,5.203287985E1,4.316360850E0,1.000000000E0,0.000000000E0,1.434597321E2,1.000000000E1,1.900000000E1
1.302754891E1,5.203287985E1,4.316360850E0,1.000000000E0,0.000000000E0,1.434597321E2,1.000000000E1,1.900000000E1
1.322236693E1,5.203287985E1,4.316360850E0,1.000000000E0,0.000000000E0,1.434597321E2,1.000000000E1,1.900000000E1
1.402697492E1,5.203287985E1,4.316360850E0,1.000000000E0,0.000000000E0,1.434597321E2,1.000000000E1,1.900000000E1
1.422637498E1,5.203287985E1,4.316360850E0,1.000000000E0,0.000000000E0,1.434597321E2,1.000000000E1,1.900000000E1
1.512791991E1,5.203287985E1,4.316360850E0,1.000000000E0,0.000000000E0,1.434597321E2,1.000000000E1,1.900000000E1
