"event","experiment time","system time","system time text"
"START",0.000000000E0,1717665582.645,"2024-06-06 11:19:42.645 UTC+02:00"
"PAUSE",1.155714197E3,1717666738.359,"2024-06-06 11:38:58.359 UTC+02:00"
