"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.717767391779098E9,"2024-06-07 15:36:31.779 UTC+02:00"
"PAUSE",1.646010588875000E3,1.717769037771071E9,"2024-06-07 16:03:57.771 UTC+02:00"
