"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
9.088797212E1,5.233517588E1,4.806177920E0,2.605461555E0,3.354000092E1,2.271090896E2,1.003342393E1,8.000000000E0
9.188795304E1,5.233494008E1,4.805780429E0,2.249631170E0,3.440000153E1,2.271090823E2,1.003931328E1,8.000000000E0
9.288793516E1,5.233472794E1,4.805433389E0,2.307855718E0,3.384000015E1,2.267575262E2,1.106413992E1,8.000000000E0
9.388791776E1,5.233450419E1,4.805086807E0,3.773983122E0,3.420000076E1,2.267575232E2,1.314266068E1,8.000000000E0
9.488790095E1,5.233429565E1,4.804714485E0,4.292171599E0,3.420000076E1,2.267575232E2,1.410049123E1,8.000000000E0
9.588788462E1,5.233407820E1,4.804357059E0,4.774776634E0,3.420999908E1,2.267575231E2,1.740317041E1,8.000000000E0
9.688786888E1,5.233383498E1,4.804019496E0,5.277585221E0,3.438999939E1,2.257028392E2,2.055781066E1,8.000000000E0
9.788785338E1,5.233352756E1,4.803715770E0,5.508790102E0,3.506999969E1,2.239450299E2,2.051486853E1,8.000000000E0
9.888783908E1,5.233325850E1,4.803381183E0,5.187989322E0,3.506999969E1,2.235934692E2,1.702836782E1,8.000000000E0
9.988782501E1,5.233303174E1,4.803038056E0,4.238586315E0,3.486000061E1,2.239450316E2,1.651466390E1,8.000000000E0
1.008878115E2,5.233297867E1,4.802651801E0,7.755458850E0,3.432439436E1,2.256785236E2,4.015717080E1,1.953537038E0
1.018877966E2,5.233273302E1,4.802292891E0,7.829897742E0,3.467053919E1,2.252047735E2,4.167022387E1,2.004639132E0
1.028877842E2,5.233245759E1,4.802023982E0,7.639885580E0,3.441636618E1,2.235352783E2,3.604161767E1,2.056004298E0
1.038877705E2,5.233228522E1,4.801662125E0,7.135229259E0,3.412713070E1,2.241424285E2,3.747450722E1,2.105755089E0
1.048877580E2,5.233206535E1,4.801327084E0,7.672234104E0,3.406928102E1,2.239148123E2,3.663150577E1,2.154717295E0
1.058877455E2,5.233184467E1,4.800980125E0,7.419510962E0,3.407229830E1,2.239165467E2,3.947273555E1,2.202768065E0
1.068877337E2,5.233162410E1,4.800633443E0,7.389783026E0,3.407234231E1,2.239163029E2,4.278722506E1,2.248943404E0
1.078877226E2,5.233140986E1,4.800249638E0,6.844155177E0,3.409590333E1,2.244610152E2,4.464849480E1,2.400545317E0
1.088877102E2,5.233116746E1,4.799912659E0,6.140805527E0,3.418719481E1,2.241326152E2,4.591354656E1,2.442118493E0
1.098876987E2,5.233094635E1,4.799563433E0,6.019992076E0,3.419051853E1,2.241254029E2,4.898352613E1,2.474511817E0
1.108876882E2,5.233073219E1,4.799213498E0,6.588062597E0,3.415269281E1,2.241911628E2,5.078353400E1,2.527303251E0
1.118876777E2,5.233051211E1,4.798869257E0,5.987345895E0,3.415971000E1,2.242239941E2,5.454802708E1,2.570349681E0
1.128876663E2,5.233029269E1,4.798524991E0,5.382375821E0,3.416016999E1,2.242270770E2,5.852796775E1,2.610904276E0
1.138876555E2,5.233007400E1,4.798178011E0,4.637582216E0,3.416541773E1,2.242256327E2,6.272937434E1,2.650752375E0
1.148876451E2,5.232985515E1,4.797829040E0,4.725185399E0,3.415123707E1,2.242349888E2,6.715180693E1,2.469458881E0
1.158876350E2,5.232963538E1,4.797479453E0,4.306332932E0,3.414997393E1,2.242329470E2,7.130815664E1,2.326956287E0
1.168876250E2,5.232943944E1,4.797143119E0,3.977757422E0,3.386554873E1,2.244953626E2,6.477059269E1,2.233244148E0
1.178876145E2,5.232933678E1,4.796662544E0,3.589469293E0,3.364566353E1,2.271994241E2,4.821356424E1,2.139144381E0
1.188876051E2,5.232913564E1,4.796236355E0,3.208724374E0,3.400400008E1,2.279004361E2,4.271344757E1,2.093625841E0
1.198875951E2,5.232938612E1,4.796783812E0,1.746852944E0,0.000000000E0,NaN,2.677053961E1,4.000000000E0
1.208875852E2,5.232938612E1,4.796783812E0,1.746852944E0,0.000000000E0,NaN,2.702294997E1,4.000000000E0
1.218875767E2,5.232931467E1,4.796442166E0,3.340114661E0,0.000000000E0,NaN,2.712972250E1,4.000000000E0
1.228875664E2,5.232894620E1,4.795589704E0,2.511600440E0,3.556999969E1,2.348434123E2,2.759759930E1,4.000000001E0
1.238875575E2,5.232876193E1,4.795164156E0,1.100284520E0,3.556999969E1,2.348434124E2,2.840670381E1,6.000000001E0
1.248875468E2,5.232857791E1,4.794739148E0,-4.775353596E-1,3.556000137E1,2.348434124E2,2.953884769E1,6.000000001E0
1.258875387E2,5.232839412E1,4.794314762E0,-4.857052073E0,3.554000091E1,2.348434126E2,3.125244538E1,8.000000001E0
1.268875315E2,5.232809253E1,4.793812213E0,-5.687862616E0,3.554000091E1,2.341402906E2,3.125879006E1,8.000000001E0
1.278875198E2,5.232789653E1,4.793372093E0,-6.132987451E0,3.634999847E1,2.341402830E2,3.390710538E1,1.200000000E1
1.288875111E2,5.232757377E1,4.792466720E0,-5.455050838E0,3.956999969E1,2.355464962E2,3.589071044E1,1.200000000E1
1.298875042E2,5.232737338E1,4.791989111E0,-5.398715512E0,3.954999924E1,2.355464964E2,4.123879298E1,1.200000000E1
1.309087895E2,5.232716877E1,4.791501579E0,-5.312894812E0,3.954999924E1,2.355464883E2,5.286687088E1,1.200000000E1
1.422432860E2,5.232508004E1,4.786532520E0,-1.194555283E0,NaN,NaN,1.615924236E2,2.208446693E1
1.422524329E2,5.232507850E1,4.786528855E0,-1.194555283E0,NaN,NaN,1.615925488E2,2.208446693E1
1.427311469E2,5.232499818E1,4.786337779E0,-1.203523636E0,NaN,NaN,1.619382706E2,2.208446693E1
1.429150779E2,5.232496747E1,4.786264743E0,-1.203523636E0,NaN,NaN,1.619906529E2,2.208446693E1
