"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.717735311403114E9,"2024-06-07 06:41:51.403 UTC+02:00"
"PAUSE",2.974095587291668E3,1.717738285504122E9,"2024-06-07 07:31:25.504 UTC+02:00"
