"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
3.747004271E-1,5.200696906E1,4.356834123E0,3.312914665E0,2.964967966E0,3.541692141E1,3.231244617E0,2.400000095E0
1.374700427E0,5.200698801E1,4.356864308E0,3.189298112E0,2.964967966E0,4.059459754E1,2.985089682E0,2.400000095E0
2.374700546E0,5.200700778E1,4.356901209E0,3.175379071E0,3.083076239E0,4.899166284E1,2.922915997E0,2.400000095E0
3.374699593E0,5.200702596E1,4.356935090E0,3.175379883E0,3.083076239E0,4.899168954E1,4.674049171E0,3.460896037E0
4.374702096E0,5.200704340E1,4.356992670E0,2.928776473E0,3.619778395E0,5.932640316E1,4.659775442E0,3.480090496E0
5.374696374E0,5.200706425E1,4.357051429E0,2.570234984E0,4.154864788E0,5.866417351E1,4.659005639E0,3.481121010E0
6.374691248E0,5.200708435E1,4.357110015E0,2.522178087E0,4.154864788E0,5.895878019E1,4.659792730E0,3.480067348E0
7.374694705E0,5.200712346E1,4.357175462E0,3.025970438E0,4.377635002E0,5.175704782E1,4.613854151E0,3.540746660E0
8.374690413E0,5.200717243E1,4.357244335E0,3.180221691E0,5.599864483E0,4.651380222E1,4.617061290E0,3.536563597E0
9.374690890E0,5.200720299E1,4.357300966E0,3.122183443E0,5.197043896E0,4.859608595E1,4.616566746E0,3.537209142E0
1.037469101E1,5.200722446E1,4.357354348E0,3.080740632E0,5.197043896E0,5.175298100E1,4.656497292E0,3.484475570E0
1.137469411E1,5.200723976E1,4.357390837E0,3.312612852E0,4.458309650E0,5.271007902E1,4.477300432E0,3.711915661E0
1.237469172E1,5.200724562E1,4.357415155E0,3.520778578E0,3.590549707E0,5.412139028E1,4.469889800E0,3.720836224E0
1.337469268E1,5.200724260E1,4.357413621E0,3.611351877E0,1.643661261E0,5.446991679E1,4.457922592E0,3.735165752E0
