"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.717615428112197E9,"2024-06-05 21:23:48.112 UTC+02:00"
"PAUSE",2.329334097499959E2,1.717615661043221E9,"2024-06-05 21:27:41.043 UTC+02:00"
