"event","experiment time","system time","system time text"
"START",0.000000000E0,1717566364.078,"2024-06-05 07:46:04.078 UTC+02:00"
"PAUSE",2.007980616E2,1717566564.876,"2024-06-05 07:49:24.876 UTC+02:00"
