"event","experiment time","system time","system time text"
"START",0.000000000E0,1717739977.031,"2024-06-07 07:59:37.031 UTC+02:00"
"PAUSE",1.095447692E3,1717741072.479,"2024-06-07 08:17:52.479 UTC+02:00"
