"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
4.151983881E1,5.232519791E1,4.868925628E0,-2.382522924E-1,2.512899285E0,1.773183932E2,4.743004192E0,3.365776028E0
4.251983881E1,5.232519109E1,4.868923383E0,5.845103245E-1,1.294352832E0,1.791036395E2,4.742023419E0,3.367157692E0
4.351983798E1,5.232519245E1,4.868924622E0,8.988224249E-1,4.113128703E-1,1.773915218E2,4.741177687E0,3.368348435E0
4.451983762E1,5.232519631E1,4.868924624E0,7.112775240E-1,9.425488981E-2,1.773725547E2,4.742213981E0,3.366889304E0
4.551983607E1,5.232519525E1,4.868923896E0,7.824828364E-1,1.472729623E-1,1.773725538E2,4.741159518E0,3.368374008E0
4.651983571E1,5.232519568E1,4.868926687E0,8.131071581E-1,1.401638576E-1,1.773725571E2,4.740744606E0,3.368957941E0
4.751983500E1,5.232519958E1,4.868924771E0,7.456124052E-1,5.593722438E-2,1.773725550E2,4.742159474E0,3.366966076E0
4.851983392E1,5.232519908E1,4.868924771E0,6.637355834E-1,2.171605397E-1,1.773725549E2,4.742517720E0,3.366461452E0
4.951983368E1,5.232520222E1,4.868922436E0,5.584452106E-1,4.727410991E-2,1.773725523E2,4.742050687E0,3.367119290E0
5.051983213E1,5.232520463E1,4.868921743E0,4.600562342E-1,1.166502452E-2,1.773725515E2,4.742559627E0,3.366402415E0
5.151983154E1,5.232520505E1,4.868922221E0,4.218790326E-1,4.916152224E-2,1.773725521E2,4.743562128E0,3.364989654E0
5.251983058E1,5.232520516E1,4.868922213E0,4.189087348E-1,0.000000000E0,1.773725521E2,4.741359264E0,3.368092838E0
5.351983035E1,5.232520516E1,4.868922213E0,4.189087348E-1,0.000000000E0,1.773725521E2,4.741371101E0,3.368076175E0
5.451982939E1,5.232520633E1,4.868924301E0,7.913380386E-1,3.831711853E-1,1.773725546E2,4.741974220E0,3.367226980E0
5.551982903E1,5.232520627E1,4.868922630E0,9.322850443E-1,2.642759023E-1,1.889740457E2,4.757900650E0,3.344685104E0
5.651982820E1,5.232520760E1,4.868922974E0,8.704582155E-1,0.000000000E0,1.889740460E2,4.744497604E0,3.363670543E0
5.751982713E1,5.232520760E1,4.868922974E0,8.704582155E-1,0.000000000E0,1.889740460E2,4.744051272E0,3.364300010E0
5.851982641E1,5.232520760E1,4.868922974E0,8.704582155E-1,0.000000000E0,1.889740460E2,4.744113335E0,3.364212493E0
5.951982558E1,5.232520760E1,4.868922974E0,8.704582155E-1,0.000000000E0,1.889740460E2,4.743177906E0,3.365531218E0
6.051982474E1,5.232520760E1,4.868922974E0,8.704582155E-1,0.000000000E0,1.889740460E2,4.744556712E0,3.363587168E0
6.151982427E1,5.232520760E1,4.868922974E0,8.704582155E-1,0.000000000E0,1.889740460E2,4.742904522E0,3.365916476E0
6.251982367E1,5.232520760E1,4.868922974E0,8.704582155E-1,0.000000000E0,1.889740460E2,4.743438188E0,3.365164363E0
6.351982284E1,5.232520760E1,4.868922974E0,8.704582155E-1,0.000000000E0,1.889740460E2,4.743625494E0,3.364900326E0
6.451982212E1,5.232520760E1,4.868922974E0,8.704582155E-1,0.000000000E0,1.889740460E2,4.743738558E0,3.364740930E0
6.551982117E1,5.232520760E1,4.868922974E0,8.704582155E-1,0.000000000E0,1.889740460E2,4.743553073E0,3.365002419E0
6.651982117E1,5.232520760E1,4.868922974E0,8.704582155E-1,0.000000000E0,1.889740460E2,4.743592485E0,3.364946860E0
6.751981950E1,5.232522046E1,4.868934399E0,6.118580326E-1,7.185955355E-2,1.889740570E2,4.743545128E0,3.365013618E0
6.851981902E1,5.232521707E1,4.868935641E0,7.146862894E-1,3.042214168E-1,1.889740585E2,4.743696359E0,3.364800423E0
6.951981807E1,5.232521319E1,4.868937496E0,8.066133773E-1,4.040593421E-1,1.889740607E2,4.743416227E0,3.365195318E0
7.051981699E1,5.232521161E1,4.868937204E0,8.462369973E-1,0.000000000E0,1.889740605E2,4.743024979E0,3.365746734E0
7.151981699E1,5.232521161E1,4.868937204E0,8.462369973E-1,0.000000000E0,1.889740605E2,4.742404369E0,3.366621130E0
7.251981568E1,5.232520136E1,4.868939224E0,8.167100288E-1,5.692545994E-1,1.816207764E2,4.742957452E0,3.365841893E0
7.351981497E1,5.232519822E1,4.868939257E0,6.978394585E-1,5.013670890E-1,1.792040037E2,4.742448820E0,3.366558514E0
7.451981473E1,5.232519293E1,4.868939324E0,8.101198701E-1,5.003252880E-1,1.797623577E2,4.742416975E0,3.366603373E0
7.551981401E1,5.232518917E1,4.868939750E0,8.517823461E-1,3.888855718E-1,1.779500471E2,4.742427132E0,3.366589065E0
7.651981258E1,5.232518314E1,4.868939200E0,7.555747712E-1,3.920636602E-1,1.801716065E2,4.742654376E0,3.366268929E0
7.751981187E1,5.232518027E1,4.868940400E0,8.911459837E-1,0.000000000E0,1.754018089E2,4.743176509E0,3.365533187E0
7.851981175E1,5.232517077E1,4.868940394E0,1.313286996E0,9.054745730E-1,1.784595620E2,4.743092051E0,3.365652214E0
7.951981056E1,5.232515320E1,4.868942535E0,1.026046530E0,1.743424157E0,1.778499736E2,4.743017870E0,3.365756753E0
8.051980960E1,5.232512424E1,4.868944728E0,1.153101705E0,2.871628970E0,1.778604132E2,4.742829346E0,3.366022404E0
8.151980937E1,5.232508462E1,4.868946786E0,1.164423524E0,4.041963789E0,1.785180967E2,4.743147341E0,3.365574295E0
8.251980841E1,5.232503548E1,4.868952490E0,4.809650648E-1,5.181360300E0,1.774274204E2,4.742210337E0,3.366894438E0
8.351980758E1,5.232497399E1,4.868955773E0,4.204712976E-1,6.425869149E0,1.780419437E2,4.741695997E0,3.367618758E0
8.451980722E1,5.232489670E1,4.868958810E0,5.976131232E-1,7.913798936E0,1.784230456E2,4.742366363E0,3.366674667E0
8.551980650E1,5.232481285E1,4.868962606E0,5.636921581E-1,8.990454375E0,1.783741284E2,4.742524416E0,3.366452020E0
8.651980519E1,5.232472108E1,4.868965751E0,7.192915771E-1,9.880653647E0,1.784455974E2,4.742972011E0,3.365821377E0
8.751980472E1,5.232462053E1,4.868971325E0,4.839404915E-1,1.080681499E1,1.782284296E2,4.743362066E0,3.365271660E0
8.851980352E1,5.232451148E1,4.868976914E0,6.380756721E-1,1.166949951E1,1.779794400E2,4.743781826E0,3.364679928E0
