"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
4.362044667E1,-1.435532235E-2,1.663079411E-1,-9.086613357E-2
4.412453245E1,-9.880737960E-2,6.750056148E-2,4.505127668E-2
4.462861813E1,-1.366809905E-1,2.521344423E-1,1.035415828E-1
4.513270355E1,-1.131627038E-1,2.675587833E-1,-1.267544460E-2
4.563678865E1,-1.379027218E-1,2.643517256E-1,-2.076940238E-2
4.614087381E1,-1.676823795E-1,3.698786199E-1,7.880155742E-2
4.664495886E1,-6.872228533E-2,1.044578776E-1,-3.176496923E-2
4.714904386E1,-1.007926911E-1,2.179260105E-1,-4.077522457E-2
4.765312875E1,-9.422589093E-2,1.826485693E-1,1.485928595E-1
4.815721360E1,1.808159798E-1,-4.224129915E-1,-6.785180569E-1
4.866129839E1,-2.477056682E-1,4.543306828E-1,4.550942481E-1
4.916538323E1,8.200860023E-2,-4.662425518E-1,-1.455385387E-1
4.966946802E1,2.208276242E-1,1.383608729E-1,-2.037234008E-1
5.017355245E1,-1.678351015E-1,-1.797469556E-1,2.333503515E-1
5.067763662E1,3.486510813E-1,1.094975099E-1,-1.307250559E-1
5.118172063E1,-1.288924664E-1,1.792888194E-1,1.534797698E-1
5.168580453E1,-5.574141070E-2,-6.444623321E-2,2.095266134E-1
5.218988849E1,-8.826996386E-2,3.756818548E-2,-9.926552325E-2
5.269397256E1,-4.398226365E-2,5.910116807E-2,-6.719512399E-3
5.319805651E1,-3.573558852E-2,1.519526094E-1,-1.233946830E-1
5.370214011E1,-1.374445739E-3,-4.382954910E-2,-5.925388262E-2
5.420622305E1,6.093376130E-2,-5.360338464E-2,1.542433538E-2
5.471030633E1,-1.117882580E-1,-8.093958721E-3,1.003345400E-1
5.521438951E1,2.443459071E-2,1.453858167E-1,-3.237583488E-2
5.571847264E1,-9.468403645E-3,-1.353065521E-1,-7.651081681E-2
5.622255571E1,-3.940077871E-2,7.452550530E-2,8.964440972E-2
5.672663873E1,4.505127668E-2,3.069595434E-2,-1.015562713E-1
5.723072165E1,2.977965772E-2,-6.643154472E-2,1.664606482E-2
5.773480441E1,2.138026804E-2,-2.947422490E-2,4.581485991E-4
5.823888706E1,-7.223475724E-2,5.803215504E-2,3.741546720E-2
5.874296962E1,-5.513054505E-2,1.327103674E-1,-2.535088919E-2
5.924705196E1,-2.260199748E-2,-1.985310577E-3,-1.832594350E-2
5.975113415E1,1.038470119E-2,-4.948004708E-2,2.550360374E-2
6.025521623E1,-2.290742937E-3,5.757400393E-2,-7.544180006E-2
6.075929831E1,-7.147117704E-2,6.811141968E-2,6.918043643E-2
6.126338040E1,-3.817904973E-3,-8.826996386E-2,1.148425788E-1
6.176746243E1,1.679878086E-1,-2.021962404E-1,-2.110537887E-1
6.227154430E1,-3.069595434E-2,8.888082206E-2,3.649916872E-2
6.277562607E1,-1.423314959E-1,5.024362728E-2,7.208204269E-2
6.327970774E1,-4.153880477E-2,5.222893879E-2,-4.413498193E-2
6.378378925E1,2.703076601E-2,-6.368265301E-2,-1.175914705E-2
6.428787076E1,-2.290742844E-2,1.527161989E-2,3.588830680E-2
6.479195227E1,3.390299529E-2,3.985892609E-2,-5.115992576E-2
6.529603394E1,-1.069013379E-3,-1.038470119E-2,3.161225095E-2
6.580011576E1,5.222893879E-2,-8.200860023E-2,-2.321286127E-2
6.630419774E1,4.581485991E-4,-1.496618707E-2,-8.399390616E-3
6.680827993E1,-2.260199748E-2,4.230238497E-2,-4.734201822E-3
6.731236222E1,-3.848448023E-2,3.588830680E-2,3.833176568E-2
6.781644456E1,7.467821985E-2,-1.032361463E-1,-3.604102135E-2
6.832052686E1,6.108647794E-4,-1.527161989E-2,3.207040206E-2
6.882460894E1,-1.298087649E-2,6.429351866E-2,-5.238165334E-2
6.932869081E1,-7.192932814E-2,7.513637096E-2,5.940660089E-2
6.983277248E1,7.635809947E-3,-3.955349326E-2,-1.435532235E-2
7.033685383E1,8.704823442E-3,-2.932151034E-2,-2.535088919E-2
7.084093503E1,-3.756818548E-2,1.557705179E-2,6.902772188E-2
7.134501597E1,3.420842811E-2,-2.641990222E-2,-3.970621154E-2
7.184909675E1,2.840521187E-2,-1.649334840E-2,-1.069013402E-2
7.235317743E1,-1.069013402E-2,3.833176568E-2,3.359756200E-3
7.285725795E1,3.695731983E-2,-2.580903657E-2,-1.832594350E-2
7.336133842E1,-2.886336111E-2,1.282816008E-2,1.664606482E-2
7.386541889E1,-1.786779426E-2,3.466657549E-2,3.817904973E-3
7.436949936E1,7.024944760E-3,-1.145371422E-2,-1.557705179E-2
7.487357998E1,9.773836471E-3,-4.428769462E-3,-3.817904973E-3
7.537766066E1,-2.565632015E-2,3.313941509E-2,3.054323839E-3
7.588174159E1,3.817904973E-3,-1.374445739E-3,-4.581485875E-3
7.638582269E1,3.054323897E-4,1.557705179E-2,-1.038470119E-2
7.688990368E1,-6.017018110E-2,7.727439702E-2,1.710421406E-2
7.739398425E1,-1.007926930E-2,1.252272818E-2,-1.740964688E-2
7.789806451E1,-1.511890348E-2,4.581485875E-3,-1.679878100E-3
7.840214446E1,1.740964688E-2,-2.412915789E-2,4.581485875E-3
7.890622404E1,2.596175298E-2,-3.649916872E-2,-8.704823442E-3
7.941030316E1,-1.802051067E-2,1.343902480E-2,4.886918236E-3
7.991438196E1,2.199113183E-2,-2.916879393E-2,-1.649334840E-2
8.041846060E1,-7.635809598E-4,1.282816008E-2,-2.290742937E-3
8.092253946E1,2.138026757E-3,4.276053514E-3,-3.054323897E-4
8.142661904E1,-3.665188793E-3,-4.886918236E-3,5.192350596E-3
8.193069962E1,2.092211880E-2,-1.802051067E-2,4.428769462E-3
8.243478097E1,-4.382954910E-2,4.978547990E-2,4.581485875E-3
8.293886316E1,7.024944760E-3,-2.932151034E-2,-2.138026757E-3
8.344294602E1,3.008509055E-2,-2.168569900E-2,-8.093958721E-3
8.394702946E1,-8.857538924E-3,8.399390616E-3,5.650499370E-3
8.445111337E1,4.276053514E-3,-8.552107029E-3,3.665188793E-3
8.495519743E1,3.237583488E-2,-4.718930274E-2,-1.130099874E-2
8.545928186E1,-4.886918236E-3,-7.635809598E-4,1.374445762E-2
8.596336659E1,3.054323839E-3,4.123337101E-3,8.704823442E-3
8.646745222E1,-4.276053514E-3,3.039052337E-2,-7.788525894E-3
8.697153899E1,-3.451386094E-2,4.627300799E-2,-1.359174121E-2
8.747562696E1,-4.948004708E-2,1.557705179E-2,-6.490438432E-2
8.797971628E1,2.718348242E-2,-1.072067693E-1,4.810560122E-2
8.848380675E1,4.321868345E-2,1.053741761E-2,-4.184423760E-2
8.898789816E1,1.081230640E-1,4.825831577E-2,3.527744114E-2
8.949199045E1,-1.175914705E-2,-3.471239209E-1,1.096502244E-1
8.999608284E1,1.441640854E-1,1.345429718E-1,-2.067777216E-1
9.050017519E1,-2.469420880E-1,1.325576603E-1,2.924515009E-1
9.100426732E1,-1.046105921E-1,2.272416949E-1,-3.584249020E-1
9.150835904E1,-3.006981909E-1,3.460549116E-1,3.355174661E-1
9.201245019E1,3.252854943E-2,-1.481347084E-1,-6.688969582E-2
9.251654055E1,1.241582632E-1,-2.246455252E-1,-3.375028074E-2
9.302063029E1,1.798996776E-1,-2.000582218E-1,-2.886336111E-2
9.352471915E1,4.505127668E-2,-1.091920808E-1,-1.221729536E-2
9.402880706E1,3.207040019E-3,1.649334840E-2,-1.527161920E-3
9.453289415E1,-0.000000000E0,2.443459071E-2,-2.748891478E-3
9.503698040E1,-1.740964688E-2,1.878409274E-2,1.588248461E-2
9.554106581E1,-4.886918236E-3,1.817322709E-2,3.054323897E-4
9.604515045E1,1.069013379E-3,7.941242307E-3,-5.650499370E-3
9.654923441E1,1.053741761E-2,-3.375028074E-2,7.177661173E-3
9.705331784E1,7.342594862E-1,-1.821904182E-1,-7.680097222E-1
9.755740076E1,-4.625773430E-1,-4.465421438E-1,-4.489856213E-2
9.806148321E1,-1.046105921E-1,-6.459894776E-2,1.330158114E-1
9.856556514E1,5.085449293E-2,-1.250745654E-1,2.151771188E-1
9.906964649E1,1.380554438E-1,6.414080411E-2,-1.789833754E-1
9.957372727E1,3.327685893E-1,3.869828284E-1,3.969093859E-1
1.000778076E2,-2.283107042E-1,5.986474827E-2,5.441278219E-1
1.005818876E2,2.458730713E-2,7.544180006E-2,4.245510325E-2
1.010859675E2,-4.367683083E-2,5.650499370E-3,-5.192350596E-2
1.015900473E2,-3.970621154E-3,9.162971750E-3,-3.161225095E-2
1.020941268E2,-1.298087649E-2,2.214384824E-2,-2.901607752E-2
1.025982060E2,-4.276053514E-3,9.162971983E-4,-3.054323839E-3
1.031022848E2,-1.985310577E-3,-1.527161920E-3,-1.878409274E-2
1.036063634E2,-5.192350596E-3,3.054323839E-3,-1.450803876E-2
1.041104415E2,4.734201822E-3,-1.404988952E-2,-9.468403645E-3
1.046145193E2,-2.535088919E-2,3.970621154E-3,-1.481347065E-2
1.051185968E2,-1.466075517E-2,-6.108647794E-4,-2.626718581E-2
1.056226740E2,-6.261364091E-3,1.527161949E-4,-2.748891478E-3
1.061267511E2,1.679878100E-3,-5.955931731E-3,-1.099556591E-2
1.066308279E2,-3.970621154E-3,2.748891478E-3,-1.130099874E-2
1.071349044E2,-6.872228812E-3,2.290742844E-2,-1.970038936E-2
1.076389807E2,-4.382954910E-2,4.657844082E-2,1.404988952E-2
1.081430565E2,-1.634063199E-2,2.031125315E-2,-1.404988952E-2
1.086471321E2,-2.260199748E-2,-5.497782957E-3,1.466075517E-2
1.091512074E2,9.773836471E-3,-1.069013379E-3,-2.153298259E-2
1.096552823E2,-0.000000000E0,-6.566796452E-3,-1.145371422E-2
1.101593568E2,-1.175914705E-2,1.679878100E-3,6.108647794E-4
1.106634309E2,1.374445762E-2,-1.053741761E-2,-6.566796452E-3
1.111675047E2,-2.290742937E-3,6.566796452E-3,6.719512399E-3
1.116715783E2,1.572976820E-2,-8.093958721E-3,1.527161949E-4
1.121756515E2,7.788525894E-3,-1.252272818E-2,2.901607659E-3
1.126797245E2,2.550360374E-2,-3.588830680E-2,7.177661173E-3
1.131837971E2,1.221729559E-3,-1.221729559E-3,-6.566796452E-3
1.136878694E2,-1.160643063E-2,2.748891478E-3,-3.115410358E-2
1.141919415E2,-1.282816008E-2,1.634063199E-2,-1.832594397E-3
1.146960132E2,3.512472380E-3,4.123337101E-3,-4.581485991E-4
1.152000846E2,9.162971750E-3,-1.832594397E-3,1.527161989E-2
1.157041557E2,2.214384824E-2,-5.039634649E-3,3.512472380E-3
1.162082266E2,-3.970621154E-3,2.153298259E-2,-2.031125315E-2
1.167122971E2,-2.138026757E-3,-1.404988952E-2,1.481347065E-2
1.172163674E2,6.994401664E-2,-1.243109852E-1,3.359756246E-2
1.177204373E2,-1.458439678E-1,-4.993819445E-2,-9.621120058E-3
1.182245071E2,-2.023489624E-1,3.451386094E-1,9.071341902E-2
1.187285767E2,3.124573231E-1,-4.670061171E-1,-1.055268943E-1
1.192326462E2,3.265072107E-1,-3.782780170E-1,-1.634063199E-2
1.197367156E2,-2.519817278E-2,-9.056070447E-2,-2.977965772E-2
1.202407849E2,3.741546720E-2,-9.728021920E-2,8.643736690E-2
1.207448540E2,-1.258381456E-1,2.261726856E-1,2.762635946E-1
1.212489230E2,-2.626718581E-2,3.878991306E-2,4.917461425E-2
1.217529918E2,-8.643736690E-2,1.632536054E-1,1.186604798E-1
1.222570605E2,-2.550360374E-2,2.814559340E-1,3.359756200E-3
1.227611291E2,-1.971566081E-1,3.397935331E-1,5.467239767E-2
1.232651977E2,-5.109884143E-1,4.893026948E-1,-5.277871490E-1
1.237692662E2,-6.154462695E-2,2.228129357E-1,3.932442069E-1
1.242733347E2,1.788306683E-1,-1.973093301E-1,-2.357937992E-1
1.247774039E2,2.521344423E-1,-2.295324355E-1,1.502727419E-1
1.252814743E2,3.054323792E-1,-7.018836141E-1,-2.211330533E-1
1.257855462E2,4.474584386E-2,-5.665770918E-2,1.084284950E-2
1.262896196E2,2.550360374E-2,5.009091273E-2,-1.847865991E-2
1.267936947E2,7.330377586E-3,2.290742844E-2,-3.543015569E-2
1.272977711E2,-3.741546720E-2,3.940077871E-2,1.847865991E-2
1.278018483E2,-2.229656465E-2,5.192350596E-3,-2.397644334E-2
1.283059258E2,-2.061668597E-2,-1.389717404E-2,1.527161949E-4
1.288100036E2,-9.162971983E-4,1.237001177E-2,3.817904973E-3
1.293140811E2,3.359756200E-3,1.252272818E-2,-9.621120058E-3
1.298181582E2,3.084867075E-2,-7.574722916E-2,6.337722391E-2
1.303222350E2,-8.093958721E-3,4.428769462E-3,7.147117704E-2
1.308263111E2,-1.226311028E-1,4.657844082E-2,-2.748891525E-2
