"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
4.311830426E1,8.552107029E-3,-3.665188793E-3,-8.399390616E-3
4.362240338E1,1.343902480E-2,-5.650499370E-3,-1.206457894E-2
4.412650265E1,1.597411335E-1,-1.029307172E-1,-5.390881747E-2
4.463060202E1,9.101885557E-2,-5.329795182E-2,-1.420260593E-2
4.513470140E1,1.496618707E-2,-1.588248461E-2,-3.207040019E-3
4.563880072E1,-6.108647794E-4,-9.162971983E-4,-9.621120058E-3
4.614289999E1,-5.803215317E-3,-3.665188793E-3,4.581485991E-4
4.664699947E1,4.276053514E-3,-2.901607659E-3,-1.069013379E-3
4.715109926E1,-2.901607659E-3,-6.414080039E-3,-1.252272818E-2
4.765519942E1,-3.390299529E-2,-1.679878123E-2,-1.267544460E-2
4.815930004E1,2.703076601E-2,3.512472380E-3,-5.497782957E-3
4.866340135E1,-3.665188793E-3,1.527161920E-3,7.330377586E-3
4.916750374E1,-1.038470119E-2,-4.734201822E-3,-4.734201822E-3
4.967160770E1,1.099556591E-2,-2.138026757E-3,-2.443459118E-3
5.017571359E1,-6.719512399E-3,-5.345067009E-3,-9.315688163E-3
5.067982166E1,-5.039634649E-3,-9.773836471E-3,-1.695149764E-2
5.118393192E1,-1.389717404E-2,-1.374445739E-3,7.330377586E-3
5.168804416E1,1.069013379E-3,-4.123337101E-3,1.527161920E-3
5.219215822E1,3.512472380E-3,-5.192350596E-3,-3.817904973E-3
5.269627400E1,-7.635809947E-3,-4.734201822E-3,-2.138026757E-3
5.320039135E1,-2.901607659E-3,-4.886918236E-3,-1.084284950E-2
5.370450994E1,-2.901607659E-3,-6.108647678E-3,-1.343902480E-2
5.420862958E1,-3.665188793E-3,-5.803215317E-3,6.108647678E-3
5.471275010E1,-4.581485991E-4,-1.679878100E-3,-3.054323839E-3
5.521687145E1,-2.290742937E-3,-4.428769462E-3,-3.359756200E-3
5.572099369E1,-5.039634649E-3,-5.650499370E-3,-7.024944760E-3
5.622511692E1,-1.221729536E-2,-1.007926930E-2,-1.114828233E-2
5.672924124E1,-9.162971983E-4,-1.496618707E-2,-3.222311661E-2
5.723336645E1,8.032871783E-2,1.130099874E-2,5.192350596E-3
5.773749228E1,2.139553875E-1,-4.581485991E-4,-1.389717404E-2
5.824161843E1,8.888082206E-2,-1.435532235E-2,-4.581485991E-4
5.874574484E1,-1.618791744E-2,-1.603520103E-2,1.496618707E-2
5.924987124E1,-5.787943676E-2,3.359756200E-3,-7.330377586E-3
5.975399765E1,-7.513637096E-2,2.748891478E-3,7.483093534E-3
6.025812385E1,-3.359756200E-3,-4.581485875E-3,-3.054323839E-3
6.076224973E1,-2.748891478E-3,-6.719512399E-3,-6.566796452E-3
6.126637525E1,-5.192350596E-3,-7.788525894E-3,-1.160643063E-2
6.177050051E1,1.221729559E-3,-4.886918236E-3,-1.527161920E-3
6.227462619E1,-2.901607659E-3,-4.428769462E-3,-6.108647794E-4
