"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
4.311122946E1,5.233934941E1,4.883261320E0,-1.120787277E1,6.260000229E0,9.859999847E1,3.790092468E0,2.937143326E0
4.411130248E1,5.233934138E1,4.883349410E0,-1.131324132E1,6.190000057E0,9.919999695E1,3.790092468E0,2.917972326E0
4.511123967E1,5.233933235E1,4.883438410E0,-1.083487051E1,6.280000210E0,9.990000153E1,3.790092468E0,3.108010054E0
4.611165644E1,5.233932149E1,4.883528520E0,-1.086162861E1,6.309999943E0,1.005000000E2,3.790092468E0,3.234166861E0
4.711171972E1,5.233931046E1,4.883619220E0,-1.139528358E1,6.340000153E0,1.005999985E2,3.790092468E0,3.393952131E0
4.811136821E1,5.233929910E1,4.883712780E0,-1.130149597E1,6.269999981E0,1.025000000E2,3.790092468E0,3.318919897E0
4.911195066E1,5.233928082E1,4.883805980E0,-1.184950299E1,6.250000000E0,1.014000015E2,3.790092468E0,3.315772533E0
5.011145060E1,5.233927289E1,4.883899680E0,-1.132614504E1,6.280000210E0,1.020999985E2,3.790092468E0,2.780428410E0
5.111171566E1,5.233926000E1,4.883990240E0,-1.119995164E1,6.090000153E0,1.025999985E2,3.790092468E0,2.864878654E0
5.211188613E1,5.233924552E1,4.884084910E0,-1.158157063E1,6.619999886E0,1.021999969E2,3.790092468E0,3.074328899E0
5.311196430E1,5.233923209E1,4.884176330E0,-1.160802642E1,6.389999866E0,1.029000015E2,3.790092468E0,3.314945459E0
5.411166191E1,5.233921923E1,4.884265540E0,-1.141176540E1,6.349999905E0,1.040000000E2,3.790092468E0,3.340982199E0
5.511172889E1,5.233921244E1,4.884357720E0,-1.112290378E1,6.409999847E0,1.039000015E2,3.790092468E0,2.807448626E0
5.611134628E1,5.233919853E1,4.884445810E0,-1.068982847E1,6.329999924E0,1.045999985E2,3.790092468E0,2.683790922E0
5.711129331E1,5.233918472E1,4.884534580E0,-1.065781465E1,6.340000153E0,1.041999969E2,3.790092468E0,2.846148014E0
5.811148560E1,5.233917178E1,4.884622930E0,-1.053589505E1,6.300000191E0,1.045000000E2,3.856601000E0,3.091629505E0
5.911152071E1,5.233915748E1,4.884710870E0,-1.061881159E1,6.250000000E0,1.061999969E2,3.790092468E0,3.459618807E0
6.011164435E1,5.233914027E1,4.884786500E0,-1.042268656E1,6.280000210E0,1.058000031E2,3.790092468E0,2.815487623E0
6.111194425E1,5.233912653E1,4.884877450E0,-1.043296875E1,6.349999905E0,1.055000000E2,3.790092468E0,3.112206697E0
6.211210425E1,5.233911138E1,4.884969180E0,-1.034022514E1,6.210000038E0,1.060000000E2,3.790092468E0,3.543903112E0
6.311135633E1,5.233910822E1,4.885046960E0,-1.017374214E1,6.300000191E0,1.068000031E2,3.790092468E0,2.646865606E0
6.411220748E1,5.233909095E1,4.885139340E0,-1.031140886E1,6.349999905E0,1.073000031E2,3.790092468E0,2.742804766E0
6.511146643E1,5.233907406E1,4.885229210E0,-9.884928540E0,6.300000191E0,1.076999969E2,3.790092468E0,2.852882147E0
6.611130451E1,5.233905895E1,4.885317930E0,-9.586925370E0,6.250000000E0,1.085999985E2,3.790092468E0,2.950396776E0
6.711158024E1,5.233903312E1,4.885406630E0,-1.063805843E1,6.340000153E0,1.080000000E2,3.790092468E0,3.065652370E0
6.811191503E1,5.233900474E1,4.885493000E0,-1.093278773E1,6.230000019E0,1.091999969E2,3.790092468E0,3.110375643E0
6.911197596E1,5.233898409E1,4.885581800E0,-1.129391098E1,6.289999962E0,1.089000015E2,3.790092468E0,3.018511057E0
7.011208461E1,5.233896571E1,4.885667550E0,-1.100824323E1,6.300000191E0,1.093000031E2,3.790092468E0,3.265161037E0
7.111132315E1,5.233894513E1,4.885752110E0,-1.100675895E1,6.289999962E0,1.103000031E2,3.790092468E0,2.965781927E0
7.211149096E1,5.233892544E1,4.885836930E0,-1.092385237E1,6.269999981E0,1.101999969E2,3.790092468E0,2.958530903E0
7.311185237E1,5.233890743E1,4.885922620E0,-1.076049859E1,6.260000229E0,1.106999969E2,3.790092468E0,2.733225346E0
7.411214664E1,5.233888759E1,4.885998730E0,-1.012590044E1,6.239999771E0,1.111999969E2,3.790092468E0,2.539614916E0
7.511212726E1,5.233886844E1,4.886077930E0,-8.764737042E0,6.300000191E0,1.110000000E2,3.790092468E0,2.500000000E0
7.611135752E1,5.233885141E1,4.886161040E0,-8.214603571E0,6.219999790E0,1.105000000E2,3.790092468E0,2.500000000E0
7.711148893E1,5.233883271E1,4.886248900E0,-8.376139657E0,6.309999943E0,1.105000000E2,3.790092468E0,2.500000000E0
7.811212898E1,5.233881180E1,4.886333600E0,-8.449057625E0,6.199999809E0,1.119000015E2,3.790092468E0,2.761029720E0
7.911137768E1,5.233878718E1,4.886424440E0,-8.695317153E0,6.380000114E0,1.125999985E2,3.793484926E0,3.096123219E0
8.011127549E1,5.233876500E1,4.886507640E0,-8.544604962E0,6.230000019E0,1.124000015E2,4.130691051E0,3.421449423E0
8.111197398E1,5.233874453E1,4.886588260E0,-8.358552482E0,6.070000172E0,1.125999985E2,4.375187397E0,3.610422373E0
8.211201460E1,5.233871512E1,4.886686510E0,-8.034929271E0,6.469999790E0,1.154000015E2,4.069801807E0,3.517689466E0
8.311171221E1,5.233869672E1,4.886785140E0,-7.222032496E0,6.280000210E0,1.128000031E2,3.790092468E0,2.970143080E0
8.411218309E1,5.233867699E1,4.886857050E0,-6.766452716E0,6.369999886E0,1.145999985E2,3.790092468E0,3.001048326E0
8.511136502E1,5.233865926E1,4.886912350E0,-6.979519770E0,5.599999905E0,1.160000000E2,4.481543541E0,3.240330935E0
8.611159262E1,5.233864769E1,4.886994880E0,-7.122982450E0,5.940000057E0,1.061999969E2,5.282649517E0,3.493910551E0
8.711153189E1,5.233862921E1,4.887075290E0,-6.893897502E0,5.840000153E0,1.115999985E2,6.622294426E0,3.824561834E0
8.811137533E1,5.233861226E1,4.887157010E0,-6.880568922E0,5.849999905E0,1.100999985E2,9.138554573E0,4.207179546E0
8.911157700E1,5.233859337E1,4.887238900E0,-6.892450502E0,5.989999771E0,1.105999985E2,1.243408012E1,4.589772701E0
1.001483026E2,5.233930740E1,4.883679800E0,NaN,NaN,NaN,6.000000000E2,0.000000000E0
1.041113311E2,5.233845385E1,4.888437590E0,-8.067497570E0,4.730000019E0,9.080000305E1,5.821697235E0,6.684855938E0
1.051115123E2,5.233845014E1,4.888549700E0,-6.528070886E0,5.949999809E0,8.630000305E1,5.092950821E0,6.147272110E0
1.061115376E2,5.233842433E1,4.888628990E0,-3.027268418E0,4.530000210E0,1.071999969E2,3.929310799E0,5.319211006E0
1.071118445E2,5.233843364E1,4.888709750E0,1.238293930E0,4.530000210E0,7.859999847E1,3.893259764E0,5.124487877E0
1.081119236E2,5.233841871E1,4.888744260E0,2.240001619E0,2.119999886E0,1.090000000E2,4.193153858E0,5.168293476E0
1.091117398E2,5.233842105E1,4.888786620E0,2.608437398E0,2.240000010E0,7.869999695E1,5.583430290E0,5.440272331E0
1.101120847E2,5.233842525E1,4.888833620E0,2.637339888E0,3.140000105E0,8.150000000E1,6.122027397E0,5.618114471E0
1.111111982E2,5.233843460E1,4.888922200E0,7.833389020E-1,4.139999866E0,8.740000153E1,6.439001083E0,5.686601162E0
1.121121212E2,5.233844412E1,4.889005900E0,3.324115321E-1,3.609999895E0,8.800000000E1,6.759814262E0,5.887002945E0
1.131113635E2,5.233845684E1,4.889087020E0,7.058280208E-1,3.900000095E0,8.390000153E1,7.478243828E0,5.991637230E0
1.141116436E2,5.233847145E1,4.889147040E0,4.199943634E-1,3.190000057E0,5.729999924E1,5.796528339E0,6.033786297E0
1.151119512E2,5.233848101E1,4.889201040E0,-1.929448504E0,2.859999895E0,5.220000076E1,5.667690754E0,6.125283718E0
1.161120846E2,5.233849355E1,4.889281290E0,-1.151552786E0,4.250000000E0,6.240000153E1,6.108663082E0,6.030443668E0
1.171108834E2,5.233849017E1,4.889309990E0,-2.921661101E-1,5.799999833E-1,4.770000076E1,5.438096046E0,5.843883038E0
1.181117272E2,5.233850011E1,4.889320770E0,-6.070059052E-2,2.089999914E0,4.599999905E0,6.216121197E0,5.859665871E0
1.191119560E2,5.233850946E1,4.889331260E0,7.133766059E-2,1.279999971E0,1.169999981E1,8.011819839E0,5.946163654E0
1.201111677E2,5.233851648E1,4.889331530E0,3.091406923E-1,1.120000005E0,3.552999878E2,1.011251354E1,6.012542248E0
1.401763026E2,5.233887440E1,4.886091200E0,NaN,NaN,NaN,3.000000000E2,0.000000000E0
1.606193026E2,5.234132800E1,4.891445600E0,-4.903802756E0,NaN,NaN,5.609999847E1,4.263885975E0
1.613993026E2,5.234132950E1,4.891438800E0,-4.903804539E0,NaN,NaN,4.250000000E1,3.219108105E0
2.002833026E2,5.234087690E1,4.886030400E0,NaN,NaN,NaN,8.000000000E2,0.000000000E0
