"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
4.264244595E1,-3.048820980E-2,-2.541208267E-2,-4.105567932E-3
4.314244595E1,2.316410840E-2,1.910829544E-2,-2.442169189E-2
4.364244595E1,-2.115000039E-3,-4.682993889E-2,-1.780509949E-2
4.414244595E1,-8.410387486E-2,-4.858732224E-3,5.700302124E-2
4.464244595E1,2.597442269E-2,-3.309257030E-1,2.066965103E-1
4.514244595E1,1.937795877E-1,4.282815456E-1,-1.332063675E-1
4.564244595E1,6.181740761E-2,1.823358536E-1,-1.975774765E-1
4.614244595E1,1.675915122E-1,1.488027573E-1,1.029682159E-2
4.664244595E1,8.979552984E-2,7.757425308E-3,2.148246765E-2
4.714244595E1,9.491086006E-3,5.814123154E-2,-8.844470978E-2
4.764244595E1,2.413511276E-2,1.111936569E-2,-2.436542511E-2
4.814244595E1,4.346996546E-2,3.147363663E-3,3.775215149E-2
4.864244595E1,-3.199750185E-2,2.962350845E-2,-3.044795990E-2
4.914244595E1,1.785761118E-2,7.842135429E-2,-4.333686829E-2
4.964244595E1,3.967106342E-3,-6.581735611E-2,4.784107208E-2
5.014244595E1,-2.224403620E-2,-2.145504951E-2,2.507495880E-2
5.064244595E1,-6.570160389E-3,5.456447601E-3,8.246421814E-3
5.114244595E1,-3.216660023E-2,-7.340621948E-2,2.861118317E-2
5.164244595E1,2.272868156E-2,4.282712936E-3,-3.940391541E-2
5.214244595E1,-2.136254311E-2,-2.445983887E-2,1.591682434E-2
5.264244595E1,-2.258211374E-2,-1.857352257E-2,-1.073455811E-2
5.314244595E1,5.064010620E-4,7.414817810E-4,-6.074619293E-2
5.364244595E1,-5.620718002E-5,1.706457138E-2,9.978294373E-3
5.414244595E1,-9.147524834E-3,-8.582830429E-3,1.853370667E-2
5.464244595E1,6.423282623E-2,1.280784607E-3,-1.056575775E-2
5.514244595E1,2.381747961E-2,-8.970499039E-3,-6.174564362E-2
5.564244595E1,-5.670309067E-3,4.016518593E-2,-8.497238159E-4
5.614244595E1,-5.988657475E-3,7.350444794E-4,-6.942081451E-2
5.664244595E1,4.146212339E-2,1.363444328E-2,1.080617905E-1
5.714244595E1,4.759955406E-2,-6.022405624E-2,8.448696136E-2
5.764244595E1,2.258622646E-2,-2.269041538E-1,7.247447968E-2
5.814244595E1,-2.383041382E-2,-1.911110878E-1,1.030759811E-1
5.864244595E1,-8.598858118E-2,3.994750977E-1,-1.437129974E-1
5.914244595E1,2.089118958E-2,2.010588646E-1,-5.838298798E-2
5.964244595E1,-2.045750618E-3,1.104021072E-1,-4.404544830E-2
6.014244595E1,-3.374779224E-2,-1.832914352E-2,2.393245697E-2
6.064244595E1,-3.199219704E-3,-4.423952103E-2,1.881885529E-2
6.114244595E1,-2.744710445E-2,-1.865243912E-2,-1.300048828E-2
6.164244595E1,-2.890062332E-2,6.438732147E-3,-4.460334778E-3
6.214244595E1,5.842447281E-4,9.566783905E-3,-1.771640778E-2
6.264244595E1,-1.619136333E-2,2.005290985E-2,-5.278491974E-2
6.314244595E1,-1.896905899E-2,3.347396851E-3,-9.800910950E-3
6.364244595E1,-4.947066307E-3,-5.169391632E-3,8.519172668E-3
6.414244595E1,1.097166538E-2,-1.312112808E-2,1.591873169E-2
6.464244595E1,1.102375984E-2,6.239414215E-3,2.447414398E-2
6.514244595E1,-7.481467724E-2,6.919384003E-3,6.894111633E-3
6.564244595E1,3.759098053E-2,2.591323853E-2,-8.915805817E-2
6.614244595E1,-2.087748051E-2,-1.547765732E-2,7.727622986E-3
6.664244595E1,7.787346840E-3,1.362323761E-2,-1.485157013E-2
6.714244595E1,2.321231365E-2,8.195400238E-3,3.913593292E-2
6.764244595E1,2.371561527E-2,8.269786835E-3,7.524490356E-4
6.814244595E1,2.116084099E-3,2.338886261E-3,-2.663612366E-2
6.864244595E1,1.346147060E-2,4.050779343E-2,9.114265442E-3
6.914244595E1,-1.183903217E-2,-1.247549057E-2,2.586174011E-2
6.964244595E1,1.063287258E-2,-2.127170563E-2,-1.275539398E-2
7.014244595E1,-3.709912300E-3,1.965284348E-2,1.293277740E-2
7.064244595E1,-3.577053547E-2,8.208751678E-3,-3.061580658E-2
7.114244595E1,2.719998360E-3,1.942682266E-2,4.540443420E-3
7.164244595E1,5.564808846E-3,-3.307104111E-2,3.903579712E-2
7.214244595E1,-2.554321289E-2,2.168607712E-2,1.967334747E-2
7.264244595E1,7.321476936E-3,1.441621780E-2,-2.220058441E-2
7.314244595E1,1.260602474E-2,2.205514908E-2,-9.240150452E-3
7.364244595E1,5.747199059E-3,-1.922941208E-2,1.000690460E-2
7.414244595E1,-1.670122147E-2,8.394241333E-3,2.356529236E-3
7.464244595E1,2.938985825E-3,2.237129211E-2,1.121425629E-2
7.514244595E1,4.860997200E-3,-4.895210266E-3,1.952171326E-3
7.564244595E1,-3.877794743E-2,-8.532238007E-2,4.262924194E-2
7.614244595E1,3.495335579E-2,-1.891994476E-2,2.638339996E-2
7.664244595E1,2.148151398E-3,-6.488800049E-3,-4.307746887E-3
7.714244595E1,1.793706417E-2,-6.353378296E-3,-6.636619568E-3
7.764244595E1,9.853839874E-4,-1.274442673E-2,3.685379028E-2
7.814244595E1,1.044392586E-3,3.644943237E-3,2.254009247E-2
7.864244595E1,-3.725528717E-3,1.341342926E-3,-1.089382172E-2
7.914244595E1,1.030409336E-2,-1.450824738E-2,2.348327637E-2
7.964244595E1,1.511192322E-2,1.115417480E-2,7.271766663E-3
8.014244595E1,-7.511734962E-3,-2.219104767E-2,8.993148804E-4
8.064244595E1,6.690025330E-3,3.831148148E-2,-3.173923492E-2
8.114244595E1,-2.211296558E-2,8.889675140E-3,-2.693939209E-2
8.164244595E1,-6.046378613E-2,2.796769142E-2,-1.540088654E-2
8.214244595E1,-2.166112661E-1,9.198164940E-2,5.014324188E-2
8.264244595E1,-1.840424538E-2,-1.535553932E-1,3.296947479E-2
8.314244595E1,-1.209839582E0,-1.152871609E0,1.476321220E0
8.364244595E1,-3.405928135E0,3.205620527E0,6.158699036E0
8.414244595E1,2.371403694E0,-5.345982313E-1,-2.062536955E0
8.464244595E1,-1.798982620E-1,-9.033465385E-2,-6.938636303E-1
8.514244595E1,1.961727142E-1,7.148075104E-2,-3.695049286E-1
8.564244595E1,-1.468095779E-1,-1.401650906E-1,-3.177518845E-1
8.614244595E1,-1.513671875E-1,-2.300233841E-1,-4.414637089E-1
8.664244595E1,-2.740392685E-1,-5.544192791E-1,-5.008664131E-1
8.714244595E1,-3.778028488E-1,8.406513929E-1,1.073910236E0
8.764244595E1,6.703729630E-1,6.856379509E-1,3.256976604E-1
8.814244595E1,1.921558380E-1,4.721014500E-1,4.045259953E-1
8.864244595E1,-5.365753174E-2,-2.229001522E-1,1.529974937E-1
8.914244595E1,1.148700714E-2,-3.495569229E-1,6.143093109E-2
8.964244595E1,-1.100950241E-1,3.067848682E-1,-2.582936287E-1
9.014244595E1,1.381435394E-1,9.484696388E-2,1.850552559E-1
9.064244595E1,1.149616241E-1,3.463523388E-1,-1.166322231E-1
9.114244595E1,-2.837371826E-2,-1.197023392E-1,4.396128654E-2
9.164244595E1,-1.996707916E-2,-8.607673645E-2,-4.997754097E-2
9.214244595E1,1.912879944E-2,-2.373147011E-2,2.549076080E-2
9.264244595E1,4.130935669E-2,-3.229451180E-2,1.174354553E-2
9.314244595E1,-1.524066925E-2,3.225803375E-3,-2.087688446E-2
9.364244595E1,-1.313591003E-2,-1.661992073E-2,-4.640579224E-3
9.414244595E1,-7.773399353E-3,-1.985144615E-2,-2.032756805E-3
9.464244595E1,2.406120300E-2,4.230833054E-2,-2.243685722E-2
9.514244595E1,-1.398563385E-2,-2.143788338E-2,5.123615265E-4
9.564244595E1,-1.877021790E-2,-1.036047935E-2,-8.480072021E-3
9.614244595E1,5.750656128E-3,-3.325223923E-3,8.425235748E-3
9.664244595E1,-1.578330994E-3,-2.282023430E-2,-2.427816391E-3
9.714244595E1,-5.102252960E-2,3.309464455E-2,1.108717918E-2
9.764244595E1,-5.453109741E-3,1.758646965E-2,-1.379323006E-2
9.814244595E1,-1.122760773E-2,-1.015472412E-2,2.260279655E-2
9.864244595E1,-2.078914642E-2,-2.947592735E-2,9.362459183E-3
9.914244595E1,-1.519775391E-2,1.282763481E-2,-1.214027405E-2
9.964244595E1,-7.260322571E-3,-9.532690048E-3,1.649856567E-3
1.001424460E2,-1.705646515E-2,3.562450409E-3,-3.945589066E-3
1.006424460E2,-2.770709991E-2,-1.660799980E-2,1.507377625E-2
1.011424460E2,4.393005371E-2,-1.685619354E-2,-2.852201462E-2
1.016424460E2,-5.198764801E-2,-1.149868965E-2,1.612019539E-2
1.021424460E2,-7.683753967E-3,-3.892636299E-2,-8.303165436E-3
1.026424460E2,9.415626526E-3,-4.073858261E-3,-3.376960754E-3
1.031424460E2,2.006816864E-2,-2.497506142E-2,1.556968689E-2
1.036424460E2,6.217956543E-4,1.304149628E-4,1.111292839E-2
1.041424460E2,2.816677094E-2,-3.157544136E-2,-2.410101891E-2
1.046424460E2,7.336616516E-3,1.607060432E-2,-1.858854294E-2
1.051424460E2,6.314277649E-3,-5.693888664E-2,-1.201844215E-2
1.056424460E2,-8.535385132E-4,2.077841759E-2,-8.608818054E-3
1.061424460E2,-1.592159271E-2,-1.545453072E-2,1.208710670E-2
1.066424460E2,1.630878448E-2,-1.112699509E-3,-4.621982574E-3
1.071424460E2,-8.619308472E-3,-2.125668526E-2,5.784034729E-4
1.076424460E2,3.793716431E-3,9.793281555E-3,-9.736299515E-3
1.081424460E2,-8.059883118E-2,-1.046862602E-1,-5.253815651E-2
1.086424460E2,1.573143005E-1,1.565253735E-2,3.372225761E-1
1.091424460E2,-8.793067932E-2,4.662311077E-2,-2.619855404E-1
1.096424460E2,3.012561798E-2,1.222646236E-2,6.239128113E-2
1.101424460E2,8.258819580E-3,3.778922558E-2,8.031320572E-2
1.106424460E2,-2.604579926E-2,1.360976696E-2,-4.877114296E-2
1.111424460E2,-9.932518005E-3,5.274689198E-2,1.003575325E-2
1.116424460E2,-3.666877747E-3,-1.269936562E-2,2.340364456E-2
1.121424460E2,-1.641559601E-2,-5.394411087E-2,2.840852737E-2
1.126424460E2,4.162788391E-2,-1.340126991E-2,-6.066083908E-3
1.131424460E2,-5.900192261E-2,-4.533481598E-2,1.085877419E-2
1.136424460E2,3.551006317E-2,3.854572773E-2,-1.409006119E-2
1.141424460E2,-5.893802643E-2,-9.216105938E-2,1.974749565E-2
1.146424460E2,2.852344513E-2,1.522922516E-2,-7.336139679E-4
1.151424460E2,-2.748394012E-2,-4.263448715E-2,2.928972244E-3
1.156424460E2,6.753921509E-3,5.027318001E-2,-2.605986595E-2
