"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
4.363561959E1,-8.093958721E-3,8.704823442E-3,3.359756200E-3
4.413978953E1,1.084284950E-2,1.588248461E-2,1.634063199E-2
4.464395938E1,-1.832594397E-3,-6.108647794E-4,1.374445762E-2
4.514812912E1,7.483093534E-3,-1.985310577E-3,2.061668597E-2
4.565229886E1,-4.428769462E-3,-1.527161949E-4,1.237001177E-2
4.615646844E1,-7.483093534E-3,1.160643063E-2,1.298087649E-2
4.666063823E1,-2.275471389E-2,-3.054323897E-4,-1.985310577E-3
4.716480870E1,-5.345067009E-3,-3.207040019E-3,6.414080039E-3
4.766897990E1,1.069013402E-2,-3.054323897E-4,1.634063199E-2
4.817315157E1,6.261364091E-3,-1.527161949E-4,1.710421406E-2
4.867732370E1,7.330377586E-3,-1.328630932E-2,1.603520103E-2
4.918149630E1,2.901607659E-3,6.872228812E-3,9.621120058E-3
4.968566938E1,2.290742937E-3,2.092211880E-2,1.725693047E-2
5.018984297E1,-8.704823442E-3,-5.955931731E-3,3.512472380E-3
5.069401719E1,7.635809598E-4,-2.382372692E-2,1.496618707E-2
5.119819209E1,1.084284950E-2,2.443459118E-3,2.168569900E-2
5.170236745E1,9.773836471E-3,4.276053514E-3,7.635809947E-3
5.220654302E1,-3.054323839E-3,9.621120058E-3,2.138026804E-2
5.271071875E1,-1.053741761E-2,1.878409274E-2,1.527161949E-4
5.321489417E1,-1.481347065E-2,-1.527161989E-2,6.108647794E-4
5.371906933E1,4.581485991E-4,-8.552107029E-3,-2.748891478E-3
5.422324432E1,-1.267544460E-2,4.276053514E-3,-6.261364091E-3
5.472741883E1,5.497782957E-3,-1.527161949E-4,9.315688163E-3
5.523159331E1,1.832594397E-3,1.527161920E-3,-7.635809598E-4
5.573576727E1,4.276053514E-3,3.054323897E-4,-1.832594397E-3
5.623994081E1,-1.374445739E-3,7.635809598E-4,7.330377586E-3
5.674411383E1,6.108647794E-4,3.054323897E-4,-3.512472380E-3
5.724828638E1,1.695149764E-2,-4.764745384E-2,7.024944760E-3
5.775245862E1,7.788525894E-3,-1.634063199E-2,-5.955931731E-3
5.825663055E1,-7.788525894E-3,1.069013379E-3,3.054323897E-4
5.876080206E1,5.039634649E-3,7.177661173E-3,6.261364091E-3
5.926497326E1,3.054323897E-4,4.734201822E-3,4.276053514E-3
5.976914404E1,-1.069013379E-3,-1.069013379E-3,-5.345067009E-3
6.027331451E1,3.359756200E-3,7.941242307E-3,1.038470119E-2
6.077748472E1,-7.635809598E-4,-2.290742937E-3,-3.817904973E-3
6.128165472E1,-1.527161989E-2,7.635809598E-4,-9.010255337E-3
6.178582461E1,3.054323897E-4,2.901607659E-3,7.635809598E-4
6.228999441E1,3.359756200E-3,3.054323897E-4,5.039634649E-3
6.279416409E1,-5.650499370E-3,5.955931731E-3,-9.468403645E-3
6.329833378E1,1.023198478E-2,1.069013379E-3,4.123337101E-3
6.380250352E1,5.803215317E-3,-4.581485991E-4,-4.428769462E-3
6.430667331E1,1.069013402E-2,-3.054323897E-4,-6.872228812E-3
6.481084310E1,-9.162971750E-3,-5.497782957E-3,-2.901607752E-2
6.531501290E1,4.123337101E-3,-8.093958721E-3,-2.550360374E-2
6.581918274E1,9.621120058E-3,4.581485991E-4,-1.893680729E-2
6.632335258E1,1.267544460E-2,-7.788525894E-3,-1.099556591E-2
6.682752232E1,-1.374445739E-3,-5.650499370E-3,-2.733619884E-2
6.733169201E1,1.191186346E-2,-3.665188793E-3,-1.603520103E-2
6.783586154E1,-1.069013379E-3,-7.024944760E-3,-2.321286127E-2
6.834003097E1,-3.512472380E-3,-6.719512399E-3,-2.397644334E-2
6.884420029E1,1.527161949E-4,-1.084284950E-2,-1.954767294E-2
6.934836956E1,6.414080039E-3,-2.596175298E-3,-1.786779426E-2
6.985253868E1,-7.635809598E-4,-7.635809947E-3,-2.153298259E-2
7.035670764E1,9.621120058E-3,-1.985310577E-3,-1.221729536E-2
7.086087644E1,7.635809598E-4,-8.399390616E-3,-2.153298259E-2
7.136504540E1,7.635809947E-3,-8.857538924E-3,-1.466075517E-2
7.186921482E1,-4.276053514E-3,-3.054323839E-3,-2.703076601E-2
