"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
4.310725554E1,-1.135615259E-2,-1.716814563E-2,1.059424225E-2
4.360843325E1,4.547566175E-3,2.388781868E-3,9.209787473E-3
4.410961125E1,-9.408170357E-3,-2.120013535E-2,1.407516655E-2
4.461078750E1,6.114767399E-3,1.337438263E-2,-4.496206529E-3
4.511196350E1,-2.007823205E-3,-1.880038157E-2,-4.114778712E-3
4.561314138E1,-9.527603164E-3,-3.558396827E-3,7.189770229E-3
4.611431738E1,7.719930261E-3,-1.110909041E-2,1.571948826E-2
4.661549338E1,3.313382342E-2,1.966658607E-2,3.518548608E-2
4.711666938E1,-1.702873968E-3,8.761330508E-3,7.781422697E-3
4.761784342E1,-1.584687829E-2,-7.182488218E-3,1.022551022E-2
4.811901942E1,3.423621878E-3,8.828976192E-3,2.765140496E-3
4.862019475E1,-2.966534719E-2,-2.552618738E-3,1.374674030E-3
4.912136875E1,-5.125352181E-3,1.011425257E-2,2.420560829E-2
4.962254338E1,-1.378050633E-2,7.744809985E-2,7.744897157E-2
5.012371738E1,-1.151390374E-2,-2.479669452E-2,-3.043135256E-2
5.062489013E1,2.191560576E-3,1.488283556E-2,3.017863259E-3
5.112606313E1,7.079673000E-3,7.427503355E-3,2.105933987E-2
5.162723579E1,2.347672172E-2,1.298034843E-2,1.079863030E-2
5.212840779E1,6.293311249E-3,7.167137228E-3,1.925657317E-2
5.262957950E1,1.258287579E-2,1.734309644E-2,2.043665014E-2
5.313075150E1,-9.720941074E-3,1.691394299E-2,3.268090636E-2
5.363192250E1,-8.826432750E-3,8.353177458E-3,2.508215979E-2
5.413309350E1,-7.911709137E-3,9.657717310E-3,2.522410452E-2
5.463426413E1,-5.206725560E-3,-1.057111658E-3,2.008643746E-2
5.513543413E1,-3.861053847E-4,-7.761833258E-4,1.568012685E-2
5.563660350E1,-8.567823097E-3,-2.559500746E-3,1.600460708E-2
5.613777350E1,-5.541725084E-3,-5.122567527E-4,7.604881190E-3
5.663894242E1,-2.245775890E-3,3.849566914E-3,2.966867760E-4
5.714011142E1,-1.157525927E-3,-1.040221564E-2,1.114394516E-2
5.764128100E1,-3.682510462E-3,-4.691050202E-2,6.685034931E-2
5.814244900E1,1.891246252E-2,-4.048978165E-2,3.067475930E-2
5.864361779E1,2.066851221E-2,1.725682989E-2,-3.004338033E-2
5.914478579E1,3.875602409E-2,8.327717334E-2,7.579173893E-2
5.964595413E1,-6.040083244E-2,-5.680116639E-2,5.685074255E-3
6.014712213E1,-3.067120165E-2,-3.065414354E-2,7.988274097E-2
6.064828937E1,-1.597735286E-2,-1.773665845E-2,1.000789180E-2
6.114945638E1,-4.666217603E-3,-1.140366774E-3,2.917806245E-2
6.165062275E1,-1.917087473E-2,-1.029648632E-2,2.887960523E-2
6.215178875E1,-3.160531167E-3,-1.458426379E-2,1.161085907E-2
6.265295463E1,-3.448813222E-4,1.274853013E-3,9.919315577E-3
6.315412063E1,1.244493062E-3,7.009437308E-3,1.799508557E-2
6.365528700E1,-2.103173733E-2,-1.499512233E-2,3.026603162E-2
6.415645200E1,-1.613982394E-2,2.884999849E-3,1.701344363E-2
6.465761654E1,3.609426087E-3,6.394322030E-3,1.550785638E-2
6.515878154E1,3.537448822E-3,1.062435843E-2,1.829896681E-2
6.565994679E1,-8.659509476E-4,-7.362990640E-3,1.587031409E-2
6.616111079E1,1.424015150E-3,-8.545974270E-4,1.071530487E-2
6.666227538E1,-3.136108397E-3,-7.418664172E-4,1.666723937E-2
6.716343937E1,-1.735043153E-2,-7.219273597E-3,4.871495068E-3
6.766460313E1,3.198640188E-3,1.825113967E-2,8.912630379E-3
6.816576612E1,-1.537429402E-3,1.336303446E-2,6.998696364E-3
6.866692913E1,5.644317716E-3,1.888943091E-2,1.331813727E-2
6.916809213E1,-8.095530793E-3,-5.048363470E-3,2.282589674E-2
6.966925454E1,8.585500764E-4,7.985610515E-3,2.837457135E-2
7.017041754E1,-1.187643036E-2,1.623923890E-3,2.014896646E-2
7.067157942E1,-2.525762469E-2,2.263646573E-3,6.290852092E-3
7.117274142E1,-2.054298669E-2,-5.266802851E-3,2.801964991E-3
7.167390250E1,-1.667868532E-2,4.317955114E-3,-4.730432294E-3
7.217506450E1,-8.969313931E-4,-9.429557249E-4,3.103128634E-3
7.267622617E1,1.727752760E-2,1.002912130E-2,1.180662401E-2
7.317738717E1,1.027472410E-2,4.674131051E-4,-2.886468545E-3
7.367854763E1,2.969945781E-4,-8.722371422E-4,-7.134942338E-3
7.417970863E1,2.613477875E-3,1.056054793E-2,1.030515973E-2
7.468086838E1,-1.226304937E-2,-2.438815311E-3,1.610113494E-2
7.518202838E1,-1.950984355E-3,-6.815849803E-3,-1.118763816E-3
7.568318913E1,7.429325022E-3,-3.492866410E-3,-1.697110198E-2
7.618434813E1,-4.609166645E-3,9.485010058E-3,-8.755690418E-3
