"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.717687341618152E9,"2024-06-06 17:22:21.618 UTC+02:00"
"PAUSE",7.484064027916465E2,1.717688090029240E9,"2024-06-06 17:34:50.029 UTC+02:00"
