"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
2.714924150E-1,-2.998125076E1,-4.031250000E0,-3.693750000E1
7.714924150E-1,-2.490000153E1,1.333125019E1,-1.543125057E1
1.271492415E0,-1.569375038E1,2.229375076E1,-5.231250286E0
1.771492415E0,-1.072500038E1,2.686875153E1,3.937500119E-1
2.271492415E0,-1.074375057E1,2.896875191E1,4.462500095E0
2.771492415E0,-1.035000038E1,3.043125153E1,5.250000000E0
3.271492415E0,-1.042500019E1,3.150000191E1,7.106250286E0
3.771492415E0,-9.581250191E0,3.253125000E1,8.418750763E0
4.271492415E0,-6.468750477E0,3.830625153E1,1.501875019E1
4.771492415E0,-5.812500000E0,3.945000076E1,1.580625057E1
5.271492415E0,-7.668750286E0,3.950625229E1,1.533750057E1
5.771492603E0,-9.881250381E0,3.901875305E1,1.541250038E1
6.271492603E0,-9.262500763E0,3.933750153E1,1.464375019E1
6.771492603E0,-1.020000076E1,3.898125076E1,1.605000114E1
7.271492603E0,-9.300000191E0,3.892500305E1,1.631250000E1
7.771492603E0,-1.010625076E1,3.823125076E1,1.704375076E1
8.271492603E0,-9.900000572E0,3.781875229E1,1.764375114E1
8.771492603E0,-8.868750572E0,3.753750229E1,1.876875114E1
9.271492603E0,-7.668750286E0,3.712500000E1,1.980000114E1
9.771492603E0,-6.543750286E0,3.693750000E1,1.985625076E1
1.027149260E1,-6.093750477E0,3.624375153E1,1.978125000E1
1.077149260E1,-3.900000095E0,3.643125153E1,1.833750153E1
1.127149260E1,-3.112500191E0,3.648750305E1,1.796250153E1
1.177149260E1,-1.200000048E0,3.733125305E1,1.629375076E1
1.227149260E1,-4.687500298E-1,3.733125305E1,1.533750057E1
1.277149260E1,2.437500060E-1,3.750000000E1,1.389375019E1
1.327149260E1,5.437500477E-1,3.731250000E1,1.258125019E1
1.377149260E1,2.006250143E0,3.725625229E1,1.106250000E1
1.427149260E1,2.850000143E0,3.693750000E1,1.072500038E1
1.477149260E1,6.150000095E0,3.510000229E1,9.431250572E0
1.527149260E1,1.072500038E1,2.998125076E1,-1.031250000E0
1.577149260E1,6.975000381E0,2.375625038E1,-7.668750286E0
1.627149260E1,5.175000191E0,2.036250114E1,-7.575000286E0
1.677149260E1,5.193750381E0,1.869375038E1,-6.487500191E0
1.727149260E1,4.800000191E0,1.801875114E1,-5.362500191E0
1.777149260E1,3.975000143E0,1.803750038E1,-3.937500238E0
1.827149260E1,2.718750000E0,1.835625076E1,-3.206250191E0
1.877149260E1,-9.750000238E-1,2.013750076E1,-9.937500358E-1
1.927149260E1,-6.731250286E0,2.505000114E1,8.831250191E0
1.977149260E1,-4.106250286E0,3.075000191E1,1.635000038E1
2.027149260E1,-2.531250000E0,3.395625305E1,1.606875038E1
2.077149260E1,-2.868750095E0,3.523125076E1,1.531875038E1
2.127149260E1,-1.743750095E0,3.605625153E1,1.406250095E1
2.177149260E1,-2.568750143E0,3.620625305E1,1.408125019E1
2.227149260E1,-2.100000143E0,3.643125153E1,1.408125019E1
2.277149260E1,-3.131250143E0,3.652500153E1,1.417500019E1
2.327149260E1,-2.062500000E0,3.665625000E1,1.477500057E1
2.377149260E1,-2.418750048E0,3.654375076E1,1.464375019E1
2.427149260E1,-2.156250000E0,3.660000229E1,1.526250076E1
2.477149260E1,-2.531250000E0,3.682500076E1,1.569375038E1
2.527149260E1,-2.775000095E0,3.686250305E1,1.636875153E1
2.577149260E1,-2.568750143E0,3.701250076E1,1.576875019E1
