"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
0.000000000E0,1.798206210E0,4.512863636E0,8.408378601E0
1.338100800E-2,1.697707653E0,4.394418716E0,9.254241943E0
5.133810080E-1,5.779264927E0,-2.087737769E-1,8.966505051E0
1.013381008E0,2.874976397E0,-6.892525673E0,2.997010350E-1
1.513381008E0,4.193421841E0,-7.941180229E0,-2.405385017E0
2.013381008E0,3.793222189E0,-1.160638618E1,-1.874178290E0
2.513381008E0,6.907480717E0,-1.365165138E1,-5.443671346E-2
3.013381008E0,4.756931305E0,-1.346321678E1,7.591229677E-1
3.513381008E0,9.159725189E0,-1.317488194E1,1.322034478E0
4.013381008E0,6.792026997E0,-1.070668507E1,-3.125026464E0
4.513381008E0,8.722436905E0,-9.257232666E0,-1.867598057E0
5.013381008E0,6.491129398E0,-6.242276192E0,-2.941377163E0
5.513381008E0,5.227120876E0,-5.686542988E0,1.895115495E0
6.013381008E0,3.951746702E0,-4.225724697E0,-4.770092010E0
6.513381008E0,2.273181438E0,-5.839683533E0,9.349954724E-1
7.013381008E0,2.307877541E0,-5.467001438E0,-2.446661234E0
7.513381008E0,1.386640668E0,-8.886942863E0,-2.051247120E0
8.013381008E0,2.917448997E0,-9.231510162E0,-1.143769264E0
8.513381008E0,3.691527128E0,-1.043749237E1,-1.089332461E0
9.013381008E0,5.744568825E0,-1.403629780E1,9.409775138E-1
9.513381008E0,4.369294167E0,-1.396570969E1,1.266999602E0
1.001338101E1,1.023529911E1,-1.270409393E1,-5.694918036E-1
1.051338101E1,4.201796532E0,-1.227398396E1,2.365305185E0
1.101338101E1,8.940781593E0,-1.082034397E1,-2.727817774E0
1.151338101E1,5.637490273E0,-1.122353458E1,-3.637090325E-1
1.201338101E1,5.267798901E0,-8.444869041E0,-1.432104349E0
1.251338101E1,5.184648514E0,-7.326822758E0,-5.002793789E0
1.301338101E1,5.482554913E0,-7.532605648E0,-9.110672474E-1
1.351338101E1,3.065804005E0,-5.712265968E0,-4.025924206E0
1.401338101E1,3.815953970E0,-5.516652584E0,1.591825247E0
1.451338101E1,3.145963669E0,-4.710271358E0,-3.863810301E0
1.501338101E1,-6.580262631E-2,-5.674578667E0,3.577269912E-1
1.551338101E1,1.719243050E0,-4.716851711E0,-1.815554142E0
1.601338101E1,1.317847013E0,-6.275775433E0,-1.328016520E-1
1.651338101E1,9.924231768E-1,-8.002795219E0,-1.360319614E0
1.701338101E1,1.078564763E0,-9.531808853E0,-1.549352646E0
