"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
0.000000000E0,2.109273195E0,2.992224693E0,9.780662537E0
1.888593800E-2,2.487339020E0,2.455035925E0,1.050927734E1
5.188859380E-1,1.899901152E0,4.127618968E-1,1.193719387E1
1.018885938E0,1.949552298E0,7.944171429E-1,1.197488117E1
1.518885938E0,1.001994491E0,-4.755735099E-1,9.150154114E0
2.018885938E0,9.333803177E0,-1.141376400E1,1.962114573E0
2.518885938E0,8.246863365E0,-1.059362411E1,-7.304090858E-1
3.018885938E0,7.983652592E0,-1.058106136E1,-5.108676553E-1
3.518885938E0,6.988836765E0,-8.727820396E0,-1.151545882E0
4.018885938E0,6.186643124E0,-5.947360516E0,-1.027119160E0
4.518885938E0,3.040679455E0,-4.773082733E0,-4.267599106E0
5.018885938E0,3.428316593E0,-5.844469070E0,2.380858511E-1
5.518885938E0,3.616751432E0,-5.090730190E0,-3.032304525E0
6.018885938E0,2.896511793E0,-7.404589653E0,-1.846062660E0
6.518885938E0,3.547957659E0,-7.176673412E0,-1.328614831E0
7.018885938E0,4.400999069E0,-1.003908730E1,-1.403988719E0
7.518885938E0,6.398407936E0,-1.239841080E1,-4.929214716E-1
8.018885938E0,4.284946918E0,-1.042492962E1,-1.031904817E0
8.518885938E0,1.042792130E1,-1.070728302E1,-1.499701619E0
9.018885938E0,4.974080086E0,-1.024965572E1,-2.165504545E-1
9.518885938E0,1.014915752E1,-8.106883049E0,-2.202593327E0
1.001888594E1,6.555137634E0,-8.645866394E0,-1.025922656E0
1.051888594E1,8.742177963E0,-8.971888542E0,-3.461217880E0
1.101888594E1,6.547959328E0,-7.950153351E0,-8.949156404E-1
1.151888594E1,5.215157032E0,-6.978667259E0,1.165902853E0
1.201888594E1,3.198007345E0,-5.553143024E0,-3.492324591E0
1.251888594E1,1.687538147E0,-6.264409542E0,5.312066078E-1
1.301888594E1,2.730808735E0,-5.176871777E0,-3.023331404E0
1.351888594E1,3.552743435E0,-6.741777897E0,-1.480558991E0
1.401888594E1,3.729214191E0,-8.081160545E0,-1.132403374E0
1.451888594E1,4.094717979E0,-8.293522835E0,-4.277170599E-1
1.501888594E1,6.600601196E0,-1.039322472E1,-1.781456470E0
1.551888594E1,4.495515347E0,-1.022333431E1,-6.185446382E-1
1.601888594E1,6.272784710E0,-1.061157036E1,-1.422533035E0
1.651888594E1,4.974080086E0,-1.148076344E1,-1.160518974E-1
1.701888594E1,6.805187702E0,-1.065284634E1,-2.539981127E0
1.751888594E1,4.213162422E0,-1.243609715E1,-4.965106845E-1
1.801888594E1,8.717651367E0,-1.222552872E1,-3.132802963E0
1.851888594E1,6.392425537E0,-9.238089561E0,-1.475773335E0
1.901888594E1,7.445267677E0,-7.484749317E0,-1.255035520E0
1.951888594E1,5.144568920E0,-5.750551224E0,-3.712464333E0
2.001888594E1,3.911068678E0,-6.203990936E0,-8.650053740E-1
2.051888594E1,2.633301258E0,-5.728417397E0,-4.115654945E0
2.101888594E1,3.119044304E0,-6.059823513E0,8.374879137E-3
2.151888594E1,2.917448997E0,-5.971288681E0,-2.700300455E0
2.201888594E1,2.221735716E0,-7.648657799E0,-1.601396561E0
2.251888594E1,3.560520172E0,-8.218747139E0,-5.084748268E-1
2.301888594E1,3.334398270E0,-8.322237015E0,-1.432104349E0
2.351888594E1,6.541976929E0,-1.085683441E1,-9.876375198E-1
2.401888594E1,3.935595036E0,-1.168475151E1,-3.081955671E0
2.451888594E1,6.543771744E0,-9.914660454E0,-3.640081406E0
2.501888594E1,4.627718925E0,-1.023769188E1,-1.561915040E0
2.551888594E1,9.799206734E0,-8.974281311E0,-3.525824070E0
2.601888594E1,7.117451191E0,-8.799605370E0,-1.209571838E0
2.651888594E1,6.009573936E0,-7.164111137E0,2.135594189E-1
2.701888594E1,3.668795347E0,-4.558925152E0,-3.726821184E0
2.751888594E1,2.764308453E0,-5.386841774E0,2.572284266E-2
2.801888594E1,2.933600664E0,-5.779862881E0,-3.812962770E0
2.851888594E1,2.526820660E0,-7.110272408E0,-9.906286001E-1
2.901888594E1,3.115455151E0,-8.950951576E0,-2.641676188E0
2.951888594E1,3.356531858E0,-1.089511967E1,-2.075773716E0
3.001888594E1,5.450850010E0,-1.159920788E1,-1.731207132E0
3.051888594E1,3.644867182E0,-1.258445263E1,-1.659422517E0
3.101888594E1,7.366304398E0,-1.235055447E1,-2.226521492E0
3.151888594E1,3.697509289E0,-1.142512989E1,-1.279561877E0
3.201888594E1,9.821340561E0,-9.237491608E0,-3.455235958E0
3.251888594E1,5.825924873E0,-1.177747345E1,-1.596610904E0
3.301888594E1,8.153543472E0,-9.639486313E0,-1.189831018E0
3.351888594E1,7.051050186E0,-7.862815380E0,4.773681164E-1
3.401888594E1,4.584648132E0,-8.103293419E0,-1.357926875E-1
3.451888594E1,5.320441246E0,-5.071587563E0,-3.748356581E0
3.501888594E1,5.136193752E0,-7.048058987E0,1.819741607E0
3.551888594E1,2.890529871E0,-5.377270699E0,-2.152343988E0
3.601888594E1,2.647658348E0,-6.495915413E0,-1.661815286E0
3.651888594E1,3.238685369E0,-6.966702938E0,-2.270190477E0
3.701888594E1,3.409173965E0,-9.125029564E0,-2.440679073E0
3.751888594E1,4.485345840E0,-1.117807102E1,-1.208375469E-1
3.801888594E1,5.800201893E0,-1.182413292E1,-1.786242127E0
3.851888594E1,6.790830612E0,-1.403330708E1,-2.453241348E0
3.901888594E1,3.656233072E0,-1.109791183E1,-1.006780148E0
3.951888594E1,1.049791145E1,-1.120618629E1,-2.349751949E0
4.001888594E1,2.587239504E0,-1.037228775E1,-3.975674868E0
4.051888594E1,6.343971252E0,-6.428916454E0,-8.883354068E-1
4.101888594E1,4.325026989E0,-5.069194794E0,-3.086741209E0
4.151888594E1,3.225524902E0,-7.100102901E0,1.136590727E-2
4.201888594E1,3.665804386E0,-4.704289436E0,-3.972085476E0
4.251888594E1,1.377069473E0,-1.040219784E1,-3.113660574E0
4.301888594E1,6.899106026E0,-1.312523079E1,4.468596280E-1
4.351888594E1,3.101098061E0,-1.155434227E1,-1.123430252E0
4.401888594E1,9.016156197E0,-1.363609791E1,-3.649054468E-1
4.451888594E1,3.589233875E0,-1.224766254E1,-1.374676585E0
4.501888594E1,1.053320503E1,-1.160160065E1,-4.393222332E0
4.551888594E1,4.840082169E0,-8.478368759E0,-2.440679073E0
4.601888594E1,5.164907455E0,-7.299903870E0,-4.606183618E-2
4.651888594E1,4.117449760E0,-4.583451748E0,-4.466203690E0
4.701888594E1,2.927618504E0,-7.901100159E0,-1.211964726E0
4.751888594E1,4.142574310E0,-5.492724419E0,-3.571287870E0
4.801888594E1,2.018345833E0,-1.021077251E1,-3.042474031E0
4.851888594E1,8.014161110E0,-1.193719387E1,4.797609448E-1
4.901888594E1,2.063809633E0,-1.043749237E1,-5.186443329E-1
4.951888594E1,1.088853931E1,-1.320838070E1,-2.139183521E0
5.001888594E1,3.745365620E0,-1.199940777E1,6.011967063E-1
5.051888594E1,6.540182590E0,-9.499505997E0,-2.410768867E-1
5.101888594E1,6.138786316E0,-6.299703598E0,-4.794020176E0
5.151888594E1,4.015156269E0,-8.898308754E0,3.840480447E-1
5.201888594E1,5.574080467E0,-5.149354458E0,-5.938985825E0
5.251888594E1,1.491924882E0,-9.282955170E0,-1.837687731E0
5.301888594E1,7.495516777E0,-8.914461136E0,-1.262213945E0
5.351888594E1,2.442473650E0,-1.058106136E1,-2.006979942E0
5.401888594E1,9.615557671E0,-1.017248726E1,1.427318692E0
